<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4e12176494e6746efc6d67900a49a540b90cd50eea7c4b17d73df167cc41be1c
size 23876
=======
DATE,DISPERSION,COMMODITY
2016-01-01,0.06292884179989587,POTATO
2016-01-01,0.05785257266287349,ONION
2016-01-01,0.029725316347426003,AVG
2016-01-01,0.021950339701558998,GREEN GRAM DAL (MOONG DAL)
2016-01-01,0.020353249119770274,RICE
2016-01-01,0.017803536837843525,MASUR DAL
2016-01-01,0.01667846904098531,TOMATO
2016-01-01,0.01051020526905457,MUSTARD OIL
2016-02-01,0.05672843097242624,TOMATO
2016-02-01,0.055478542063658286,ONION
2016-02-01,0.05395016236561696,POTATO
2016-02-01,0.03401013061041184,AVG
2016-02-01,0.022344231772438758,GREEN GRAM DAL (MOONG DAL)
2016-02-01,0.021049725864974264,RICE
2016-02-01,0.020287081996100197,MASUR DAL
2016-02-01,0.008232739237668147,MUSTARD OIL
2016-03-01,0.064039293558423,TOMATO
2016-03-01,0.058123472141727535,POTATO
2016-03-01,0.05809647230785184,ONION
2016-03-01,0.036550631066726326,AVG
2016-03-01,0.022354598242642677,RICE
2016-03-01,0.021341179050716842,GREEN GRAM DAL (MOONG DAL)
2016-03-01,0.020341185432800557,MASUR DAL
2016-03-01,0.011558216732921765,MUSTARD OIL
2016-04-01,0.06031468589746718,POTATO
2016-04-01,0.05899101882613075,ONION
2016-04-01,0.0511903992689417,TOMATO
2016-04-01,0.03437786180478381,AVG
2016-04-01,0.02148148756885584,RICE
2016-04-01,0.02116119484491277,GREEN GRAM DAL (MOONG DAL)
2016-04-01,0.0198853731361942,MASUR DAL
2016-04-01,0.0076208730909842265,MUSTARD OIL
2016-05-01,0.07124431681481219,TOMATO
2016-05-01,0.05369951985634558,ONION
2016-05-01,0.04911783785655941,POTATO
2016-05-01,0.03439128499152638,AVG
2016-05-01,0.021906773225334138,GREEN GRAM DAL (MOONG DAL)
2016-05-01,0.02072193634286738,RICE
2016-05-01,0.01696864916730126,MASUR DAL
2016-05-01,0.007079961677464731,MUSTARD OIL
2016-06-01,0.0475169030310852,ONION
2016-06-01,0.04547240724893705,TOMATO
2016-06-01,0.03282118910695537,POTATO
2016-06-01,0.02726348841028724,AVG
2016-06-01,0.022011546854308648,GREEN GRAM DAL (MOONG DAL)
2016-06-01,0.019644736398631717,RICE
2016-06-01,0.015187693479627094,MASUR DAL
2016-06-01,0.008189942752465587,MUSTARD OIL
2016-07-01,0.038259796801791916,TOMATO
2016-07-01,0.037570291949675164,ONION
2016-07-01,0.030872913496850774,POTATO
2016-07-01,0.024683838053217617,AVG
2016-07-01,0.0211720341904524,GREEN GRAM DAL (MOONG DAL)
2016-07-01,0.02045765434965304,RICE
2016-07-01,0.015329140389237194,MASUR DAL
2016-07-01,0.009125035194862852,MUSTARD OIL
2016-08-01,0.07697308479248592,TOMATO
2016-08-01,0.04338960220669539,ONION
2016-08-01,0.035276007949589565,POTATO
2016-08-01,0.032288708591600886,AVG
2016-08-01,0.02379716419786001,GREEN GRAM DAL (MOONG DAL)
2016-08-01,0.019694687331207168,RICE
2016-08-01,0.01783493698056747,MASUR DAL
2016-08-01,0.00905547668280069,MUSTARD OIL
2016-09-01,0.057702548578634924,TOMATO
2016-09-01,0.0500695658542575,ONION
2016-09-01,0.040367388650236535,POTATO
2016-09-01,0.03171296246210627,AVG
2016-09-01,0.024472817297132483,GREEN GRAM DAL (MOONG DAL)
2016-09-01,0.02041700215452321,MASUR DAL
2016-09-01,0.019792059491143862,RICE
2016-09-01,0.009169355208815351,MUSTARD OIL
2016-10-01,0.0533865695982244,ONION
2016-10-01,0.04882205981119985,TOMATO
2016-10-01,0.047254006598524814,POTATO
2016-10-01,0.031719165823444494,AVG
2016-10-01,0.023611367062920902,GREEN GRAM DAL (MOONG DAL)
2016-10-01,0.02024411381418956,RICE
2016-10-01,0.019292008079858345,MASUR DAL
2016-10-01,0.009424035799193571,MUSTARD OIL
2016-11-01,0.08194083416511251,TOMATO
2016-11-01,0.047379485907298034,POTATO
2016-11-01,0.04576639259324253,ONION
2016-11-01,0.035340936615824735,AVG
2016-11-01,0.023672074293434663,GREEN GRAM DAL (MOONG DAL)
2016-11-01,0.01969248449422082,MASUR DAL
