<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1e0d7351d4a29666b8d1882a3c304bc7f226f85350ad46a64b38d79af0264ff9
size 7449
=======
DATE,MANDI_ANOMALIES,CENTRE_ANOMALIES,SUM,PRICE_DISPERSION,COMMODITY
2016-01-01,0,0,0,0.036996270031731365,TOMATO
2016-01-01,0,0,0,0.036996270031731365,TOMATO
2016-02-01,0,0,0,0.0365215829349861,TOMATO
2016-02-01,0,0,0,0.0365215829349861,TOMATO
2016-03-01,1,1,2,0.0403284102564077,TOMATO
2016-03-01,2,2,4,0.0030308990895042513,MUSTARD OIL
2016-04-01,7,4,11,0.003530889904227768,MUSTARD OIL
2016-04-01,4,3,7,0.03764885556657829,TOMATO
2016-05-01,10,9,19,0.0038439267399095977,MUSTARD OIL
2016-05-01,5,6,11,0.036337023060575964,TOMATO
2016-06-01,13,12,25,0.0034930089203598375,MUSTARD OIL
2016-06-01,7,12,19,0.034420971369932975,TOMATO
2016-07-01,16,16,32,0.0032446400133921967,MUSTARD OIL
2016-07-01,10,16,26,0.035420622642375776,TOMATO
2016-08-01,14,19,33,0.027341054249050416,POTATO
2016-08-01,10,20,30,0.042087362634195775,TOMATO
2016-09-01,9,22,31,0.047887351514004715,TOMATO
2016-09-01,14,20,34,0.026875878813488154,POTATO
2016-10-01,22,14,36,0.0023492227922288314,MUSTARD OIL
2016-10-01,11,22,33,0.04939149569847562,TOMATO
2016-11-01,9,22,31,0.0545116917592451,TOMATO
2016-11-01,28,14,42,0.0017015329259103763,MUSTARD OIL
2016-12-01,30,12,42,0.0009735223426765311,MUSTARD OIL
2016-12-01,8,22,30,0.05784986154187984,TOMATO
2017-01-01,32,11,43,0.0007449293855137167,MUSTARD OIL
2017-01-01,8,21,29,0.06079432527605954,TOMATO
2017-02-01,5,20,25,0.06238558031493283,TOMATO
2017-02-01,34,9,43,0.0006487675517591985,MUSTARD OIL
2017-03-01,6,21,27,0.05942856942606295,TOMATO
2017-03-01,35,10,45,0.0005838751476443969,MUSTARD OIL
2017-04-01,36,12,48,0.0005276733749944983,MUSTARD OIL
2017-04-01,7,21,28,0.05475319834723318,TOMATO
2017-05-01,7,23,30,0.05210415839214729,TOMATO
2017-05-01,37,13,50,0.0004212543893044591,MUSTARD OIL
2017-06-01,37,14,51,0.0012925366549737776,MUSTARD OIL
2017-06-01,9,24,33,0.049677331593902065,TOMATO
2017-07-01,37,14,51,0.0022438136709975612,MUSTARD OIL
2017-07-01,18,23,41,0.04512638544709554,POTATO
2017-08-01,40,18,58,0.0032391778288467,MUSTARD OIL
2017-08-01,24,24,48,0.043930135047088766,POTATO
2017-09-01,27,26,53,0.042127319390423336,POTATO
2017-09-01,42,20,62,0.004059313929142945,MUSTARD OIL
2017-10-01,32,26,58,0.039302730778208415,POTATO
2017-10-01,44,26,70,0.004586472155520452,MUSTARD OIL
2017-11-01,35,25,60,0.0376567266335589,POTATO
2017-11-01,44,32,76,0.005229513602346138,MUSTARD OIL
2017-12-01,43,33,76,0.005799352703819974,MUSTARD OIL
2017-12-01,36,24,60,0.038407910614051945,POTATO
2018-01-01,45,36,81,0.0055625640687302835,MUSTARD OIL
2018-01-01,33,22,55,0.03892532063262098,POTATO
2018-02-01,43,33,76,0.005336961808398208,MUSTARD OIL
2018-02-01,28,19,47,0.040002017163045314,POTATO
2018-03-01,43,30,73,0.005024758549313464,MUSTARD OIL
2018-03-01,24,20,44,0.03857310123704074,POTATO
2018-04-01,42,28,70,0.004750120793930381,MUSTARD OIL
2018-04-01,18,19,37,0.03682747481831566,POTATO
2018-05-01,43,28,71,0.004816014546960605,MUSTARD OIL
2018-05-01,15,22,37,0.03649483525442359,POTATO
2018-06-01,42,27,69,0.004971085170355867,MUSTARD OIL
2018-06-01,12,28,40,0.036288658758338435,TOMATO
2018-07-01,8,25,33,0.041395512375367004,TOMATO
2018-07-01,37,24,61,0.005375250787769936,MUSTARD OIL
2018-08-01,33,25,58,0.00595524675329306,MUSTARD OIL
2018-08-01,10,26,36,0.03949008139897901,TOMATO
2018-09-01,13,27,40,0.03703200485598773,TOMATO
2018-09-01,28,30,58,0.0066267184885596,MUSTARD OIL
2018-10-01,21,35,56,0.0072422624547964784,MUSTARD OIL
2018-10-01,17,25,42,0.03703881032392941,TOMATO
2018-11-01,21,21,42,0.03944489682594249,TOMATO
2018-11-01,19,39,58,0.007781138034867864,MUSTARD OIL
2018-12-01,22,21,43,0.04147157189306102,TOMATO
2018-12-01,19,44,63,0.008180504734093649,MUSTARD OIL
2019-01-01,23,23,46,0.042107349432941456,TOMATO
2019-01-01,20,42,62,0.008560245844304442,MUSTARD OIL
2019-02-01,19,23,42,0.03978517341340831,TOMATO
2019-02-01,22,37,59,0.008812776424093458,MUSTARD OIL
2019-03-01,15,25,40,0.040275188825647054,TOMATO
2019-03-01,24,33,57,0.008779664094606772,MUSTARD OIL
2019-04-01,25,30,55,0.008629464660788016,MUSTARD OIL
2019-04-01,11,27,38,0.038641290255920155,TOMATO
2019-05-01,25,28,53,0.008674407429571842,MUSTARD OIL
2019-05-01,7,27,34,0.03492741295010894,TOMATO
2019-06-01,7,32,39,0.030594068229656934,TOMATO
2019-06-01,25,28,53,0.00878933004477422,MUSTARD OIL
2019-07-01,11,37,48,0.02970795587949505,TOMATO
2019-07-01,24,30,54,0.008979089001357127,MUSTARD OIL
2019-08-01,25,32,57,0.008931675943118689,MUSTARD OIL
2019-08-01,14,39,53,0.02949047992206854,TOMATO
2019-09-01,25,35,60,0.008930717270410369,MUSTARD OIL
2019-09-01,15,41,56,0.02985341741322708,TOMATO
2019-10-01,24,36,60,0.009065607267697064,MUSTARD OIL
2019-10-01,17,38,55,0.02868898577189966,TOMATO
2019-11-01,16,38,54,0.030999593009644562,TOMATO
2019-11-01,24,37,61,0.009204892651869622,MUSTARD OIL
2019-12-01,25,37,62,0.009077257359345187,MUSTARD OIL
2019-12-01,12,40,52,0.03240191842056936,TOMATO
2020-01-01,10,38,48,0.03338830376096002,TOMATO
2020-01-01,30,37,67,0.008670777115802558,GREEN GRAM DAL (MOONG DAL)
2020-02-01,30,47,77,0.013639482092012002,ONION
2020-02-01,10,35,45,0.031689694035292364,TOMATO
2020-03-01,9,32,41,0.031231521781499984,TOMATO
2020-03-01,34,43,77,0.012692003130745033,ONION
2020-04-01,36,44,80,0.013202315841979563,GREEN GRAM DAL (MOONG DAL)
2020-04-01,9,27,36,0.031087368291226984,TOMATO
2020-05-01,9,24,33,0.03115994899650604,TOMATO
2020-05-01,35,42,77,0.015328468733299334,GREEN GRAM DAL (MOONG DAL)
2020-06-01,13,23,36,0.03180806098898185,TOMATO
2020-06-01,37,43,80,0.016475275942205804,GREEN GRAM DAL (MOONG DAL)
2020-07-01,16,21,37,0.03272858387812598,TOMATO
2020-07-01,38,42,80,0.01751928709541428,GREEN GRAM DAL (MOONG DAL)
2020-08-01,38,40,78,0.018237509906645435,GREEN GRAM DAL (MOONG DAL)
2020-08-01,18,22,40,0.03560144111514497,TOMATO
2020-09-01,20,27,47,0.03750723765167132,TOMATO
2020-09-01,38,43,81,0.018791613188748984,GREEN GRAM DAL (MOONG DAL)
2020-10-01,20,31,51,0.03784998395347628,TOMATO
2020-10-01,37,40,77,0.018781574125980274,GREEN GRAM DAL (MOONG DAL)
2020-11-01,16,34,50,0.037584965030112064,TOMATO
2020-11-01,34,44,78,0.012827138047932451,MUSTARD OIL
2020-12-01,30,48,78,0.030716424956441574,POTATO
2020-12-01,14,36,50,0.039113157674276824,TOMATO
2021-01-01,32,49,81,0.04018378445848448,POTATO
2021-01-01,32,49,81,0.04018378445848448,POTATO
2021-02-01,36,47,83,0.042350151713426765,POTATO
2021-02-01,36,47,83,0.042350151713426765,POTATO
2021-03-01,37,40,77,0.04267427201621226,POTATO
2021-03-01,37,40,77,0.04267427201621226,POTATO
2021-04-01,35,35,70,0.04122158049486994,POTATO
2021-04-01,35,35,70,0.04122158049486994,POTATO
2021-05-01,31,29,60,0.03881818538039745,POTATO
2021-05-01,31,29,60,0.03881818538039745,POTATO
2021-06-01,30,26,56,0.0363072080945397,POTATO
2021-06-01,23,39,62,0.021078030211441046,MUSTARD OIL
2021-07-01,9,18,27,0.037001288892724075,TOMATO
2021-07-01,25,42,67,0.021820715096557815,MUSTARD OIL
2021-08-01,23,41,64,0.023114396453320776,MUSTARD OIL
2021-08-01,9,19,28,0.03773474235324228,TOMATO
2021-09-01,9,18,27,0.04193386966581003,TOMATO
2021-09-01,22,39,61,0.02477097987661221,MUSTARD OIL
2021-10-01,8,15,23,0.04023632614543065,TOMATO
2021-10-01,17,34,51,0.026470116043085357,MUSTARD OIL
2021-11-01,7,14,21,0.03818707934036048,TOMATO
2021-11-01,13,25,38,0.006940154490959112,GREEN GRAM DAL (MOONG DAL)
2021-12-01,3,10,13,0.03645244401669304,TOMATO
