<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e24d485d3c0abe85a0b983cf1fa608eecfa1c62548290a10db75efa396258332
size 8982
=======
COMMODITY,STATENAME,MANDINAME
Green Gram Dal (Moong Dal),MAHARASHTRA,MUMBAI
Masur Dal,UTTAR PRADESH,SAHARANPUR
Masur Dal,UTTAR PRADESH,BULAND SHAHR
Masur Dal,UTTAR PRADESH,DADRI
Mustard Oil,UTTAR PRADESH,ETAWAH
Mustard Oil,UTTAR PRADESH,PILIBHIT
Mustard Oil,UTTAR PRADESH,SAHARANPUR
Mustard Oil,UTTAR PRADESH,RAMPUR
Mustard Oil,UTTAR PRADESH,GHAZIABAD
Mustard Oil,UTTAR PRADESH,DADRI
Mustard Oil,UTTAR PRADESH,MEERUT
Mustard Oil,UTTAR PRADESH,BULAND SHAHR
Mustard Oil,UTTAR PRADESH,HAPUR
Mustard Oil,UTTAR PRADESH,MUZZAFARNAGAR
Mustard Oil,UTTAR PRADESH,ALLAHABAD
Mustard Oil,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
Mustard Oil,UTTAR PRADESH,KAYAMGANJ
Mustard Oil,UTTAR PRADESH,SAFDARGANJ
Mustard Oil,UTTAR PRADESH,PRATAPGARH
Mustard Oil,UTTAR PRADESH,RAATH
Mustard Oil,WEST BENGAL,DURGAPUR
Mustard Oil,WEST BENGAL,KATWA
Mustard Oil,WEST BENGAL,BALARAMPUR
Mustard Oil,WEST BENGAL,BIRBHUM
Mustard Oil,WEST BENGAL,PURULIA
Mustard Oil,WEST BENGAL,JIAGANJ
Mustard Oil,WEST BENGAL,KASIPUR
Mustard Oil,WEST BENGAL,SAINTHIA
Onion,KARNATAKA,BELGAUM
Onion,KARNATAKA,BANGALORE
Onion,KARNATAKA,HUBLI (AMARAGOL)
Onion,KARNATAKA,DAVANGERE
Onion,KARNATAKA,RAICHUR
Onion,KARNATAKA,MYSORE (BANDIPALYA)
Onion,MAHARASHTRA,PUNE
Onion,MAHARASHTRA,KOLHAPUR
Onion,MAHARASHTRA,KARAD
Onion,MAHARASHTRA,SOLAPUR
Onion,MAHARASHTRA,PIMPALGAON
Onion,MAHARASHTRA,SANGAMNER
Onion,MAHARASHTRA,JALGAON
Onion,MAHARASHTRA,VASHI NEW MUMBAI
Onion,MAHARASHTRA,NASIK
Onion,MAHARASHTRA,DHULE
Onion,MAHARASHTRA,NAGPUR
Onion,MAHARASHTRA,YEOLA
Onion,MAHARASHTRA,AMRAWATI(FRUI & VEG. MARKET)
Onion,MAHARASHTRA,LASALGAON(NIPHAD)
Onion,MAHARASHTRA,MANMAD
Onion,MAHARASHTRA,CHANDRAPUR(GANJWAD)
Onion,MAHARASHTRA,LASALGAON
Onion,NCT OF DELHI,AZADPUR
Onion,NCT OF DELHI,SHAHDARA
Onion,NCT OF DELHI,KESHOPUR
Onion,UTTAR PRADESH,PILIBHIT
Onion,UTTAR PRADESH,LAKHIMPUR
Onion,UTTAR PRADESH,MURADABAD
Onion,UTTAR PRADESH,RAMPUR
Onion,UTTAR PRADESH,BASTI
Onion,UTTAR PRADESH,BAREILLY
Onion,UTTAR PRADESH,LUCKNOW
Onion,UTTAR PRADESH,GONDA
Onion,UTTAR PRADESH,SAHARANPUR
Onion,UTTAR PRADESH,BARABANKI
Onion,UTTAR PRADESH,PRATAPGARH
Onion,UTTAR PRADESH,ATARRA
Onion,UTTAR PRADESH,ETAWAH
Onion,UTTAR PRADESH,MUZZAFARNAGAR
Onion,UTTAR PRADESH,KANNAUJ
Onion,UTTAR PRADESH,PUKHRAYAN
Onion,UTTAR PRADESH,BAHRAICH
Onion,UTTAR PRADESH,JALAUN
Onion,UTTAR PRADESH,FATEHPUR
Onion,UTTAR PRADESH,KANPUR(GRAIN)
