<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e24b453c1f4438811f9952c61a6fb283cabe83dbb9f60bc7750b07794f86a07d
size 744
=======
COMMODITY,STATENAME,MANDINAME
GREEN GRAM DAL (MOONG DAL),ODISHA,BHUBANESHWAR
GREEN GRAM DAL (MOONG DAL),ODISHA,CUTTACK
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH,TIRUPATHI
MASUR DAL,WEST BENGAL,PURULIA
MASUR DAL,WEST BENGAL,RAIGANJ
MASUR DAL,WEST BENGAL,SILIGURI
MUSTARD OIL,WEST BENGAL,KASIPUR
MUSTARD OIL,WEST BENGAL,DURGAPUR
MUSTARD OIL,WEST BENGAL,KATWA
ONION,KARNATAKA,BANGALORE
ONION,MAHARASHTRA,LASALGAON
ONION,NCT OF DELHI,AZADPUR
POTATO,UTTAR PRADESH,LUCKNOW
POTATO,WEST BENGAL,KATWA
POTATO,PUNJAB,ZIRA
TOMATO,KARNATAKA,SRINIVASAPUR
TOMATO,UTTAR PRADESH,LUCKNOW
TOMATO,MAHARASHTRA,PUNE
SUGAR,MAHARASHTRA,MUMBAI
SUGAR,UTTAR PRADESH,LAKHIMPUR
SUGAR,UTTAR PRADESH,HAPUR
RICE,UTTAR PRADESH,AGRA
RICE,PUNJAB,AMRITSAR
RICE,WEST BENGAL,KOLKATA
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
