<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:0a000d58db46d58bf4dc6dd950741aa014346feace4e09c3b20272e9b16586ee
size 19909
=======
STARTDATE,ENDDATE,MEDIAN,MAD,VALUE,TYPE
2016-01-01,2016-02-13,800.0,232.99592327568902,881.8839236966212,Normal
2016-01-08,2016-02-20,800.0,234.19501497540406,895.5443830195749,Normal
2016-01-15,2016-02-27,728.5123975548117,214.04918005092878,895.5443830195749,Normal
2016-01-22,2016-03-05,707.5,193.32796775792164,940.7151186851396,Normal
2016-01-29,2016-03-12,800.0,163.00096128295675,1061.87990183862,Anomaly
2016-02-01,2016-03-15,812.5,172.74616145271716,1116.1726260373289,Anomaly
2016-02-08,2016-03-22,887.5,178.02595207466075,1234.9724492007356,Anomaly
2016-02-15,2016-03-29,950.0,227.16659574134405,1322.2222221979166,Anomaly
2016-02-22,2016-04-05,962.5,279.61764705882354,1347.2517396752198,Normal
2016-02-29,2016-04-12,950.0,367.5455738272574,1360.0,Normal
2016-03-07,2016-04-19,1000.0,367.5780989009778,1460.0,Normal
2016-03-14,2016-04-26,1200.0,374.4387901508937,1470.0,Normal
2016-03-21,2016-05-03,1200.0,368.8067582672436,1480.0,Normal
2016-03-28,2016-05-10,1200.0,342.97062308100965,1550.0,Normal
2016-04-04,2016-05-17,1200.0,339.9319973959446,1580.0,Normal
2016-04-11,2016-05-24,1485.0,401.49942329906696,1670.0,Normal
2016-04-18,2016-05-31,1485.0,382.54741175803525,1670.0,Normal
2016-04-25,2016-06-07,1487.5,370.86006926739253,1670.0,Normal
2016-05-02,2016-06-14,1487.5,366.91141874823506,1650.0,Normal
2016-05-09,2016-06-21,1480.7439720702353,358.28774941541013,1511.5625007324213,Normal
2016-05-16,2016-06-28,1490.0,330.1241829339142,1510.0,Normal
2016-05-23,2016-07-05,1490.0,310.7404844290657,1510.0,Normal
2016-05-30,2016-07-12,1630.0,325.16262975778545,1510.0,Normal
2016-06-06,2016-07-19,1750.0,333.416955017301,1520.0,Normal
2016-06-13,2016-07-26,1785.0,319.3625115964508,1570.0,Normal
2016-06-20,2016-08-02,1850.0,348.75432525951555,1610.0,Normal
2016-06-27,2016-08-09,1850.0,338.66435986159166,1610.0,Normal
2016-07-04,2016-08-16,1900.0,346.85912408710874,1610.0,Normal
2016-07-11,2016-08-23,1900.0,352.2120652635793,1610.0,Normal
2016-07-18,2016-08-30,1900.0,355.91794761652045,1600.0,Normal
2016-07-25,2016-09-06,1890.0,363.48505807479523,1600.0,Normal
2016-08-01,2016-09-13,1890.0,375.15946558945313,1600.0,Normal
2016-08-08,2016-09-20,1640.0,336.0989180718084,1600.0,Normal
2016-08-15,2016-09-27,1670.0,343.1136816534276,1660.0,Normal
2016-08-22,2016-10-04,1670.0,346.54065742197866,1660.0,Normal
2016-08-29,2016-10-11,1670.0,367.5799699671864,1680.0,Normal
2016-09-05,2016-10-18,1630.0,374.2152723695949,1680.0,Normal
2016-09-12,2016-10-25,1625.0,383.93067221293217,1680.0,Normal
2016-09-19,2016-11-01,1734.0624999934082,401.3385858464023,1660.0,Normal
2016-09-26,2016-11-08,1730.0,403.51274607584276,1640.0,Normal
2016-10-03,2016-11-15,1622.8571424897957,404.16952870265686,1640.0,Normal
2016-10-10,2016-11-22,1600.0,415.2595155709343,1600.0,Normal
2016-10-17,2016-11-29,1580.0,434.2549019614379,1560.0,Normal
2016-10-24,2016-12-06,1540.0,458.5882352941176,1440.0,Normal
2016-10-31,2016-12-13,1450.0,484.5882352947712,1360.0,Normal
2016-11-07,2016-12-20,1375.0,499.3812815479692,1180.0,Normal
2016-11-14,2016-12-27,1150.0,500.0882352941176,880.0,Normal
2016-11-21,2017-01-03,900.0,424.52941176470586,760.0,Normal
2016-11-28,2017-01-10,860.0,439.70588235294116,740.0,Normal
2016-12-05,2017-01-17,825.0,435.47058823529414,660.0,Normal
2016-12-12,2017-01-24,800.0,443.33199597215787,580.0,Normal
2016-12-19,2017-01-31,680.0,384.53287197231833,560.0,Normal
2016-12-26,2017-02-07,675.0,383.52076124591497,500.0,Normal
2017-01-01,2017-02-13,675.0,385.9083044982699,480.0,Normal
2017-01-08,2017-02-20,670.0,390.10380622837374,460.0,Normal
2017-01-15,2017-02-27,675.0,391.0553633217993,460.0,Normal
2017-01-22,2017-03-06,687.5,393.3235294117647,450.0,Normal
2017-01-29,2017-03-13,693.75,397.43013433756073,440.0,Normal
2017-02-05,2017-03-20,650.0,406.5851211004152,440.0,Normal
2017-02-12,2017-03-27,650.0,405.46582091403894,440.0,Normal
2017-02-19,2017-04-03,650.0,402.3564013840831,440.0,Normal
2017-02-26,2017-04-10,675.0,400.4723183391003,450.0,Normal
2017-03-05,2017-04-17,675.0,399.7110726643599,460.0,Normal
2017-03-12,2017-04-24,675.0,401.31141868512117,520.0,Normal
2017-03-19,2017-05-01,650.0,399.08477508650515,580.0,Normal
2017-03-26,2017-05-08,800.0,388.3970588235294,660.0,Normal
2017-04-02,2017-05-15,800.0,388.0,700.0,Normal
2017-04-09,2017-05-22,800.0,402.19117647058823,700.0,Normal
2017-04-16,2017-05-29,760.0,382.6685120841523,720.0,Normal
2017-04-23,2017-06-05,770.0,382.44675124990385,720.0,Normal
2017-04-30,2017-06-12,780.0,374.8650519031142,740.0,Normal
2017-05-07,2017-06-19,790.0,388.1134180750045,780.0,Normal
2017-05-14,2017-06-26,790.0,374.5995106706444,780.0,Normal
2017-05-21,2017-07-03,840.0,404.73510195224065,780.0,Normal
2017-05-28,2017-07-10,840.0,405.87312572156867,780.0,Normal
2017-06-04,2017-07-17,840.0,326.6249999310664,780.0,Normal
2017-06-11,2017-07-24,840.0,315.68662463144693,780.0,Normal
2017-06-18,2017-07-31,840.0,321.94771234567935,780.0,Normal
2017-06-25,2017-08-07,880.0,324.6764705882353,780.0,Normal
2017-07-02,2017-08-14,880.0,335.176116551899,760.0,Normal
2017-07-09,2017-08-21,860.0,344.79411764705884,720.0,Normal
2017-07-16,2017-08-28,860.0,351.8799188001002,720.0,Normal
2017-07-23,2017-09-04,860.0,358.82844831227095,720.0,Normal
2017-07-30,2017-09-11,850.0,365.28460887745814,700.0,Normal
2017-08-06,2017-09-18,850.0,370.8543771477273,700.0,Normal
2017-08-13,2017-09-25,850.0,378.0,700.0,Normal
2017-08-20,2017-10-02,850.0,381.14705887581704,700.0,Normal
2017-08-27,2017-10-09,850.0,372.7301511141785,700.0,Normal
2017-09-03,2017-10-16,850.0,382.391678627687,700.0,Normal
2017-09-10,2017-10-23,836.8383825119832,385.5085617451746,670.0,Normal
2017-09-17,2017-10-30,837.0,386.42225050000724,670.0,Normal
2017-09-24,2017-11-06,839.6829268892683,372.3408692852479,670.0,Normal
2017-10-01,2017-11-13,861.856707436956,358.1697560031789,670.0,Normal
2017-10-08,2017-11-20,880.0,351.87677420368226,760.0,Normal
2017-10-15,2017-11-27,880.0,340.44275209859995,760.0,Normal
2017-10-22,2017-12-04,880.0,347.82473325737834,760.0,Normal
2017-10-29,2017-12-11,880.0,361.22008543355986,760.0,Normal
2017-11-05,2017-12-18,880.0,402.32620318154807,760.0,Normal
2017-11-12,2017-12-25,880.0,396.68300653635623,760.0,Normal
2017-11-19,2018-01-01,875.0,389.3235294117647,750.0,Normal
2017-11-26,2018-01-08,875.0,388.38888888929745,750.0,Normal
2017-12-03,2018-01-15,850.0,397.67156858272443,670.0,Normal
2017-12-10,2018-01-22,735.0,380.0024510407093,490.0,Normal
2017-12-17,2018-01-29,710.0,375.61764705882354,460.0,Normal
2017-12-24,2018-02-05,700.0,376.97058823529414,460.0,Normal
2017-12-31,2018-02-12,800.0,330.68512110726647,460.0,Normal
2018-01-07,2018-02-19,800.0,303.9429065743945,460.0,Normal
2018-01-14,2018-02-26,800.0,303.15175481966133,470.0,Normal
2018-01-21,2018-03-05,750.0,290.61764705882354,580.0,Normal
2018-01-28,2018-03-12,750.0,280.20843977260085,600.0,Normal
2018-02-04,2018-03-19,750.0,246.52941176470588,610.0,Normal
2018-02-11,2018-03-26,800.0,239.83110886384077,785.8333333083334,Normal
2018-02-18,2018-04-02,850.0,228.23745352806134,860.0,Normal
2018-02-25,2018-04-09,920.0,234.90333084275917,960.0,Normal
2018-03-04,2018-04-16,995.0,257.81736143450235,990.0,Normal
2018-03-11,2018-04-23,1000.0,270.23912804054794,1110.0,Normal
2018-03-18,2018-04-30,1000.0,269.98086282309765,1130.0,Normal
2018-03-25,2018-05-07,1039.4444456790138,269.28098481939577,1150.0,Normal
2018-04-01,2018-05-14,1175.0,253.19265393902722,1203.99999998125,Normal
2018-04-08,2018-05-21,1200.0,275.03427627964504,1247.4999999765625,Normal
2018-04-15,2018-05-28,1300.0,363.24691418569,1500.0,Normal
2018-04-22,2018-06-04,1315.0,369.3019696557336,1540.0,Normal
2018-04-29,2018-06-11,1370.0,353.7602406670544,1560.0,Normal
2018-05-06,2018-06-18,1380.0,356.50173016361225,1560.0,Normal
2018-05-13,2018-06-25,1420.0,353.2628968110493,1550.0,Normal
2018-05-20,2018-07-02,1415.0,360.6287449931455,1530.0,Normal
2018-05-27,2018-07-09,1435.0,355.9814407043667,1520.0,Normal
2018-06-03,2018-07-16,1440.0,355.70462409537015,1520.0,Normal
2018-06-10,2018-07-23,1455.0,344.0841608765877,1520.0,Normal
2018-06-17,2018-07-30,1500.0,322.9705460380643,1520.0,Normal
2018-06-24,2018-08-06,1500.0,325.97923875432525,1510.0,Normal
2018-07-01,2018-08-13,1470.0,336.7335640138408,1460.0,Normal
2018-07-08,2018-08-20,1455.0,336.58228803035115,1450.0,Normal
2018-07-15,2018-08-27,1445.0,338.3815959888287,1440.0,Normal
2018-07-22,2018-09-03,1435.0,339.65397923875435,1430.0,Normal
2018-07-29,2018-09-10,1420.0,341.51038065933176,1420.0,Normal
2018-08-05,2018-09-17,1410.0,351.62283737024217,1410.0,Normal
2018-08-12,2018-09-24,1405.0,359.7664359861592,1400.0,Normal
2018-08-19,2018-10-01,1408.0,363.8546712802768,1400.0,Normal
2018-08-26,2018-10-08,1406.7973537601688,365.7659965048228,1400.0,Normal
2018-09-02,2018-10-15,1410.0,362.79584775086505,1400.0,Normal
2018-09-09,2018-10-22,1427.5,358.9134948096886,1400.0,Normal
2018-09-16,2018-10-29,1445.0,348.31141868512105,1400.0,Normal
2018-09-23,2018-11-05,1383.5,366.8096885813149,1400.0,Normal
2018-09-30,2018-11-12,1378.5,368.916955017301,1400.0,Normal
2018-10-07,2018-11-19,1376.0,370.7162629757786,1400.0,Normal
2018-10-14,2018-11-26,1375.0,374.1003460207613,1400.0,Normal
2018-10-21,2018-12-03,1370.0,383.256369878082,1400.0,Normal
2018-10-28,2018-12-10,1415.0,380.342425916861,1340.0,Normal
2018-11-04,2018-12-17,1405.0,418.4544328387672,1250.0,Normal
2018-11-11,2018-12-24,1165.0,443.93022043299317,1100.0,Normal
2018-11-18,2018-12-31,1090.0,459.87180223992755,920.0,Normal
2018-11-25,2019-01-07,1050.0,390.3707418221224,800.0,Normal
2018-12-02,2019-01-14,1050.0,360.61027021325947,800.0,Normal
2018-12-09,2019-01-21,1000.0,367.5098903774877,790.0,Normal
2018-12-16,2019-01-28,900.0,353.05882352941177,760.0,Normal
2018-12-23,2019-02-04,900.0,342.8529411764706,700.0,Normal
