<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:133939bb84f67b8290cb0f54a31eea75c9535bce205aa118f4718a47b55e1899
size 39782
=======
index,DATE,MANDINAME,STATENAME,VOLATILITY
0,2016-01-01,AGRA,UTTAR PRADESH,0.036206566256098416
1,2016-01-01,KOLKATA,WEST BENGAL,0.0245925206388251
2,2016-01-01,MEERUT,UTTAR PRADESH,0.01866256171767232
3,2016-01-01,SILIGURI,WEST BENGAL,0.017050350453881726
10,2016-01-01,AVERAGE,,0.00536177772591542
4,2016-01-01,RAIGANJ,WEST BENGAL,0.0
5,2016-01-01,PURULIA,WEST BENGAL,0.0
6,2016-01-01,MALDA,WEST BENGAL,0.0
7,2016-01-01,KHARAGPUR,WEST BENGAL,0.0
8,2016-01-01,VARANASI,UTTAR PRADESH,0.0
9,2016-01-01,AMRITSAR,PUNJAB,0.0
0,2016-02-01,MEERUT,UTTAR PRADESH,0.012925768530823063
1,2016-02-01,VARANASI,UTTAR PRADESH,0.011245925907593005
2,2016-02-01,KOLKATA,WEST BENGAL,0.009791208740244552
10,2016-02-01,AVERAGE,,0.0018868279543700342
3,2016-02-01,AMRITSAR,PUNJAB,0.0
4,2016-02-01,BATHINDA,PUNJAB,0.0
5,2016-02-01,RAIGANJ,WEST BENGAL,0.0
6,2016-02-01,PURULIA,WEST BENGAL,0.0
7,2016-02-01,MALDA,WEST BENGAL,0.0
8,2016-02-01,KHARAGPUR,WEST BENGAL,0.0
9,2016-02-01,LUCKNOW,UTTAR PRADESH,0.0
0,2016-03-01,LUDHIANA,PUNJAB,0.03125176066826468
1,2016-03-01,KOLKATA,WEST BENGAL,0.02178613866004224
2,2016-03-01,SILIGURI,WEST BENGAL,0.014244736382138131
3,2016-03-01,AMRITSAR,PUNJAB,0.01265782050098292
10,2016-03-01,AVERAGE,,0.004661790155310553
4,2016-03-01,MEERUT,UTTAR PRADESH,0.003971766584161985
5,2016-03-01,PANCHKULA,PUNJAB,0.0
6,2016-03-01,AGRA,UTTAR PRADESH,0.0
7,2016-03-01,ALLAHABAD,UTTAR PRADESH,0.0
8,2016-03-01,GORAKHPUR,UTTAR PRADESH,0.0
9,2016-03-01,JHANSI,UTTAR PRADESH,0.0
0,2016-04-01,VARANASI,UTTAR PRADESH,0.04830078927560874
1,2016-04-01,MEERUT,UTTAR PRADESH,0.014652853374662897
10,2016-04-01,AVERAGE,,0.0034974245916817573
2,2016-04-01,AMRITSAR,PUNJAB,0.0
3,2016-04-01,BATHINDA,PUNJAB,0.0
4,2016-04-01,RAIGANJ,WEST BENGAL,0.0
5,2016-04-01,PURULIA,WEST BENGAL,0.0
6,2016-04-01,MALDA,WEST BENGAL,0.0
7,2016-04-01,KOLKATA,WEST BENGAL,0.0
8,2016-04-01,KHARAGPUR,WEST BENGAL,0.0
9,2016-04-01,LUCKNOW,UTTAR PRADESH,0.0
0,2016-05-01,KOLKATA,WEST BENGAL,0.04282985374774327
1,2016-05-01,GORAKHPUR,UTTAR PRADESH,0.010944500252259182
2,2016-05-01,JHANSI,UTTAR PRADESH,0.00979990440439795
3,2016-05-01,MEERUT,UTTAR PRADESH,0.005887728748057547
10,2016-05-01,AVERAGE,,0.003858999286247664
4,2016-05-01,AMRITSAR,PUNJAB,0.0
5,2016-05-01,RAIGANJ,WEST BENGAL,0.0
6,2016-05-01,PURULIA,WEST BENGAL,0.0
7,2016-05-01,MALDA,WEST BENGAL,0.0
8,2016-05-01,KHARAGPUR,WEST BENGAL,0.0
9,2016-05-01,VARANASI,UTTAR PRADESH,0.0
0,2016-06-01,PURULIA,WEST BENGAL,0.02141556384762882
1,2016-06-01,GORAKHPUR,UTTAR PRADESH,0.019939037445385784
2,2016-06-01,VARANASI,UTTAR PRADESH,0.017744979215183386
3,2016-06-01,LUCKNOW,UTTAR PRADESH,0.014599453427242332
4,2016-06-01,AMRITSAR,PUNJAB,0.012440906950491595
5,2016-06-01,MEERUT,UTTAR PRADESH,0.009594795671348588
10,2016-06-01,AVERAGE,,0.005318596475404472
6,2016-06-01,AGRA,UTTAR PRADESH,0.0
7,2016-06-01,ALLAHABAD,UTTAR PRADESH,0.0
8,2016-06-01,PANCHKULA,PUNJAB,0.0
9,2016-06-01,JHANSI,UTTAR PRADESH,0.0
0,2016-07-01,KHARAGPUR,WEST BENGAL,0.0996594840930602
