<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:f9cd604fe5be834ac5bed27da86747095f04c41889eb6bf29bf7eeee02aa6e78
size 394821
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2018-07-08,2018-08-20,Anomaly,Anomaly,Anomaly,12.257352941176471,KARNATAKA,SRINIVASAPUR
2018-07-15,2018-08-27,Anomaly,Anomaly,Anomaly,12.257352941176471,KARNATAKA,SRINIVASAPUR
2018-07-22,2018-09-03,Anomaly,Anomaly,Anomaly,12.257352941176471,KARNATAKA,SRINIVASAPUR
2021-09-05,2021-10-18,Anomaly,Anomaly,Anomaly,8.982035928143713,KARNATAKA,SRINIVASAPUR
2018-07-29,2018-09-10,Anomaly,Anomaly,Anomaly,8.823529411764708,KARNATAKA,SRINIVASAPUR
2018-07-08,2018-08-20,Anomaly,Anomaly,Anomaly,4.2735042735042725,KARNATAKA,MYSORE (BANDIPALYA)
2018-07-15,2018-08-27,Anomaly,Anomaly,Anomaly,4.2735042735042725,KARNATAKA,MYSORE (BANDIPALYA)
2018-07-29,2018-09-10,Anomaly,Anomaly,Anomaly,3.991017964071857,KARNATAKA,CHINTAMANI
2018-07-22,2018-09-03,Anomaly,Anomaly,Anomaly,3.988603988603989,KARNATAKA,MYSORE (BANDIPALYA)
2018-07-29,2018-09-10,Anomaly,Anomaly,Anomaly,3.988603988603989,KARNATAKA,MYSORE (BANDIPALYA)
2018-07-22,2018-09-03,Anomaly,Anomaly,Anomaly,3.76940133037694,KARNATAKA,CHICKKABALLAPURA
2018-07-22,2018-09-03,Anomaly,Anomaly,Anomaly,3.3743169398907105,KARNATAKA,MULABAGILU
2021-09-05,2021-10-18,Anomaly,Anomaly,Anomaly,2.658354114713217,KARNATAKA,MULABAGILU
2018-07-29,2018-09-10,Anomaly,Anomaly,Anomaly,2.4937655860349133,KARNATAKA,CHICKKABALLAPURA
2021-08-29,2021-10-11,Anomaly,Anomaly,Anomaly,2.4937655860349133,KARNATAKA,MULABAGILU
2018-08-05,2018-09-17,Anomaly,Anomaly,Anomaly,2.4550898203592806,KARNATAKA,CHINTAMANI
2021-11-07,2021-12-20,Anomaly,Anomaly,Anomaly,2.393214177521963,KARNATAKA,MYSORE (BANDIPALYA)
2021-08-22,2021-10-04,Anomaly,Anomaly,Anomaly,2.326683291770573,KARNATAKA,MULABAGILU
2018-08-05,2018-09-17,Anomaly,Anomaly,Anomaly,2.194513715710724,KARNATAKA,CHICKKABALLAPURA
2018-07-08,2018-08-20,Anomaly,Anomaly,Anomaly,2.1546546546546548,KARNATAKA,MULABAGILU
2018-08-05,2018-09-17,Anomaly,Anomaly,Anomaly,2.119850187265917,KARNATAKA,SRINIVASAPUR
2018-09-02,2018-10-15,Anomaly,Anomaly,Anomaly,2.119850187265917,KARNATAKA,SRINIVASAPUR
2018-07-29,2018-09-10,Anomaly,Anomaly,Anomaly,2.0901639344262297,KARNATAKA,MULABAGILU
2018-09-02,2018-10-15,Anomaly,Anomaly,Anomaly,2.0706214689265536,KARNATAKA,CHINTAMANI
2021-08-29,2021-10-11,Anomaly,Anomaly,Normal,8.982035928143713,KARNATAKA,SRINIVASAPUR
2021-08-22,2021-10-04,Anomaly,Anomaly,Normal,4.991017964071856,KARNATAKA,SRINIVASAPUR
2017-11-19,2018-01-01,Anomaly,Anomaly,Normal,4.717761239471356,UTTAR PRADESH,AURAIYA
2021-08-22,2021-10-04,Anomaly,Anomaly,Normal,4.49438202247191,KARNATAKA,CHINTAMANI
2021-08-22,2021-10-04,Anomaly,Anomaly,Normal,4.491017964071856,MAHARASHTRA,PUNE
2020-06-14,2020-07-27,Anomaly,Anomaly,Normal,4.087193460490464,UTTAR PRADESH,GONDA
2021-08-15,2021-09-27,Anomaly,Anomaly,Normal,4.052369077306733,MAHARASHTRA,PUNE
2020-06-21,2020-08-03,Anomaly,Anomaly,Normal,3.746877601998335,UTTAR PRADESH,GONDA
2020-06-21,2020-08-03,Anomaly,Anomaly,Normal,3.6636136552872607,UTTAR PRADESH,BARABANKI
2021-08-08,2021-09-20,Anomaly,Anomaly,Normal,3.5928143712574854,KARNATAKA,SRINIVASAPUR
2021-08-15,2021-09-27,Anomaly,Anomaly,Normal,3.5928143712574854,KARNATAKA,SRINIVASAPUR
2017-10-15,2017-11-27,Anomaly,Anomaly,Normal,3.42853528163119,UTTAR PRADESH,AURAIYA
2019-03-24,2019-05-06,Anomaly,Anomaly,Normal,3.274139844617092,KARNATAKA,MYSORE (BANDIPALYA)
2020-06-21,2020-08-03,Anomaly,Anomaly,Normal,3.211991434689508,UTTAR PRADESH,LUCKNOW
2017-12-31,2018-02-12,Anomaly,Anomaly,Normal,3.1496062992125986,KARNATAKA,SRINIVASAPUR
2017-11-26,2018-01-08,Anomaly,Anomaly,Normal,2.76945039257673,UTTAR PRADESH,BARABANKI
2021-11-14,2021-12-27,Anomaly,Anomaly,Normal,2.70793036752569,KARNATAKA,CHICKKABALLAPURA
2021-11-21,2022-01-03,Anomaly,Anomaly,Normal,2.70793036752569,KARNATAKA,CHICKKABALLAPURA
2018-10-07,2018-11-19,Anomaly,Anomaly,Normal,2.6865671641791047,KARNATAKA,SRINIVASAPUR
2019-03-31,2019-05-13,Anomaly,Anomaly,Normal,2.679382379654859,KARNATAKA,MYSORE (BANDIPALYA)
2017-12-31,2018-02-12,Anomaly,Anomaly,Normal,2.589641434262948,KARNATAKA,MYSORE (BANDIPALYA)
2017-11-26,2018-01-08,Anomaly,Anomaly,Normal,2.5749423520368957,UTTAR PRADESH,KANNAUJ
2018-09-02,2018-10-15,Anomaly,Anomaly,Normal,2.5641025641025643,KARNATAKA,MYSORE (BANDIPALYA)
2018-09-09,2018-10-22,Anomaly,Anomaly,Normal,2.5641025641025643,KARNATAKA,MYSORE (BANDIPALYA)
2017-11-26,2018-01-08,Anomaly,Anomaly,Normal,2.5518831667947732,UTTAR PRADESH,PUKHRAYAN
2018-09-16,2018-10-29,Anomaly,Anomaly,Normal,2.49438202247191,KARNATAKA,SRINIVASAPUR
2021-08-08,2021-09-20,Anomaly,Anomaly,Normal,2.4937655860349133,KARNATAKA,MULABAGILU
