<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:a42c4dc83f5044edefd3bb88d6ce0f8c06d8135ac5dd4da44290323542fe6c32
size 83256
=======
DATE,STATENAME,MANDINAME,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,PUNJAB,AMRITSAR,0.0,Normal,Normal,Normal
2016-01-01,PUNJAB,BATHINDA,0.0,Normal,Normal,Normal
2016-01-01,PUNJAB,CHANDIGARH,0.0,Normal,Normal,Normal
2016-01-01,PUNJAB,LUDHIANA,0.0,Normal,Normal,Normal
2016-01-01,PUNJAB,PANCHKULA,0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,AGRA,0.036206566256098416,Anomaly,Normal,Normal
2016-01-01,UTTAR PRADESH,ALLAHABAD,0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,GORAKHPUR,0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,JHANSI,0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,LUCKNOW,0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,MEERUT,0.01866256171767232,Anomaly,Normal,Normal
2016-01-01,UTTAR PRADESH,VARANASI,0.0,Normal,Normal,Normal
2016-01-01,WEST BENGAL,KHARAGPUR,0.0,Normal,Normal,Normal
2016-01-01,WEST BENGAL,KOLKATA,0.0245925206388251,Anomaly,Normal,Normal
2016-01-01,WEST BENGAL,MALDA,0.0,Normal,Normal,Normal
2016-01-01,WEST BENGAL,PURULIA,0.0,Normal,Normal,Normal
2016-01-01,WEST BENGAL,RAIGANJ,0.0,Normal,Normal,Normal
2016-01-01,WEST BENGAL,SILIGURI,0.017050350453881726,Anomaly,Normal,Normal
2016-02-01,PUNJAB,AMRITSAR,0.0,Normal,Normal,Normal
2016-02-01,PUNJAB,BATHINDA,0.0,Normal,Normal,Normal
2016-02-01,PUNJAB,CHANDIGARH,0.0,Normal,Normal,Normal
2016-02-01,PUNJAB,LUDHIANA,0.0,Normal,Normal,Normal
2016-02-01,PUNJAB,PANCHKULA,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,AGRA,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,ALLAHABAD,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,GORAKHPUR,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,JHANSI,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,LUCKNOW,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,MEERUT,0.012925768530823063,Anomaly,Normal,Normal
2016-02-01,UTTAR PRADESH,VARANASI,0.011245925907593005,Anomaly,Normal,Normal
2016-02-01,WEST BENGAL,KHARAGPUR,0.0,Normal,Normal,Normal
2016-02-01,WEST BENGAL,KOLKATA,0.009791208740244552,Anomaly,Normal,Normal
2016-02-01,WEST BENGAL,MALDA,0.0,Normal,Normal,Normal
2016-02-01,WEST BENGAL,PURULIA,0.0,Normal,Normal,Normal
2016-02-01,WEST BENGAL,RAIGANJ,0.0,Normal,Normal,Normal
2016-02-01,WEST BENGAL,SILIGURI,0.0,Normal,Normal,Normal
2016-03-01,PUNJAB,AMRITSAR,0.01265782050098292,Normal,Anomaly,Normal
