<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:a83fb1fb7b46201109ed1e70d623a33edce80acb5da69fe1d28bd0d77a56ce73
size 223014
=======
STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear,STATENAME,MANDINAME
2017-01-01,2017-02-13,43.58350097765685,0.5330810174757498,43.73390151490293,Normal,WEST BENGAL,DURGAPUR
2017-01-01,2017-02-13,3.4640151503945713,0.9640151503945706,4.428030300789142,Normal,UTTAR PRADESH,SAFDARGANJ
2017-01-01,2017-02-13,3.211142833679632,1.2888571663203683,1.9222856673592639,Normal,UTTAR PRADESH,PRATAPGARH
2017-01-01,2017-02-13,1.381566024124461,0.18371883670973962,1.2631320482489221,Normal,UTTAR PRADESH,KAYAMGANJ
2017-01-01,2017-02-13,1.8136363945272422,0.1863636054727574,1.6272727890544856,Normal,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-01-01,2017-02-13,6.258475378224136,1.6675662873150445,4.6000000000000005,Normal,WEST BENGAL,KATWA
2017-01-01,2017-02-13,0.9899172262239507,0.1667813990623876,0.8647772420956266,Normal,WEST BENGAL,KASIPUR
2017-01-01,2017-02-13,0.6901644575367747,0.11288934821790227,0.7438722026651416,Normal,UTTAR PRADESH,RAATH
2017-01-08,2017-02-20,3.2331371998137794,1.266862800186221,1.966274399627558,Anomaly,UTTAR PRADESH,PRATAPGARH
2017-01-08,2017-02-20,43.52668279583865,0.5444446538393861,43.68844696944839,Normal,WEST BENGAL,DURGAPUR
2017-01-08,2017-02-20,3.4977904028645836,0.9977904028645832,4.495580805729166,Normal,UTTAR PRADESH,SAFDARGANJ
2017-01-08,2017-02-20,1.4104585495253923,0.16613235902006226,1.3209170990507844,Normal,UTTAR PRADESH,KAYAMGANJ
2017-01-08,2017-02-20,1.8886363942545155,0.1886363324727574,1.7772727885090305,Normal,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-01-08,2017-02-20,6.47921401480084,1.8701231057099312,4.618181818181818,Normal,WEST BENGAL,KATWA
2017-01-08,2017-02-20,0.990063950542639,0.16903366413763857,0.8581262467936089,Normal,WEST BENGAL,KASIPUR
2017-01-08,2017-02-20,0.6895227096684514,0.1223496869952081,0.7682921698420695,Normal,UTTAR PRADESH,RAATH
2017-01-15,2017-02-27,3.2899147968896143,1.2100852031103861,2.0798295937792277,Anomaly,UTTAR PRADESH,PRATAPGARH
2017-01-15,2017-02-27,43.52100097765683,0.5501264720212043,43.642992423993846,Normal,WEST BENGAL,DURGAPUR
2017-01-15,2017-02-27,3.614267675378788,1.1142676753787877,4.728535350757576,Normal,UTTAR PRADESH,SAFDARGANJ
2017-01-15,2017-02-27,1.5024581101080465,0.1218600711646805,1.5049162202160935,Normal,UTTAR PRADESH,KAYAMGANJ
2017-01-15,2017-02-27,1.9345117995423964,0.18821547263942176,1.869023599084793,Normal,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-01-15,2017-02-27,6.559895832982658,1.8962594693462949,4.672727272727273,Normal,WEST BENGAL,KATWA
2017-01-15,2017-02-27,0.9976270706030838,0.16700082437765662,0.8615353377027,Normal,WEST BENGAL,KASIPUR
2017-01-15,2017-02-27,0.6784298177610314,0.14618645572569447,0.7503603935218304,Normal,UTTAR PRADESH,RAATH
2017-01-22,2017-03-06,43.48122825038411,0.5330810174757498,43.54071969672112,Normal,WEST BENGAL,DURGAPUR
2017-01-22,2017-03-06,3.7499999988636366,1.2499999988636363,4.999999997727273,Normal,UTTAR PRADESH,SAFDARGANJ
2017-01-22,2017-03-06,3.323626917919917,1.1763730820800828,2.1472538358398343,Normal,UTTAR PRADESH,PRATAPGARH
2017-01-22,2017-03-06,1.5381818173522723,0.12022727301136366,1.5763636347045449,Normal,UTTAR PRADESH,KAYAMGANJ
2017-01-22,2017-03-06,2.007617860432548,0.1605639572038157,2.0152357208650957,Normal,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-01-22,2017-03-06,6.703077651164477,1.946259469346295,4.765909090909091,Normal,WEST BENGAL,KATWA
2017-01-22,2017-03-06,0.9984267027290991,0.16666409286730832,0.8558535195208816,Normal,WEST BENGAL,KASIPUR
2017-01-22,2017-03-06,0.6726481692951828,0.13395977328378014,0.7300427994164359,Normal,UTTAR PRADESH,RAATH
2017-01-29,2017-03-13,43.486910068565926,0.42512647202120435,43.5975378785393,Normal,WEST BENGAL,DURGAPUR
2017-01-29,2017-03-13,3.8727483062570354,1.372748306257035,5.24549661251407,Normal,UTTAR PRADESH,SAFDARGANJ
2017-01-29,2017-03-13,3.3290110880425603,1.1709889119574393,2.1580221760851215,Normal,UTTAR PRADESH,PRATAPGARH
2017-01-29,2017-03-13,1.533579533543743,0.11573864772898451,1.567159067087485,Normal,UTTAR PRADESH,KAYAMGANJ
2017-01-29,2017-03-13,2.0261363633636367,0.1420454542727273,2.052272726727273,Normal,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-01-29,2017-03-13,6.790577651164478,2.011032196619023,4.779545454545454,Normal,WEST BENGAL,KATWA
2017-01-29,2017-03-13,0.9987023395962531,0.16415563783105325,0.8606830654015636,Normal,WEST BENGAL,KASIPUR
2017-01-29,2017-03-13,0.689037667039635,0.13885627360938702,0.7630711780876077,Normal,UTTAR PRADESH,RAATH
2017-02-05,2017-03-20,43.40736461402047,0.42512647202120435,43.54071969672112,Normal,WEST BENGAL,DURGAPUR
2017-02-05,2017-03-20,4.006271033316694,1.506271033316694,5.5125420666333875,Normal,UTTAR PRADESH,SAFDARGANJ
