<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1404b8b44cfa6968cf17290b6b84adc1e88bf922b1a0304b7d703dea627ebe48
size 197044
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2021-04-18,2021-05-31,Anomaly,Anomaly,Anomaly,1.1999200053329775,WEST BENGAL,DURGAPUR
2021-04-18,2021-05-31,Anomaly,Anomaly,Anomaly,1.1999200053329775,WEST BENGAL,KASIPUR
2021-04-18,2021-05-31,Anomaly,Anomaly,Anomaly,1.1999200053329775,WEST BENGAL,KATWA
2019-11-24,2020-01-06,Anomaly,Anomaly,Anomaly,1.1952649120790713,UTTAR PRADESH,KAYAMGANJ
2019-12-01,2020-01-13,Anomaly,Anomaly,Anomaly,1.1952649120790713,UTTAR PRADESH,KAYAMGANJ
2021-04-04,2021-05-17,Anomaly,Anomaly,Anomaly,1.1878397422991749,WEST BENGAL,DURGAPUR
2021-04-04,2021-05-17,Anomaly,Anomaly,Anomaly,1.1878397422991749,WEST BENGAL,KASIPUR
2021-04-04,2021-05-17,Anomaly,Anomaly,Anomaly,1.1878397422991749,WEST BENGAL,KATWA
2017-02-19,2017-04-03,Anomaly,Anomaly,Anomaly,1.1448568928860454,UTTAR PRADESH,KAYAMGANJ
2020-05-24,2020-07-06,Anomaly,Anomaly,Anomaly,1.141571535705358,UTTAR PRADESH,SAFDARGANJ
2020-05-31,2020-07-13,Anomaly,Anomaly,Anomaly,1.141571535705358,UTTAR PRADESH,SAFDARGANJ
2020-06-07,2020-07-20,Anomaly,Anomaly,Anomaly,1.141571535705358,UTTAR PRADESH,SAFDARGANJ
2017-01-22,2017-03-06,Anomaly,Anomaly,Anomaly,1.1340080477990488,UTTAR PRADESH,KAYAMGANJ
2017-01-29,2017-03-13,Anomaly,Anomaly,Anomaly,1.1340080477990488,UTTAR PRADESH,KAYAMGANJ
2017-02-05,2017-03-20,Anomaly,Anomaly,Anomaly,1.1340080477990488,UTTAR PRADESH,KAYAMGANJ
2017-02-12,2017-03-27,Anomaly,Anomaly,Anomaly,1.1218144128764784,UTTAR PRADESH,KAYAMGANJ
2020-10-25,2020-12-07,Anomaly,Anomaly,Anomaly,1.1076071071456042,WEST BENGAL,DURGAPUR
2020-11-01,2020-12-14,Anomaly,Anomaly,Anomaly,1.1076071071456042,WEST BENGAL,DURGAPUR
2020-10-25,2020-12-07,Anomaly,Anomaly,Anomaly,1.1076071071456042,WEST BENGAL,KASIPUR
2020-11-01,2020-12-14,Anomaly,Anomaly,Anomaly,1.1076071071456042,WEST BENGAL,KASIPUR
2020-10-25,2020-12-07,Anomaly,Anomaly,Anomaly,1.1076071071456042,WEST BENGAL,KATWA
2020-11-01,2020-12-14,Anomaly,Anomaly,Anomaly,1.1076071071456042,WEST BENGAL,KATWA
2018-02-18,2018-04-02,Anomaly,Anomaly,Anomaly,1.105662917027209,UTTAR PRADESH,SAFDARGANJ
2018-02-25,2018-04-09,Anomaly,Anomaly,Anomaly,1.105662917027209,UTTAR PRADESH,SAFDARGANJ
2019-11-17,2019-12-30,Anomaly,Anomaly,Anomaly,1.1033214573037582,UTTAR PRADESH,KAYAMGANJ
2017-02-26,2017-04-10,Anomaly,Anomaly,Anomaly,1.0998625171853518,UTTAR PRADESH,KAYAMGANJ
2019-03-17,2019-04-29,Anomaly,Anomaly,Anomaly,1.0974271430313376,UTTAR PRADESH,KAYAMGANJ
2019-03-24,2019-05-06,Anomaly,Anomaly,Anomaly,1.0974271430313376,UTTAR PRADESH,KAYAMGANJ
2020-03-01,2020-04-13,Anomaly,Anomaly,Anomaly,1.0971951529511872,UTTAR PRADESH,SAFDARGANJ
2020-03-08,2020-04-20,Anomaly,Anomaly,Anomaly,1.0949682877022664,UTTAR PRADESH,SAFDARGANJ
2020-04-26,2020-06-08,Anomaly,Anomaly,Anomaly,1.0915757020248311,UTTAR PRADESH,SAFDARGANJ
2020-05-03,2020-06-15,Anomaly,Anomaly,Anomaly,1.0915757020248311,UTTAR PRADESH,SAFDARGANJ
2020-05-10,2020-06-22,Anomaly,Anomaly,Anomaly,1.0915757020248311,UTTAR PRADESH,SAFDARGANJ
2020-05-17,2020-06-29,Anomaly,Anomaly,Anomaly,1.0915757020248311,UTTAR PRADESH,SAFDARGANJ
2021-04-25,2021-06-07,Anomaly,Anomaly,Anomaly,1.090842979213381,WEST BENGAL,DURGAPUR
2021-04-25,2021-06-07,Anomaly,Anomaly,Anomaly,1.090842979213381,WEST BENGAL,KASIPUR
2021-04-25,2021-06-07,Anomaly,Anomaly,Anomaly,1.090842979213381,WEST BENGAL,KATWA
2020-11-08,2020-12-21,Anomaly,Anomaly,Anomaly,1.0908264525414741,WEST BENGAL,DURGAPUR
2020-11-08,2020-12-21,Anomaly,Anomaly,Anomaly,1.0908264525414741,WEST BENGAL,KASIPUR
2020-11-08,2020-12-21,Anomaly,Anomaly,Anomaly,1.0908264525414741,WEST BENGAL,KATWA
2019-05-26,2019-07-08,Anomaly,Anomaly,Anomaly,1.0872657808969397,UTTAR PRADESH,KAYAMGANJ
2020-06-14,2020-07-27,Anomaly,Anomaly,Anomaly,1.0872153003729863,UTTAR PRADESH,SAFDARGANJ
2018-12-09,2019-01-21,Anomaly,Anomaly,Anomaly,1.0868012572463337,UTTAR PRADESH,SAFDARGANJ
2017-01-15,2017-02-27,Anomaly,Anomaly,Anomaly,1.079422792864447,UTTAR PRADESH,KAYAMGANJ
2020-03-15,2020-04-27,Anomaly,Anomaly,Anomaly,1.0789100908238447,UTTAR PRADESH,SAFDARGANJ
2020-06-21,2020-08-03,Anomaly,Anomaly,Anomaly,1.0786552239981104,UTTAR PRADESH,SAFDARGANJ
2020-10-18,2020-11-30,Anomaly,Anomaly,Anomaly,1.0768402430582262,WEST BENGAL,DURGAPUR
2020-10-18,2020-11-30,Anomaly,Anomaly,Anomaly,1.0768402430582262,WEST BENGAL,KASIPUR
2020-10-18,2020-11-30,Anomaly,Anomaly,Anomaly,1.0768402430582262,WEST BENGAL,KATWA
2020-02-16,2020-03-30,Anomaly,Anomaly,Anomaly,1.0768310400820442,UTTAR PRADESH,SAFDARGANJ
2020-02-23,2020-04-06,Anomaly,Anomaly,Anomaly,1.0768310400820442,UTTAR PRADESH,SAFDARGANJ
2018-06-10,2018-07-23,Anomaly,Anomaly,Anomaly,1.0721599807252138,UTTAR PRADESH,KAYAMGANJ
2018-06-17,2018-07-30,Anomaly,Anomaly,Anomaly,1.0721599807252138,UTTAR PRADESH,KAYAMGANJ
2018-06-24,2018-08-06,Anomaly,Anomaly,Anomaly,1.0721599807252138,UTTAR PRADESH,KAYAMGANJ
2018-07-01,2018-08-13,Anomaly,Anomaly,Anomaly,1.0721599807252138,UTTAR PRADESH,KAYAMGANJ
2020-02-09,2020-03-23,Anomaly,Anomaly,Anomaly,1.0694722198069733,UTTAR PRADESH,SAFDARGANJ
2019-06-02,2019-07-15,Anomaly,Anomaly,Anomaly,1.0691798991042707,UTTAR PRADESH,KAYAMGANJ
2020-03-22,2020-05-04,Anomaly,Anomaly,Anomaly,1.0655913093553584,UTTAR PRADESH,SAFDARGANJ
2018-12-16,2019-01-28,Anomaly,Anomaly,Anomaly,1.0647162299787056,UTTAR PRADESH,SAFDARGANJ
2020-06-28,2020-08-10,Anomaly,Anomaly,Anomaly,1.0619331834741492,UTTAR PRADESH,SAFDARGANJ
2019-03-31,2019-05-13,Anomaly,Anomaly,Anomaly,1.0608462382636263,UTTAR PRADESH,KAYAMGANJ
2019-05-19,2019-07-01,Anomaly,Anomaly,Anomaly,1.0608462382636263,UTTAR PRADESH,KAYAMGANJ
2018-07-08,2018-08-20,Anomaly,Anomaly,Anomaly,1.0593976907511011,UTTAR PRADESH,KAYAMGANJ
2018-07-15,2018-08-27,Anomaly,Anomaly,Anomaly,1.0593976907511011,UTTAR PRADESH,KAYAMGANJ
2018-07-22,2018-09-03,Anomaly,Anomaly,Anomaly,1.0593976907511011,UTTAR PRADESH,KAYAMGANJ
2018-07-29,2018-09-10,Anomaly,Anomaly,Anomaly,1.0593976907511011,UTTAR PRADESH,KAYAMGANJ
2021-05-02,2021-06-14,Anomaly,Anomaly,Anomaly,1.0587612493382743,WEST BENGAL,DURGAPUR
2021-05-02,2021-06-14,Anomaly,Anomaly,Anomaly,1.0587612493382743,WEST BENGAL,KASIPUR
2021-05-02,2021-06-14,Anomaly,Anomaly,Anomaly,1.0587612493382743,WEST BENGAL,KATWA
2019-06-09,2019-07-22,Anomaly,Anomaly,Anomaly,1.058698976590989,UTTAR PRADESH,KAYAMGANJ
2019-06-16,2019-07-29,Anomaly,Anomaly,Anomaly,1.058698976590989,UTTAR PRADESH,KAYAMGANJ
2019-06-23,2019-08-05,Anomaly,Anomaly,Anomaly,1.058698976590989,UTTAR PRADESH,KAYAMGANJ
2018-09-16,2018-10-29,Anomaly,Anomaly,Anomaly,1.0573497299161017,UTTAR PRADESH,KAYAMGANJ
2020-10-04,2020-11-16,Anomaly,Anomaly,Anomaly,1.0537650949926929,WEST BENGAL,DURGAPUR
