<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:206dbdc3e845bfe0b7d80ec92edc77862e2cd8880a741ff710d44cd714adecc3
size 235795
=======
MANDINAME,DATE,ARRIVAL,MIN,MAX,PRICE,MANDICODE
AZADPUR,2016-01-01,1558.9,400.0,650.0,535.0,164
KESHOPUR,2016-01-01,337.15,450.0,700.0,600.0,165
SHAHDARA,2016-01-01,460.95,400.0,600.0,500.0,166
AZADPUR,2016-01-02,1492.7,500.0,640.0,518.0,164
KESHOPUR,2016-01-02,212.55,,,,165
SHAHDARA,2016-01-02,2008.0,400.0,600.0,500.0,166
KESHOPUR,2016-01-03,206.45,,,,165
SHAHDARA,2016-01-03,3243.0,400.0,600.0,500.0,166
AZADPUR,2016-01-04,261.8,360.0,600.0,513.0,164
KESHOPUR,2016-01-04,101.55,,,,165
SHAHDARA,2016-01-04,520.15,400.0,600.0,500.0,166
AZADPUR,2016-01-05,1448.3,360.0,600.0,514.0,164
KESHOPUR,2016-01-05,166.55,400.0,650.0,600.0,165
SHAHDARA,2016-01-05,433.35,400.0,600.0,500.0,166
AZADPUR,2016-01-06,1520.9,360.0,600.0,514.0,164
SHAHDARA,2016-01-06,368.2,400.0,600.0,500.0,166
AZADPUR,2016-01-07,1614.5,320.0,560.0,464.0,164
KESHOPUR,2016-01-07,10.15,500.0,600.0,550.0,165
SHAHDARA,2016-01-07,480.8,400.0,600.0,500.0,166
AZADPUR,2016-01-08,1548.9,320.0,540.0,448.0,164
KESHOPUR,2016-01-08,269.25,400.0,600.0,550.0,165
SHAHDARA,2016-01-08,295.6,400.0,600.0,500.0,166
AZADPUR,2016-01-09,1399.5,320.0,540.0,448.0,164
KESHOPUR,2016-01-09,133.65,400.0,600.0,550.0,165
SHAHDARA,2016-01-09,383.2,400.0,600.0,500.0,166
KESHOPUR,2016-01-10,185.05,450.0,600.0,550.0,165
SHAHDARA,2016-01-10,422.55,400.0,600.0,500.0,166
AZADPUR,2016-01-11,388.7,320.0,560.0,460.0,164
KESHOPUR,2016-01-11,191.4,400.0,575.0,525.0,165
SHAHDARA,2016-01-11,231.65,400.0,600.0,500.0,166
AZADPUR,2016-01-12,1760.0,320.0,600.0,456.0,164
KESHOPUR,2016-01-12,182.35,400.0,600.0,550.0,165
SHAHDARA,2016-01-12,407.25,400.0,600.0,500.0,166
AZADPUR,2016-01-13,1554.6,320.0,600.0,456.0,164
KESHOPUR,2016-01-13,126.7,,,,165
SHAHDARA,2016-01-13,434.1,400.0,600.0,500.0,166
AZADPUR,2016-01-14,1483.4,320.0,600.0,445.0,164
KESHOPUR,2016-01-14,39.7,400.0,650.0,600.0,165
SHAHDARA,2016-01-14,434.1,400.0,600.0,500.0,166
AZADPUR,2016-01-15,1084.1,280.0,600.0,448.0,164
KESHOPUR,2016-01-15,132.7,400.0,650.0,575.0,165
SHAHDARA,2016-01-15,308.6,400.0,600.0,500.0,166
AZADPUR,2016-01-16,1338.1,280.0,600.0,448.0,164
KESHOPUR,2016-01-16,280.5,400.0,600.0,520.0,165
SHAHDARA,2016-01-16,352.3,,,,166
KESHOPUR,2016-01-17,186.9,410.0,600.0,530.0,165
AZADPUR,2016-01-18,207.7,280.0,600.0,453.0,164
KESHOPUR,2016-01-18,120.7,400.0,600.0,550.0,165
SHAHDARA,2016-01-18,438.0,,,,166
AZADPUR,2016-01-19,1850.6,280.0,600.0,453.0,164
KESHOPUR,2016-01-19,178.95,400.0,600.0,500.0,165
AZADPUR,2016-01-20,1505.8,,,,164
KESHOPUR,2016-01-20,227.6,,,,165
SHAHDARA,2016-01-20,384.2,,,,166
AZADPUR,2016-01-21,1276.0,300.0,600.0,465.0,164
KESHOPUR,2016-01-21,30.6,400.0,550.0,500.0,165
SHAHDARA,2016-01-21,303.5,,,,166
AZADPUR,2016-01-22,1346.2,300.0,580.0,455.0,164
KESHOPUR,2016-01-22,200.95,400.0,600.0,550.0,165
SHAHDARA,2016-01-22,364.6,,,,166
AZADPUR,2016-01-23,1692.6,300.0,580.0,455.0,164
KESHOPUR,2016-01-23,132.95,450.0,600.0,500.0,165
KESHOPUR,2016-01-24,263.2,400.0,600.0,550.0,165
SHAHDARA,2016-01-24,394.3,,,,166
AZADPUR,2016-01-25,535.6,,,,164
AZADPUR,2016-01-27,165.4,,,,164
AZADPUR,2016-01-28,1750.6,360.0,640.0,495.0,164
KESHOPUR,2016-01-28,199.5,400.0,550.0,500.0,165
AZADPUR,2016-01-29,1861.0,340.0,640.0,480.0,164
KESHOPUR,2016-01-29,291.35,450.0,550.0,500.0,165
AZADPUR,2016-01-30,1837.7,,,,164
KESHOPUR,2016-01-30,221.3,400.0,600.0,550.0,165
SHAHDARA,2016-01-30,523.4,,,,166
KESHOPUR,2016-01-31,261.8,500.0,700.0,620.0,165
SHAHDARA,2016-01-31,271.5,300.0,500.0,400.0,166
AZADPUR,2016-02-01,220.4,,,,164
KESHOPUR,2016-02-01,263.73,,,,165
AZADPUR,2016-02-02,1725.0,,,,164
KESHOPUR,2016-02-02,203.6,400.0,580.0,500.0,165
SHAHDARA,2016-02-02,413.65,300.0,500.0,400.0,166
AZADPUR,2016-02-03,1543.7,300.0,600.0,440.0,164
SHAHDARA,2016-02-03,410.3,300.0,500.0,400.0,166
