<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:5460cff0f555b8766c67b7b90a26e7aeb2a9e0b4df0c482ded6304019e68355a
size 1824
=======
DATE,DISPERSION
2016-01-01,0.018805194025754576
2016-02-01,0.020454680842205586
2016-03-01,0.020793104826218593
2016-04-01,0.020770236065000797
2016-05-01,0.019035772331251644
2016-06-01,0.018309830032999328
2016-07-01,0.018829906166749108
2016-08-01,0.020248567623580103
2016-09-01,0.021315267406148714
2016-10-01,0.020305332879246903
2016-11-01,0.02018364012521116
2016-12-01,0.02091614414835345
2017-01-01,0.023581113023862385
2017-02-01,0.023817029436942735
2017-03-01,0.025677886653786428
2017-04-01,0.026367717877596994
2017-05-01,0.02775426858601643
2017-06-01,0.029188272479017043
2017-07-01,0.0283458398649491
2017-08-01,0.02553490289278024
2017-09-01,0.024034917227407783
2017-10-01,0.02146456339892617
2017-11-01,0.020462201621783315
2017-12-01,0.020293105484356828
2018-01-01,0.020349146727688294
2018-02-01,0.019732828801787256
2018-03-01,0.020266862098619984
2018-04-01,0.02026897861225268
2018-05-01,0.019715585782290705
2018-06-01,0.021141438439222966
2018-07-01,0.02006382933967416
2018-08-01,0.018317747701453772
2018-09-01,0.017730170787964853
2018-10-01,0.017670958807458052
2018-11-01,0.01756068318173996
2018-12-01,0.017868284209180928
2019-01-01,0.018632235150815978
2019-02-01,0.018109563231367833
2019-03-01,0.014295941409654444
2019-04-01,0.013977734382525963
2019-05-01,0.013744739326366358
2019-06-01,0.014485672025077646
2019-07-01,0.015775651516564133
2019-08-01,0.0158556119383483
2019-09-01,0.015161960279591623
2019-10-01,0.016755923536935648
2019-11-01,0.018831420804672518
2019-12-01,0.019969481268294148
2020-01-01,0.018085127943478843
2020-02-01,0.01760593585114976
2020-03-01,0.017543952590423822
2020-04-01,0.021067214097336823
2020-05-01,0.02172572568472507
2020-06-01,0.022414961228809517
2020-07-01,0.02191437993571126
2020-08-01,0.022286786525612903
2020-09-01,0.02155725062987458
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
