<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:f39140152e8206a0b239d0dcc14c1084a91f32b139ab072b47255a1478c64e1f
size 38203
=======
index,DATE,MANDINAME,STATENAME,VOLATILITY
0,2016-01-01,DURGAPUR,WEST BENGAL,0.04308387239985235
1,2016-01-01,KASIPUR,WEST BENGAL,0.018240495048556796
2,2016-01-01,FATEHPUR,UTTAR PRADESH,0.014590526699405687
9,2016-01-01,AVERAGE,,0.009021869358615637
3,2016-01-01,RAATH,UTTAR PRADESH,0.005281930079725906
4,2016-01-01,CHHIBRAMAU(KANNUJ),UTTAR PRADESH,0.0
5,2016-01-01,KAYAMGANJ,UTTAR PRADESH,0.0
6,2016-01-01,PRATAPGARH,UTTAR PRADESH,0.0
7,2016-01-01,SAFDARGANJ,UTTAR PRADESH,0.0
8,2016-01-01,KATWA,WEST BENGAL,0.0
0,2016-02-01,KATWA,WEST BENGAL,0.03290930142194508
1,2016-02-01,KASIPUR,WEST BENGAL,0.021734693864331592
2,2016-02-01,RAATH,UTTAR PRADESH,0.013022837739687744
9,2016-02-01,AVERAGE,,0.008395062423502044
3,2016-02-01,FATEHPUR,UTTAR PRADESH,0.007888728785553994
4,2016-02-01,CHHIBRAMAU(KANNUJ),UTTAR PRADESH,0.0
5,2016-02-01,KAYAMGANJ,UTTAR PRADESH,0.0
6,2016-02-01,PRATAPGARH,UTTAR PRADESH,0.0
7,2016-02-01,SAFDARGANJ,UTTAR PRADESH,0.0
8,2016-02-01,DURGAPUR,WEST BENGAL,0.0
0,2016-03-01,RAATH,UTTAR PRADESH,0.2650239538759258
9,2016-03-01,AVERAGE,,0.035843046301650916
1,2016-03-01,KATWA,WEST BENGAL,0.017921653846839792
2,2016-03-01,KASIPUR,WEST BENGAL,0.017454476373672784
3,2016-03-01,DURGAPUR,WEST BENGAL,0.013694694018901974
4,2016-03-01,FATEHPUR,UTTAR PRADESH,0.008492638599517877
5,2016-03-01,CHHIBRAMAU(KANNUJ),UTTAR PRADESH,0.0
6,2016-03-01,KAYAMGANJ,UTTAR PRADESH,0.0
7,2016-03-01,PRATAPGARH,UTTAR PRADESH,0.0
8,2016-03-01,SAFDARGANJ,UTTAR PRADESH,0.0
0,2016-04-01,KATWA,WEST BENGAL,0.023137822116129844
1,2016-04-01,KASIPUR,WEST BENGAL,0.010258330738173222
2,2016-04-01,FATEHPUR,UTTAR PRADESH,0.008867210503713401
3,2016-04-01,RAATH,UTTAR PRADESH,0.007050191577625454
4,2016-04-01,DURGAPUR,WEST BENGAL,0.007034203698677003
9,2016-04-01,AVERAGE,,0.00632774865067679
5,2016-04-01,PRATAPGARH,UTTAR PRADESH,0.0006019792217721854
6,2016-04-01,CHHIBRAMAU(KANNUJ),UTTAR PRADESH,0.0
7,2016-04-01,KAYAMGANJ,UTTAR PRADESH,0.0
8,2016-04-01,SAFDARGANJ,UTTAR PRADESH,0.0
0,2016-05-01,KATWA,WEST BENGAL,0.10835677927001988
9,2016-05-01,AVERAGE,,0.013691824122400272
1,2016-05-01,FATEHPUR,UTTAR PRADESH,0.007640965251755272
2,2016-05-01,RAATH,UTTAR PRADESH,0.003324438659391073
3,2016-05-01,KASIPUR,WEST BENGAL,0.002614427718548117
4,2016-05-01,PRATAPGARH,UTTAR PRADESH,0.0012898062018881016
5,2016-05-01,CHHIBRAMAU(KANNUJ),UTTAR PRADESH,0.0
6,2016-05-01,KAYAMGANJ,UTTAR PRADESH,0.0
7,2016-05-01,SAFDARGANJ,UTTAR PRADESH,0.0
8,2016-05-01,DURGAPUR,WEST BENGAL,0.0
0,2016-06-01,KASIPUR,WEST BENGAL,0.012031793628189508
1,2016-06-01,FATEHPUR,UTTAR PRADESH,0.005370913962700777
2,2016-06-01,RAATH,UTTAR PRADESH,0.002984219002092838
9,2016-06-01,AVERAGE,,0.002452480954003257
3,2016-06-01,PRATAPGARH,UTTAR PRADESH,0.001685401993046191
4,2016-06-01,CHHIBRAMAU(KANNUJ),UTTAR PRADESH,0.0
5,2016-06-01,KAYAMGANJ,UTTAR PRADESH,0.0
6,2016-06-01,SAFDARGANJ,UTTAR PRADESH,0.0
7,2016-06-01,DURGAPUR,WEST BENGAL,0.0
8,2016-06-01,KATWA,WEST BENGAL,0.0
0,2016-07-01,RAATH,UTTAR PRADESH,0.1270232056553644
1,2016-07-01,KASIPUR,WEST BENGAL,0.024645640460429285
9,2016-07-01,AVERAGE,,0.01843900963593837
2,2016-07-01,DURGAPUR,WEST BENGAL,0.008753235663334854
3,2016-07-01,FATEHPUR,UTTAR PRADESH,0.004213498880794568
4,2016-07-01,PRATAPGARH,UTTAR PRADESH,0.0013155060635222323
5,2016-07-01,CHHIBRAMAU(KANNUJ),UTTAR PRADESH,0.0
6,2016-07-01,KAYAMGANJ,UTTAR PRADESH,0.0
7,2016-07-01,SAFDARGANJ,UTTAR PRADESH,0.0
8,2016-07-01,KATWA,WEST BENGAL,0.0
0,2016-08-01,DURGAPUR,WEST BENGAL,0.009644854433561315
1,2016-08-01,KATWA,WEST BENGAL,0.007276387842190959
2,2016-08-01,RAATH,UTTAR PRADESH,0.004089943883761837
3,2016-08-01,FATEHPUR,UTTAR PRADESH,0.0035153372165564398
4,2016-08-01,KASIPUR,WEST BENGAL,0.003465762865270973
9,2016-08-01,AVERAGE,,0.0032305026799405463
