<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:249067eb6381adf093b75a7fd87016c74037a8606eb7a38327a1b93896e010a2
size 3483
=======
COMMODITY,STATENAME,MANDINAME,CENTRENAME
RICE,WEST BENGAL,PURULIA,PURULIA
RICE,WEST BENGAL,RAIGANJ,RAIGANJ
RICE,UTTAR PRADESH,AGRA,AGRA
RICE,UTTAR PRADESH,ALLAHABAD,ALLAHABAD
RICE,UTTAR PRADESH,GORAKHPUR,GORAKHPUR
RICE,UTTAR PRADESH,JHANSI,JHANSI
RICE,UTTAR PRADESH,LUCKNOW,LUCKNOW
RICE,UTTAR PRADESH,MEERUT,MEERUT
RICE,UTTAR PRADESH,VARANASI,VARANASI
RICE,PUNJAB,AMRITSAR,AMRITSAR
RICE,PUNJAB,BATHINDA,BATHINDA
RICE,PUNJAB,CHANDIGARH,CHANDIGARH
RICE,PUNJAB,LUDHIANA,LUDHIANA
RICE,PUNJAB,PANCHKULA,PANCHKULA
TOMATO,KARNATAKA,SRINIVASAPUR,BENGALURU
TOMATO,KARNATAKA,MULABAGILU,BENGALURU
TOMATO,KARNATAKA,CHINTAMANI,BENGALURU
TOMATO,KARNATAKA,CHICKKABALLAPURA,BENGALURU
TOMATO,KARNATAKA,MYSORE (BANDIPALYA),MYSORE
TOMATO,UTTAR PRADESH,FAIZABAD,LUCKNOW
TOMATO,UTTAR PRADESH,LUCKNOW,LUCKNOW
TOMATO,UTTAR PRADESH,GONDA,LUCKNOW
TOMATO,UTTAR PRADESH,PUKHRAYAN,KANPUR
TOMATO,UTTAR PRADESH,BARABANKI,LUCKNOW
TOMATO,UTTAR PRADESH,AURAIYA,KANPUR
TOMATO,UTTAR PRADESH,KANPUR(GRAIN),KANPUR
TOMATO,UTTAR PRADESH,KANNAUJ,KANPUR
TOMATO,MAHARASHTRA,PUNE,MUMBAI
TOMATO,NCT OF DELHI,AZADPUR,DELHI
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
