<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:9323188045bbc5d2a5cb85fada603db00735b33fe069098ab535b1d99f195075
size 24145
=======
DATE,PRICE_DISPERSION,COMMODITY
2016-01-01,0.03699626988306242,TOMATO
2016-01-01,0.01868039465871657,RICE
2016-01-01,0.01745653284040307,ONION
2016-01-01,0.016982973623196836,MASUR DAL
2016-01-01,0.016951541785754025,AVG
2016-01-01,0.01505151469619074,POTATO
2016-01-01,0.011722577014494813,GREEN GRAM DAL (MOONG DAL)
2016-01-01,0.0017705297842137086,MUSTARD OIL
2016-02-01,0.036521582730268114,TOMATO
2016-02-01,0.02018978115406923,POTATO
2016-02-01,0.019927216011829507,RICE
2016-02-01,0.018585916256444852,MASUR DAL
2016-02-01,0.017932743801017538,AVG
2016-02-01,0.01515813589800179,ONION
2016-02-01,0.013583967449296722,GREEN GRAM DAL (MOONG DAL)
2016-02-01,0.001562607107212561,MUSTARD OIL
2016-03-01,0.040328409970223696,TOMATO
2016-03-01,0.026324498398883133,POTATO
2016-03-01,0.020653322134413305,RICE
2016-03-01,0.019952064010678807,AVG
2016-03-01,0.01901758546319404,MASUR DAL
2016-03-01,0.016559172745328646,ONION
2016-03-01,0.013750560276480051,GREEN GRAM DAL (MOONG DAL)
2016-03-01,0.003030899086228767,MUSTARD OIL
2016-04-01,0.03764885529720449,TOMATO
2016-04-01,0.028833969607822425,POTATO
2016-04-01,0.02088101764336278,RICE
2016-04-01,0.019834180109100853,AVG
2016-04-01,0.019003956928254837,MASUR DAL
2016-04-01,0.015230021821658482,ONION
2016-04-01,0.01371054956508598,GREEN GRAM DAL (MOONG DAL)
2016-04-01,0.003530889900317007,MUSTARD OIL
2016-05-01,0.03633702281887315,TOMATO
2016-05-01,0.030800390806477885,POTATO
2016-05-01,0.02094300158688649,RICE
2016-05-01,0.020034421644269884,AVG
2016-05-01,0.018369012168976857,MASUR DAL
2016-05-01,0.01589509282183551,ONION
2016-05-01,0.014052504571195256,GREEN GRAM DAL (MOONG DAL)
2016-05-01,0.003843926735644039,MUSTARD OIL
2016-06-01,0.03442097115761736,TOMATO
2016-06-01,0.030015326895699346,POTATO
2016-06-01,0.020747907619090438,RICE
2016-06-01,0.019657385632850844,AVG
2016-06-01,0.017749259878423494,MASUR DAL
2016-06-01,0.016649997421410153,ONION
2016-06-01,0.01452522754122683,GREEN GRAM DAL (MOONG DAL)
2016-06-01,0.0034930089164882656,MUSTARD OIL
2016-07-01,0.03542062244207102,TOMATO
2016-07-01,0.0275295302976399,POTATO
2016-07-01,0.02065003860999754,RICE
2016-07-01,0.019380821669663147,AVG
2016-07-01,0.017266534993772533,MASUR DAL
2016-07-01,0.016723174125826808,ONION
2016-07-01,0.01483121120852893,GREEN GRAM DAL (MOONG DAL)
2016-07-01,0.003244640009805319,MUSTARD OIL
2016-08-01,0.04208736236671635,TOMATO
2016-08-01,0.027341054015671697,POTATO
2016-08-01,0.020811118839460258,RICE
2016-08-01,0.020395159121124388,AVG
2016-08-01,0.01729624335313648,MASUR DAL
2016-08-01,0.016273290298770414,GREEN GRAM DAL (MOONG DAL)
2016-08-01,0.015755277215952376,ONION
2016-08-01,0.0032017677581631333,MUSTARD OIL
2016-09-01,0.04788735119464501,TOMATO
2016-09-01,0.026875878606967937,POTATO
2016-09-01,0.02132397405313349,AVG
2016-09-01,0.020666713995958236,RICE
2016-09-01,0.017398051487631645,GREEN GRAM DAL (MOONG DAL)
2016-09-01,0.01705386822980531,MASUR DAL
2016-09-01,0.016301662749810174,ONION
2016-09-01,0.003084292107116112,MUSTARD OIL
2016-10-01,0.0493914953937313,TOMATO
2016-10-01,0.023791188851644076,POTATO
2016-10-01,0.021111230744887115,AVG
2016-10-01,0.02049440281628671,RICE
2016-10-01,0.01860584944858701,GREEN GRAM DAL (MOONG DAL)
2016-10-01,0.016756364134603796,MASUR DAL
2016-10-01,0.016390091779719018,ONION
2016-10-01,0.0023492227896379217,MUSTARD OIL
2016-11-01,0.05451169140334592,TOMATO
2016-11-01,0.021642407537542478,AVG
2016-11-01,0.020593225253839085,POTATO
2016-11-01,0.02048447866843442,RICE
2016-11-01,0.019966473980656065,GREEN GRAM DAL (MOONG DAL)
2016-11-01,0.01742008913835751,ONION
2016-11-01,0.016819361394085113,MASUR DAL
2016-11-01,0.0017015329240792298,MUSTARD OIL
2016-12-01,0.05784986111913477,TOMATO
2016-12-01,0.02202279781894702,AVG
2016-12-01,0.02104962708218,GREEN GRAM DAL (MOONG DAL)
2016-12-01,0.02031846751831446,RICE
2016-12-01,0.018890306866081785,POTATO
2016-12-01,0.017623999367288815,ONION
2016-12-01,0.01745380043797185,MASUR DAL
2016-12-01,0.0009735223416574916,MUSTARD OIL
2017-01-01,0.06079432478672147,TOMATO
2017-01-01,0.023173914379301712,AVG
2017-01-01,0.021821927439881983,POTATO
2017-01-01,0.02160111496735006,GREEN GRAM DAL (MOONG DAL)
2017-01-01,0.02052077697230483,RICE
2017-01-01,0.018765121645178306,MASUR DAL
2017-01-01,0.01796920545892888,ONION
2017-01-01,0.000744929384746436,MUSTARD OIL
2017-02-01,0.06238557978684926,TOMATO
2017-02-01,0.027594587817756394,POTATO
2017-02-01,0.02459580121109926,AVG
2017-02-01,0.021907669350304592,GREEN GRAM DAL (MOONG DAL)
2017-02-01,0.020644917404926938,RICE
2017-02-01,0.020178203589677833,MASUR DAL
2017-02-01,0.01881088297707651,ONION
2017-02-01,0.0006487675511033091,MUSTARD OIL
2017-03-01,0.05942856892196901,TOMATO
2017-03-01,0.03419871288397669,POTATO
2017-03-01,0.025482802079263938,AVG
2017-03-01,0.021503824244596816,MASUR DAL
2017-03-01,0.021105090478749648,GREEN GRAM DAL (MOONG DAL)
2017-03-01,0.02080778612513356,RICE
2017-03-01,0.020751756753374612,ONION
2017-03-01,0.000583875147047209,MUSTARD OIL
2017-04-01,0.0547531978900181,TOMATO
2017-04-01,0.03818264061512701,POTATO
2017-04-01,0.025506136102222382,AVG
2017-04-01,0.02271529472047155,MASUR DAL
2017-04-01,0.021880753041087827,ONION
2017-04-01,0.020851573747943886,RICE
2017-04-01,0.019631819326456804,GREEN GRAM DAL (MOONG DAL)
2017-04-01,0.0005276733744514911,MUSTARD OIL
2017-05-01,0.0521041579368507,TOMATO
2017-05-01,0.04113177673002736,POTATO
2017-05-01,0.025815724954594034,AVG
2017-05-01,0.024405624281360692,MASUR DAL
2017-05-01,0.022710404871347446,ONION
2017-05-01,0.020693931890655545,RICE
2017-05-01,0.019242924583049912,GREEN GRAM DAL (MOONG DAL)
2017-05-01,0.00042125438886657845,MUSTARD OIL
2017-06-01,0.04967733117933119,TOMATO
2017-06-01,0.04432168105889223,POTATO
2017-06-01,0.026385096599062557,AVG
2017-06-01,0.025966174997761077,MASUR DAL
2017-06-01,0.024072374223716643,ONION
2017-06-01,0.020714549007460326,RICE
2017-06-01,0.01865102907268931,GREEN GRAM DAL (MOONG DAL)
2017-06-01,0.001292536653587103,MUSTARD OIL
2017-07-01,0.04512638501301846,POTATO
2017-07-01,0.04364985695195012,TOMATO
2017-07-01,0.027067548856033165,MASUR DAL
2017-07-01,0.026179366270985528,AVG
2017-07-01,0.02571503659538698,ONION
2017-07-01,0.02151917141875137,RICE
2017-07-01,0.0179337513931988,GREEN GRAM DAL (MOONG DAL)
2017-07-01,0.0022438136685598064,MUSTARD OIL
2017-08-01,0.04393013462376727,POTATO
2017-08-01,0.03988969537884707,TOMATO
2017-08-01,0.027333263146748218,MASUR DAL
2017-08-01,0.025388888230569954,AVG
2017-08-01,0.024841170506824387,ONION
2017-08-01,0.021874576260864646,RICE
2017-08-01,0.016614199871715685,GREEN GRAM DAL (MOONG DAL)
2017-08-01,0.003239177825222389,MUSTARD OIL
2017-09-01,0.042127318991737876,POTATO
2017-09-01,0.03466572058451946,TOMATO
2017-09-01,0.027386588697778054,MASUR DAL
2017-09-01,0.024395462295487187,ONION
2017-09-01,0.024239280632577614,AVG
2017-09-01,0.021946019282368664,RICE
2017-09-01,0.015094540651619777,GREEN GRAM DAL (MOONG DAL)
2017-09-01,0.004059313924532302,MUSTARD OIL
2017-10-01,0.03930273042280803,POTATO
2017-10-01,0.029298504729746173,TOMATO
2017-10-01,0.026493279636269372,MASUR DAL
2017-10-01,0.02375014123927775,ONION
2017-10-01,0.022794561404571152,AVG
2017-10-01,0.022012224553616656,RICE
2017-10-01,0.014118577099983935,GREEN GRAM DAL (MOONG DAL)
2017-10-01,0.00458647215029615,MUSTARD OIL
2017-11-01,0.03765672629991874,POTATO
2017-11-01,0.026383652010162805,TOMATO
2017-11-01,0.025456546296615697,MASUR DAL
2017-11-01,0.02408882182805184,ONION
2017-11-01,0.022169176038380884,RICE
2017-11-01,0.02209861295602917,AVG
2017-11-01,0.013705854622690595,GREEN GRAM DAL (MOONG DAL)
2017-11-01,0.005229513596383624,MUSTARD OIL
2017-12-01,0.03840791027793824,POTATO
2017-12-01,0.023988494756154506,MASUR DAL
2017-12-01,0.023965709828774082,TOMATO
2017-12-01,0.023379949291169617,ONION
2017-12-01,0.022380485816334058,RICE
2017-12-01,0.02142505493304633,AVG
2017-12-01,0.012053481863741267,GREEN GRAM DAL (MOONG DAL)
2017-12-01,0.005799352697212548,MUSTARD OIL
2018-01-01,0.038925320292815035,POTATO
2018-01-01,0.02494650695896075,TOMATO
2018-01-01,0.022501124445735942,MASUR DAL
2018-01-01,0.022357683063723956,RICE
2018-01-01,0.021555148555013927,ONION
2018-01-01,0.020875066720222775,AVG
2018-01-01,0.01027711966292945,GREEN GRAM DAL (MOONG DAL)
2018-01-01,0.005562564062380345,MUSTARD OIL
2018-02-01,0.04000201680934653,POTATO
2018-02-01,0.02970642334474081,TOMATO
2018-02-01,0.021625614006340034,RICE
2018-02-01,0.021177728212811244,MASUR DAL
2018-02-01,0.020856322725197652,AVG
2018-02-01,0.019517234069229894,ONION
