<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:6f4f65b5fb2e193f0482caad93494b2088232b879a4143edf1f705c4630ba5cf
size 3096
=======
DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.22974085644592104,Anomaly,Normal,Normal
2016-02-01,0.2734571021255949,Anomaly,Anomaly,Normal
2016-03-01,0.12167980037355106,Anomaly,Normal,Normal
2016-04-01,0.1441013960157033,Normal,Anomaly,Normal
2016-05-01,0.1598383781672097,Anomaly,Normal,Normal
2016-06-01,0.12882154512456606,Anomaly,Normal,Normal
2016-07-01,0.08843439468648301,Anomaly,Anomaly,Normal
2016-08-01,0.08062349266840074,Anomaly,Anomaly,Normal
2016-09-01,0.129291006055749,Anomaly,Anomaly,Normal
2016-10-01,0.11356986225290724,Anomaly,Anomaly,Normal
2016-11-01,0.3507490666376517,Anomaly,Anomaly,Normal
2016-12-01,0.7607702190493542,Anomaly,Anomaly,Normal
2017-01-01,0.3417381983637901,Anomaly,Anomaly,Normal
2017-02-01,0.5001984047097626,Anomaly,Anomaly,Anomaly
2017-03-01,0.2995285963101997,Anomaly,Anomaly,Anomaly
2017-04-01,0.1455008603432466,Normal,Anomaly,Anomaly
2017-05-01,0.3309130876388105,Anomaly,Anomaly,Anomaly
2017-06-01,0.3804204453145625,Anomaly,Anomaly,Anomaly
2017-07-01,0.3048877544766254,Anomaly,Anomaly,Anomaly
2017-08-01,0.45361262790862,Normal,Anomaly,Anomaly
2017-09-01,0.6590350027044732,Anomaly,Anomaly,Anomaly
2017-10-01,0.6548568469335704,Anomaly,Anomaly,Anomaly
2017-11-01,1.1495320969560443,Anomaly,Anomaly,Anomaly
2017-12-01,0.9091470051085948,Anomaly,Anomaly,Anomaly
2018-01-01,0.6349505888026726,Anomaly,Anomaly,Anomaly
2018-02-01,0.32966314356184684,Anomaly,Anomaly,Anomaly
2018-03-01,0.36863840030820016,Anomaly,Anomaly,Anomaly
2018-04-01,0.15624439252544964,Anomaly,Normal,Anomaly
2018-05-01,0.2437425503251377,Anomaly,Anomaly,Anomaly
2018-06-01,0.19590809597983336,Anomaly,Anomaly,Anomaly
2018-07-01,0.16627675923262514,Anomaly,Anomaly,Anomaly
2018-08-01,0.2274627231108117,Anomaly,Anomaly,Anomaly
2018-09-01,0.2418179529222982,Anomaly,Anomaly,Normal
2018-10-01,0.14063829234099132,Anomaly,Anomaly,Normal
2018-11-01,0.12765346642244724,Normal,Normal,Anomaly
2018-12-01,0.7633390053768245,Anomaly,Anomaly,Anomaly
2019-01-01,0.4006218016945992,Anomaly,Anomaly,Anomaly
2019-02-01,0.453002245695294,Anomaly,Anomaly,Anomaly
2019-03-01,0.3791451874045134,Anomaly,Anomaly,Anomaly
2019-04-01,0.4604926261957176,Anomaly,Anomaly,Anomaly
2019-05-01,0.3785117587112844,Anomaly,Anomaly,Anomaly
2019-06-01,0.5229594371944418,Anomaly,Anomaly,Anomaly
2019-07-01,0.4955510151310486,Anomaly,Anomaly,Anomaly
2019-08-01,0.4697767123911542,Anomaly,Anomaly,Anomaly
2019-09-01,0.6491510120580836,Anomaly,Anomaly,Anomaly
2019-10-01,0.6053527222424019,Anomaly,Anomaly,Anomaly
2019-11-01,0.6099911238384073,Anomaly,Anomaly,Anomaly
2019-12-01,0.4803828481006137,Anomaly,Anomaly,Anomaly
2020-01-01,0.17985191903472186,Anomaly,Normal,Normal
2020-02-01,0.13686460563134342,Normal,Normal,Normal
2020-03-01,0.19389453298995607,Normal,Anomaly,Anomaly
2020-04-01,0.11328469260370183,Normal,Normal,Normal
2020-05-01,0.028415097974283626,Normal,Normal,Normal
2020-06-01,0.07240934845434875,Normal,Normal,Normal
2020-07-01,0.1354234601277717,Anomaly,Anomaly,Anomaly
2020-08-01,0.07276803315363423,Normal,Normal,Normal
2020-09-01,0.045567430029073264,Normal,Normal,Normal
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
