<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4086a74e139b0ddf537ab9833a8972df0cbb310b15a39f4b24268612fbd4395e
size 138174
=======
DATE,STATENAME,MANDINAME,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA),0.22974085644592104,Anomaly,Normal,Normal
2016-01-01,GUJARAT,BHARUCH,0.06691416440364642,Normal,Normal,Normal
2016-01-01,GUJARAT,VADHVAN,0.08366370535833949,Normal,Normal,Normal
2016-01-01,HIMACHAL PRADESH,BHUNTAR,0.19742378695904106,Anomaly,Normal,Normal
2016-01-01,HIMACHAL PRADESH,KULLU,0.059205624105301134,Normal,Normal,Normal
2016-01-01,MADHYA PRADESH,INDORE(F&V),0.1317188595860493,Normal,Normal,Normal
2016-01-01,MADHYA PRADESH,LASHKAR(F&V),0.0,Normal,Normal,Normal
2016-01-01,MADHYA PRADESH,SANWER,0.047193439089349504,Normal,Normal,Normal
2016-01-01,NCT OF DELHI,AZADPUR,0.05539587980659566,Normal,Normal,Normal
2016-01-01,PUNJAB,AJNALA,0.13176445675039514,Normal,Normal,Normal
2016-01-01,PUNJAB,BARNALA,0.10109216999340648,Normal,Normal,Normal
2016-01-01,PUNJAB,MALERKOTLA,0.1759944602180033,Anomaly,Normal,Normal
2016-01-01,PUNJAB,SANGRUR,0.05361742174218286,Normal,Normal,Normal
2016-01-01,PUNJAB,ZIRA,0.08895445527454199,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,BARABANKI,0.08373839551940992,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,BASTI,0.09301780157761837,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,FAIZABAD,0.07185012779600826,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,FIROZABAD,0.09428983961520997,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,JALAUN,0.1875995078023561,Anomaly,Normal,Normal
2016-01-01,UTTAR PRADESH,LAKHIMPUR,0.08294040566931524,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,LUCKNOW,0.07006159768351529,Normal,Normal,Normal
2016-01-01,WEST BENGAL,BISHNUPUR(BANKURA),0.12970543166914214,Normal,Normal,Normal
2016-01-01,WEST BENGAL,DURGAPUR,0.29581560489245623,Anomaly,Normal,Normal
2016-01-01,WEST BENGAL,ISLAMPUR,0.11231984422852398,Normal,Normal,Normal
2016-01-01,WEST BENGAL,KALYANI,0.0944760263935864,Normal,Normal,Normal
2016-01-01,WEST BENGAL,KATWA,0.11171504851381207,Normal,Normal,Normal
2016-01-01,WEST BENGAL,SHEORAPHULY,0.05808201333643868,Normal,Normal,Normal
2016-01-01,WEST BENGAL,ULUBERIA,0.08203140780421203,Normal,Normal,Normal
2016-02-01,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA),0.2734571021255949,Anomaly,Anomaly,Normal
2016-02-01,GUJARAT,BHARUCH,0.13048388482259274,Normal,Normal,Normal
2016-02-01,GUJARAT,VADHVAN,0.07753195458308805,Normal,Normal,Normal
2016-02-01,HIMACHAL PRADESH,BHUNTAR,0.17858566776002718,Normal,Anomaly,Normal
2016-02-01,HIMACHAL PRADESH,KULLU,0.19486069159116934,Normal,Anomaly,Normal
2016-02-01,MADHYA PRADESH,INDORE(F&V),0.1855888045251636,Normal,Anomaly,Normal
2016-02-01,MADHYA PRADESH,LASHKAR(F&V),0.047049329130957815,Normal,Normal,Normal
2016-02-01,MADHYA PRADESH,SANWER,0.04899631987483409,Normal,Normal,Normal
2016-02-01,NCT OF DELHI,AZADPUR,0.19546352114928087,Normal,Anomaly,Normal
