<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:819beaf19c34d5dc6ec435d4d850e65efebe7a90aa640d73128d9bc60b4ee712
size 6646
=======
K,MANDI,ANOMALY,NORMAL,TOTAL
1.0,PUNJAB_AJNALA,204,44,248
1.0,UTTAR PRADESH_LUCKNOW,47,201,248
1.0,WEST BENGAL_KALYANI,2,246,248
1.0,WEST BENGAL_BISHNUPUR(BANKURA),46,202,248
1.1,PUNJAB_AJNALA,190,58,248
1.1,UTTAR PRADESH_LUCKNOW,31,217,248
1.1,WEST BENGAL_KALYANI,1,247,248
1.1,WEST BENGAL_BISHNUPUR(BANKURA),35,213,248
1.2000000000000002,WEST BENGAL_BISHNUPUR(BANKURA),24,224,248
1.2000000000000002,WEST BENGAL_KALYANI,1,247,248
1.2000000000000002,PUNJAB_AJNALA,175,73,248
1.2000000000000002,UTTAR PRADESH_LUCKNOW,25,223,248
1.25,PUNJAB_AJNALA,169,79,248
1.25,UTTAR PRADESH_LUCKNOW,21,227,248
1.25,WEST BENGAL_KALYANI,0,248,248
1.25,WEST BENGAL_BISHNUPUR(BANKURA),18,230,248
1.3000000000000003,WEST BENGAL_BISHNUPUR(BANKURA),12,236,248
1.3000000000000003,WEST BENGAL_KALYANI,0,248,248
1.3000000000000003,PUNJAB_AJNALA,166,82,248
1.3000000000000003,UTTAR PRADESH_LUCKNOW,17,231,248
1.4000000000000004,PUNJAB_AJNALA,159,89,248
1.4000000000000004,UTTAR PRADESH_LUCKNOW,11,237,248
1.4000000000000004,WEST BENGAL_KALYANI,0,248,248
1.4000000000000004,WEST BENGAL_BISHNUPUR(BANKURA),9,239,248
1.5,PUNJAB_AJNALA,154,94,248
1.5,UTTAR PRADESH_LUCKNOW,6,242,248
1.5,WEST BENGAL_KALYANI,0,248,248
1.5,WEST BENGAL_BISHNUPUR(BANKURA),4,244,248
1.5000000000000004,WEST BENGAL_BISHNUPUR(BANKURA),4,244,248
1.5000000000000004,PUNJAB_AJNALA,154,94,248
1.5000000000000004,UTTAR PRADESH_LUCKNOW,6,242,248
1.5000000000000004,WEST BENGAL_KALYANI,0,248,248
1.6000000000000005,WEST BENGAL_BISHNUPUR(BANKURA),2,246,248
1.6000000000000005,WEST BENGAL_KALYANI,0,248,248
1.6000000000000005,PUNJAB_AJNALA,144,104,248
1.6000000000000005,UTTAR PRADESH_LUCKNOW,5,243,248
1.7000000000000006,PUNJAB_AJNALA,135,113,248
1.7000000000000006,UTTAR PRADESH_LUCKNOW,2,246,248
1.7000000000000006,WEST BENGAL_KALYANI,0,248,248
1.7000000000000006,WEST BENGAL_BISHNUPUR(BANKURA),2,246,248
1.75,PUNJAB_AJNALA,131,117,248
1.75,UTTAR PRADESH_LUCKNOW,0,248,248
1.75,WEST BENGAL_KALYANI,0,248,248
1.75,WEST BENGAL_BISHNUPUR(BANKURA),2,246,248
1.8000000000000007,PUNJAB_AJNALA,131,117,248
1.8000000000000007,UTTAR PRADESH_LUCKNOW,0,248,248
1.8000000000000007,WEST BENGAL_KALYANI,0,248,248
1.8000000000000007,WEST BENGAL_BISHNUPUR(BANKURA),2,246,248
1.9000000000000008,WEST BENGAL_BISHNUPUR(BANKURA),0,248,248
1.9000000000000008,WEST BENGAL_KALYANI,0,248,248
1.9000000000000008,UTTAR PRADESH_LUCKNOW,0,248,248
1.9000000000000008,PUNJAB_AJNALA,122,126,248
2.0,PUNJAB_AJNALA,112,136,248
2.0,UTTAR PRADESH_LUCKNOW,0,248,248
2.0,WEST BENGAL_KALYANI,0,248,248
2.0,WEST BENGAL_BISHNUPUR(BANKURA),0,248,248
2.000000000000001,PUNJAB_AJNALA,112,136,248
2.000000000000001,UTTAR PRADESH_LUCKNOW,0,248,248
2.000000000000001,WEST BENGAL_KALYANI,0,248,248
2.000000000000001,WEST BENGAL_BISHNUPUR(BANKURA),0,248,248
2.100000000000001,PUNJAB_AJNALA,98,150,248
2.100000000000001,UTTAR PRADESH_LUCKNOW,0,248,248
