<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:8a1b1031bfa1a0bab9614fdae9792df954eaed49eeda40e71fc1d5a0f20b07ff
size 9281
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,23,21,24,54,84,55,67,57,39,50,118,87,76,82,92,75,36,200,18,15,30,30
ALLAHABAD,25,21,25,58,84,65,73,55,42,40,136,100,78,96,96,70,43,190,19,13,35,50
AMRITSAR,32,22,24,63,90,70,85,68,38,45,138,91,78,92,100,NR,40,210,19,16,35,35
BATHINDA,34,21,23,65,85,70,85,65,38,48,131,104,93,98,104,87,35,210,18,12,32,35
CHANDIGARH,28,25,27,54,78,60,80,53,36,44,127,97,76,86,86,NR,33,220,16,18,35,20
DEHRADUN,26,25,27,57,88,77,84,66,43,42,135,84,84,79,102,NR,38,220,18,20,25,40
DELHI,34,24,27,73,97,84,89,72,39,44,162,120,90,103,116,79,56,240,19,25,39,37
DHARAMSHALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GORAKHPUR,26,22,24,65,86,65,86,60,40,42,153,120,69,92,126,76,38,180,18,18,40,40
GURGAON,30,19,21,60,73,70,70,55,34,42,150,98,93,98,104,82,40,220,17,25,30,50
HALDWANI,24,22,25,58,80,65,80,62,38,45,130,89,82,92,100,NR,40,230,20,22,25,45
HARIDWAR,28,23,26,70,90,85,90,67,40,50,140,92,87,92,105,NR,38,190,18,20,25,45
HISAR,32,22,24,60,82,70,72,55,38,42,148,104,90,107,104,89,30,200,18,20,35,40
JAMMU,40,24,28,66,100,82,88,64,44,45,NR,150,125,115,121,102,44,240,20,25,40,40
JHANSI,30,21,24,70,80,70,75,60,38,50,95,100,85,95,90,90,35,200,18,10,25,22
KANPUR,22,18,24,56,87,69,68,52,40,52,117,105,76,101,136,82,41,120,14,18,22,45
KARNAL,25,20,25,58,82,75,72,55,36,45,156,96,85,85,103,76,40,190,18,18,20,30
LUCKNOW,33,22,22,65,88,77,80,60,36,54,140,115,80,87,96,85,40,210,19,15,35,30
LUDHIANA,32,22,24,65,85,70,84,68,37,44,133,93,78,92,100,NR,40,210,19,14,35,40
MANDI,30,20,25,59,91,68,74,57,39,50,NR,120,80,85,NR,NR,36,320,20,17,35,40
