<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:3190cd6ddf569586990af78f6260236450f6a3cd123ed0acb3e71bfaa9ad5453
size 175243
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Achalda,01/04/2019,2.2,Desi,400,600,540
,02/04/2019,3.2,Desi,450,550,500
,03/04/2019,4.1,Desi,400,500,450
,05/04/2019,3,Desi,450,510,500
,08/04/2019,3.2,Desi,500,552,510
,09/04/2019,2.5,Desi,500,560,550
,10/04/2019,3,Desi,450,500,475
,16/04/2019,2.9,Desi,500,600,510
,20/04/2019,1.8,Desi,500,530,525
,23/04/2019,1.8,Desi,500,600,550
,24/04/2019,2.2,Desi,550,700,600
,25/04/2019,2.5,Desi,500,610,600
,26/04/2019,2.4,Desi,500,600,560
,30/04/2019,3,Desi,400,550,500
Achnera,01/04/2019,50,Desi,500,580,540
,02/04/2019,53,Desi,450,550,500
,03/04/2019,54,Desi,460,550,500
,05/04/2019,54,Desi,500,560,530
,06/04/2019,54,Desi,500,560,530
,07/04/2019,50,Desi,500,560,530
,08/04/2019,50,Desi,500,580,540
,09/04/2019,46,Desi,500,580,540
,10/04/2019,48,Desi,500,560,530
,12/04/2019,45,Desi,500,560,530
,13/04/2019,45,Desi,450,550,500
,14/04/2019,43,Desi,450,550,500
,15/04/2019,40,Desi,450,550,500
,16/04/2019,40,Desi,480,520,500
,17/04/2019,35,Desi,480,520,500
,18/04/2019,40,Desi,470,530,500
,19/04/2019,35,Desi,480,520,500
,20/04/2019,38,Desi,500,540,520
,21/04/2019,38,Desi,480,520,500
,22/04/2019,39,Desi,470,530,500
,23/04/2019,40,Desi,460,500,480
,24/04/2019,41,Desi,480,520,500
,26/04/2019,37,Desi,460,500,480
,28/04/2019,41,Desi,460,500,480
,29/04/2019,41,Desi,470,510,490
,30/04/2019,43,Desi,470,510,490
Agra,02/04/2019,1630,Desi,500,700,600
,03/04/2019,1550,Desi,550,700,620
,04/04/2019,1535,Desi,500,700,610
,05/04/2019,1415,Desi,520,680,600
,06/04/2019,1428,Desi,520,680,600
,08/04/2019,1405,Desi,520,700,610
,09/04/2019,1428,Desi,520,650,600
,10/04/2019,1570,Desi,550,700,620
,11/04/2019,1560,Desi,500,700,600
,13/04/2019,1535,Desi,500,700,600
,15/04/2019,1525,Desi,550,700,620
,16/04/2019,1495,Desi,550,700,625
,17/04/2019,1630,Desi,520,700,610
,19/04/2019,1550,Desi,550,700,620
,20/04/2019,1670,Desi,550,700,620
,22/04/2019,1745,Desi,500,700,600
,23/04/2019,1680,Desi,550,700,620
,24/04/2019,1550,Desi,550,750,640
,25/04/2019,1545,Desi,550,750,660
,26/04/2019,1530,Desi,600,800,700
,27/04/2019,1548,Desi,650,800,720
,29/04/2019,1548,Desi,650,800,720
,30/04/2019,1575,Desi,650,850,730
Ahirora,01/04/2019,15,Other,600,700,650
,02/04/2019,12,Other,600,700,650
,04/04/2019,15,Other,600,700,650
,05/04/2019,9,Other,600,700,650
,06/04/2019,15,Other,600,800,700
,07/04/2019,15,Other,600,800,700
,08/04/2019,9,Other,600,800,700
,09/04/2019,9,Other,600,800,700
,11/04/2019,10,Other,600,800,700
,12/04/2019,15,Other,600,800,700
,13/04/2019,15,,NR,NR,NR
,14/04/2019,9,,NR,NR,NR
