<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b98809f6b5e0f9ddf79ea42e63984a8c66a1b9c0c1a63bf64f573b35e47b22b3
size 75292
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Achalda,02/06/2012,70,Desi,900,940,920
,04/06/2012,90,Desi,910,950,930
,05/06/2012,60,Desi,920,950,930
,06/06/2012,65,Desi,920,960,940
,07/06/2012,60,Desi,920,950,930
,08/06/2012,50,Desi,920,960,940
,09/06/2012,80,Desi,910,950,930
,11/06/2012,60,Desi,920,950,930
,12/06/2012,45,Desi,900,940,920
,13/06/2012,40,Desi,910,950,930
,14/06/2012,35,Desi,910,935,925
,15/06/2012,25,Desi,910,940,920
,16/06/2012,30,Desi,920,950,930
,18/06/2012,25,Desi,920,960,940
,19/06/2012,20,Desi,930,970,950
,20/06/2012,18,Desi,940,980,960
,21/06/2012,20,Desi,940,960,950
,22/06/2012,18,Desi,950,970,960
,23/06/2012,17,Desi,1010,1030,1020
,25/06/2012,15,Desi,1000,1020,1010
,26/06/2012,18,Desi,1010,1030,1020
,27/06/2012,15,Desi,1015,1040,1025
,28/06/2012,12.5,Desi,1010,1050,1030
,29/06/2012,10,Desi,1040,1070,1050
,30/06/2012,12.5,Desi,1040,1060,1050
Achnera,29/06/2012,1100,Potato,NR,NR,975
Agra,02/06/2012,665,Other,900,1050,970
,04/06/2012,660,Other,900,1050,975
,05/06/2012,645,Other,900,1050,980
,06/06/2012,620,Other,980,1000,990
,07/06/2012,680,Other,950,1010,985
,08/06/2012,700,Other,950,1000,980
,09/06/2012,680,Other,950,1000,990
,11/06/2012,650,Other,990,1020,1000
,12/06/2012,675,Other,950,1020,995
,13/06/2012,660,Other,950,1050,1000
,14/06/2012,695,Other,980,1000,990
,16/06/2012,730,Other,950,1000,980
,18/06/2012,710,Other,950,1050,1000
,19/06/2012,770,Other,950,1000,990
,20/06/2012,755,Other,950,1020,995
,21/06/2012,780,Other,950,1000,990
,22/06/2012,740,Other,950,1020,995
,25/06/2012,810,,NR,NR,NR
,29/06/2012,850,Other,950,1050,1000
,30/06/2012,835,Other,1100,1120,1110
Ajuha,03/06/2012,19,Badshah,NR,NR,930
,04/06/2012,19,Badshah,NR,NR,930
,07/06/2012,17,Badshah,NR,NR,935
,11/06/2012,18.5,Badshah,NR,NR,975
,14/06/2012,19.5,Badshah,NR,NR,970
,18/06/2012,18,Badshah,NR,NR,965
,21/06/2012,15.5,Badshah,NR,NR,1000
,25/06/2012,16.5,Badshah,NR,NR,1000
,28/06/2012,15.5,Badshah,NR,NR,1020
Akbarpur,01/06/2012,235,Other,1010,1050,1035
,02/06/2012,170,Other,1000,1050,1035
,03/06/2012,165,Other,1025,1050,1035
,04/06/2012,180,Other,1010,1030,1020
,05/06/2012,150,Other,1000,1030,1020
,06/06/2012,170,Other,1010,1030,1020
,07/06/2012,150,Other,1010,1030,1020
,08/06/2012,170,Other,1000,1050,1020
,09/06/2012,150,Other,1000,1050,1020
,10/06/2012,170,Other,1010,1050,1025
,11/06/2012,170,Other,1000,1050,1035
,12/06/2012,120,Other,1010,1050,1035
,13/06/2012,130,Other,1020,1040,1030
,14/06/2012,140,Other,1020,1030,1025
,15/06/2012,150,Other,1000,1040,1020
,16/06/2012,140,Other,1000,1050,1020
,17/06/2012,150,Other,1010,1040,1030
,18/06/2012,630,Other,1010,1040,1030
,19/06/2012,120,Other,1010,1050,1025
,20/06/2012,120,Other,1010,1050,1025
,21/06/2012,610,Other,1020,1050,1040
,22/06/2012,610,,NR,NR,NR
,23/06/2012,120,Other,1030,1060,1050
,24/06/2012,170,Other,1020,1050,1030
,25/06/2012,120,,NR,NR,NR
Aligarh,01/06/2012,220,Desi,850,1000,930
,02/06/2012,210,Desi,850,1000,940
,04/06/2012,270,Desi,880,1000,940
,05/06/2012,250,Desi,880,1000,950
,06/06/2012,260,Desi,880,1000,950
,07/06/2012,280,Desi,880,1000,960
,08/06/2012,270,Desi,850,1000,970
,09/06/2012,350,Desi,850,1000,970
,11/06/2012,400,Desi,850,1000,960
,12/06/2012,420,Desi,850,1000,970
,13/06/2012,440,Desi,900,1050,975
,14/06/2012,460,Desi,850,1000,960
,15/06/2012,470,Desi,850,1000,950
,16/06/2012,520,Desi,850,1000,950
,18/06/2012,510,Desi,850,1000,960
,19/06/2012,510,Desi,850,1000,950
,20/06/2012,500,Desi,850,1000,940
,21/06/2012,480,Desi,850,1000,950
,22/06/2012,450,Desi,850,1000,960
,23/06/2012,460,Desi,850,1000,950
,25/06/2012,450,Desi,850,1000,955
,26/06/2012,400,Desi,850,1000,960
,27/06/2012,400,Desi,900,1000,970
,28/06/2012,410,Desi,900,1000,960
,29/06/2012,420,Desi,900,1000,950
Allahabad,01/06/2012,67,,NR,NR,NR
,02/06/2012,60,,NR,NR,NR
,04/06/2012,50,,NR,NR,NR
,05/06/2012,65,,NR,NR,NR
,06/06/2012,60,,NR,NR,NR
,07/06/2012,57.5,,NR,NR,NR
,08/06/2012,55,,NR,NR,NR
,11/06/2012,50,,NR,NR,NR
,12/06/2012,60,,NR,NR,NR
,13/06/2012,35,,NR,NR,NR
,14/06/2012,30,,NR,NR,NR
,15/06/2012,50,,NR,NR,NR
,16/06/2012,50,,NR,NR,NR
,18/06/2012,55,,NR,NR,NR
,19/06/2012,52.5,Badshah,NR,NR,1150
,20/06/2012,57.5,Badshah,NR,NR,1150
,21/06/2012,55,Badshah,NR,NR,1150
,22/06/2012,50,Badshah,NR,NR,1150
,23/06/2012,45,Badshah,NR,NR,1160
,25/06/2012,40,Badshah,NR,NR,1170
Amroha,02/06/2012,5,F.A.Q.,NR,NR,860
,03/06/2012,4,Other,NR,NR,850
,04/06/2012,5,Other,NR,NR,860
,05/06/2012,6,Other,NR,NR,850
,06/06/2012,6,Other,NR,NR,860
,07/06/2012,5,F.A.Q.,NR,NR,865
,,,Other,NR,NR,865
,08/06/2012,6,Other,NR,NR,870
,09/06/2012,5,Other,NR,NR,870
,10/06/2012,4,Other,NR,NR,860
,11/06/2012,5,Other,NR,NR,860
,12/06/2012,6,Other,NR,NR,870
,13/06/2012,5,Other,NR,NR,875
,14/06/2012,6,F.A.Q.,NR,NR,880
,15/06/2012,5,F.A.Q.,NR,NR,875
,16/06/2012,6,F.A.Q.,NR,NR,875
,17/06/2012,3,Other,NR,NR,865
,18/06/2012,5,Other,NR,NR,870
,19/06/2012,6,F.A.Q.,NR,NR,880
,20/06/2012,5,F.A.Q.,NR,NR,880
,21/06/2012,7,F.A.Q.,NR,NR,890
,23/06/2012,5,F.A.Q.,NR,NR,890
,24/06/2012,5,Other,NR,NR,890
,25/06/2012,6,F.A.Q.,NR,NR,895
,26/06/2012,5,F.A.Q.,NR,NR,890
