<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:2bb54a3efdf6a56c5cbf40e753b40037e0528dadd6e85934fff4f04bce70273e
size 181196
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Achalda,01/05/2019,1.8,Desi,600,620,610
,02/05/2019,2,Desi,500,560,550
,03/05/2019,1.8,Desi,500,520,510
,04/05/2019,2.5,Desi,500,570,550
,06/05/2019,2.3,Desi,550,600,575
,07/05/2019,1.4,Desi,500,600,550
,08/05/2019,2.3,Desi,500,550,540
,14/05/2019,2.7,Desi,500,575,570
,15/05/2019,3.5,Desi,500,600,550
,16/05/2019,2.1,Desi,500,600,550
,17/05/2019,2.2,Desi,555,560,556
Achnera,01/05/2019,44,Desi,480,520,500
,03/05/2019,37,Desi,500,540,520
,04/05/2019,38,Desi,500,540,520
,05/05/2019,37,Desi,500,550,525
,06/05/2019,36,Desi,500,560,530
,07/05/2019,36,Desi,550,650,600
,08/05/2019,35,Desi,580,660,620
,10/05/2019,34,Desi,620,660,640
,11/05/2019,34,Desi,600,700,650
,12/05/2019,35,Desi,600,680,640
,13/05/2019,34,Desi,630,690,660
,14/05/2019,33,Desi,640,720,680
,15/05/2019,33,Desi,680,720,700
,17/05/2019,34,Desi,700,780,740
,18/05/2019,34,Desi,740,820,780
,19/05/2019,33,Desi,750,830,790
,20/05/2019,31,Desi,760,840,800
,21/05/2019,30,Desi,780,870,820
,22/05/2019,31,Desi,790,870,830
,24/05/2019,30,Desi,780,870,830
,25/05/2019,31,Desi,820,860,840
,26/05/2019,33,Desi,700,800,750
,27/05/2019,30,Desi,800,880,840
,28/05/2019,29,Desi,810,870,840
,29/05/2019,30,Desi,800,880,840
,31/05/2019,31,Desi,800,860,830
Agra,02/05/2019,1645,Desi,640,910,720
,03/05/2019,1650,Desi,620,800,710
,04/05/2019,1552,Desi,650,800,720
,06/05/2019,1587,Desi,620,800,710
,07/05/2019,1580,Desi,650,840,730
,08/05/2019,1535,Desi,650,850,750
,09/05/2019,1570,Desi,600,800,700
,10/05/2019,1503,,NR,NR,NR
