<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b8f5d63df70f1b224e3d4d2440c8044d36c9530024b056a1b6230ca0f3c93f34
size 136654
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Achalda,02/03/2015,65,Desi,500,640,560
,03/03/2015,45,Desi,525,650,580
,04/03/2015,35,Desi,550,650,600
,05/03/2015,55,Desi,500,650,580
,07/03/2015,50,Desi,480,650,600
,09/03/2015,60,Desi,500,650,580
,10/03/2015,50,Desi,500,650,590
,11/03/2015,60,Desi,500,650,570
,12/03/2015,45,Desi,500,640,585
,13/03/2015,30,Desi,530,650,600
,14/03/2015,40,Desi,500,650,580
,16/03/2015,35,Desi,550,650,600
,17/03/2015,45,Desi,500,650,580
,18/03/2015,35,Desi,570,650,600
,19/03/2015,50,Desi,500,625,575
,20/03/2015,40,Desi,540,640,590
,21/03/2015,46,Desi,500,630,580
,23/03/2015,58,Desi,500,645,575
,24/03/2015,45,Desi,500,660,585
,25/03/2015,50,Desi,500,600,560
,27/03/2015,40,Desi,500,625,570
,28/03/2015,35,Desi,525,660,590
,30/03/2015,45,Desi,525,640,575
,31/03/2015,35,Desi,500,650,590
Achnera,28/03/2015,550,Desi,NR,NR,500
Agra,02/03/2015,1950,Desi,520,610,580
,03/03/2015,1860,Desi,560,640,600
,04/03/2015,1880,Desi,550,640,590
,09/03/2015,1900,Desi,540,620,580
,10/03/2015,2100,Desi,520,590,550
,11/03/2015,2200,Desi,410,600,510
,12/03/2015,2000,Desi,480,600,530
,13/03/2015,1900,Desi,480,600,540
,14/03/2015,1800,Desi,500,600,560
,16/03/2015,1600,Desi,520,610,580
,17/03/2015,1500,Desi,510,650,600
,18/03/2015,1480,Desi,550,645,605
,19/03/2015,1950,Desi,510,620,580
,20/03/2015,1980,Desi,515,620,575
,21/03/2015,1960,Desi,510,630,590
,23/03/2015,1940,Desi,550,650,600
,24/03/2015,2020,Desi,400,580,520
,25/03/2015,2300,Desi,430,600,500
,26/03/2015,2500,Desi,430,540,490
,27/03/2015,2540,Desi,430,540,480
,30/03/2015,2800,Desi,310,550,400
,31/03/2015,3400,Desi,300,450,390
Ahirora,30/03/2015,40,Other,NR,NR,645
Ajuha,02/03/2015,135,Desi,NR,NR,645
,05/03/2015,158,Desi,NR,NR,645
,09/03/2015,174,Desi,NR,NR,600
,12/03/2015,156.5,Desi,NR,NR,615
,16/03/2015,139.5,Desi,NR,NR,615
,19/03/2015,122,Desi,NR,NR,635
,23/03/2015,142.5,Desi,NR,NR,620
,26/03/2015,174,Desi,NR,NR,580
,30/03/2015,165,Desi,NR,NR,560
Akbarpur,01/03/2015,55,Potato,600,660,630
,02/03/2015,85,Potato,600,660,630
,03/03/2015,75,Potato,600,660,635
,04/03/2015,85,Potato,610,670,640
,05/03/2015,84,Potato,610,670,640
,07/03/2015,75,Potato,620,680,650
,08/03/2015,87,Potato,600,660,630
,09/03/2015,117,Potato,590,640,615
,10/03/2015,53,Potato,580,650,615
