<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:eed7382f1b21435357278cded622977c82f029d27f2029e321fbc435239d4eb3
size 21966
=======
STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2017-01-01,2017-02-13,13.734706437855765,11.80572916612281,25.540435603978576,Anomaly
2017-01-08,2017-02-20,12.429024619912582,10.511410984543263,22.940435604455846,Anomaly
2017-01-15,2017-02-27,10.53014491478789,8.575283804986753,19.105428719774643,Normal
2017-01-22,2017-03-06,9.813373383998039,7.777072936310102,17.590446320308136,Normal
2017-01-29,2017-03-13,9.024289854265445,7.019712891674575,16.04400274594002,Normal
2017-02-05,2017-03-20,8.616698313604443,6.608333472793873,15.225031786398313,Normal
2017-02-12,2017-03-27,8.186295803208347,6.35180416407633,14.538099967284676,Normal
2017-02-19,2017-04-03,7.873795803208347,6.0961223458945115,13.96991814910286,Normal
2017-02-26,2017-04-10,7.66199024781062,5.927246083110421,13.58923633092104,Normal
2017-03-05,2017-04-17,6.69622739813552,5.014513536466168,11.710740934601688,Normal
2017-03-12,2017-04-24,6.033560044080674,4.39161885306273,10.425178897143404,Normal
2017-03-19,2017-05-01,5.533375897410487,3.8571859690858825,9.39056186649637,Normal
2017-03-26,2017-05-08,5.155697600191366,3.4372632570726798,8.592960857264046,Normal
2017-04-02,2017-05-15,4.698876548660302,3.0067737025431387,7.705650251203441,Normal
2017-04-09,2017-05-22,4.4239238970208605,2.747635445091671,7.171559342112531,Normal
2017-04-16,2017-05-29,4.456594351353247,2.669510445304739,7.1261047966579865,Anomaly
2017-04-23,2017-06-05,4.48474738495716,2.7601634789086518,7.244910863865812,Normal
2017-04-30,2017-06-12,4.513866702979176,2.7154191605670324,7.22928586354621,Anomaly
2017-05-07,2017-06-19,4.487035894488016,2.6532348169748605,7.140270711462876,Normal
2017-05-14,2017-06-26,4.599504328365857,2.730475978125429,7.329980306491283,Normal
2017-05-21,2017-07-03,4.79354128898783,2.8906056847383037,7.684146973726133,Normal
2017-05-28,2017-07-10,4.795880281536942,2.912357555826715,7.708237837363655,Normal
