<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:90207b9802308fdcc624939cd3baa17127c9b17cd8ce35959996dcb2f39ee0df
size 863
=======
COMMODITY,STATENAME,DATE,MONTH,YEAR
MUSTARD OIL,UTTAR PRADESH,2020-08-12,August,2020
MUSTARD OIL,WEST BENGAL,2020-10-22,October,2020
ONION,KARNATAKA,2020-10-22,October,2020
ONION,MAHARASHTRA,2020-10-26,October,2020
ONION,NCT OF DELHI,2020-10-26,October,2020
ONION,UTTAR PRADESH,2020-10-26,October,2020
POTATO,GUJARAT,2020-10-22,October,2020
POTATO,HIMACHAL PRADESH,2020-10-23,October,2020
POTATO,MADHYA PRADESH,2020-10-22,October,2020
POTATO,NCT OF DELHI,2020-10-24,October,2020
POTATO,PUNJAB,2020-10-23,October,2020
POTATO,UTTAR PRADESH,2020-10-24,October,2020
POTATO,WEST BENGAL,2020-10-22,October,2020
SUGAR,MAHARASHTRA,2020-10-24,October,2020
SUGAR,UTTAR PRADESH,2019-06-21,June,2019
TOMATO,KARNATAKA,2020-09-19,September,2020
TOMATO,MAHARASHTRA,2020-10-24,October,2020
TOMATO,NCT OF DELHI,2020-10-24,October,2020
TOMATO,UTTAR PRADESH,2020-10-22,October,2020
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
