<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:a838c02a88bf53b99cabf192803d3c3fa1449a7c91d2728c6be8b5c7c1150e6a
size 2358
=======
COMMODITY,STATENAME,STATECODE,MANDINAME,MANDICODE,CENTRENAME,CENTRECODE
RICE,WEST BENGAL,6,KHARAGPUR,1,KHARAGPUR,1
RICE,WEST BENGAL,6,KOLKATA,2,KOLKATA,2
RICE,WEST BENGAL,6,MALDA,3,MALDA,3
RICE,WEST BENGAL,6,PURULIA,4,PURULIA,4
RICE,WEST BENGAL,6,RAIGANJ,5,RAIGANJ,5
RICE,WEST BENGAL,6,SILIGURI,6,SILIGURI,6
RICE,UTTAR PRADESH,17,AGRA,7,AGRA,7 
RICE,UTTAR PRADESH,17,ALLAHABAD,8,ALLAHABAD,8
RICE,UTTAR PRADESH,17,GORAKHPUR,9,GORAKHPUR,9 
RICE,UTTAR PRADESH,17,JHANSI,10,JHANSI,10
RICE,UTTAR PRADESH,17,LUCKNOW,11,LUCKNOW,11 
RICE,UTTAR PRADESH,17,MEERUT,12,MEERUT,12 
RICE,UTTAR PRADESH,17,VARANASI,13,VARANASI,13 
RICE,PUNJAB,3,AMRITSAR,14,AMRITSAR,14
RICE,PUNJAB,3,BATHINDA,15,BATHINDA,15
RICE,PUNJAB,3,CHANDIGARH,16,CHANDIGARH,16
RICE,PUNJAB,3,LUDHIANA,17,LUDHIANA,17
RICE,PUNJAB,3,PANCHKULA,18,PANCHKULA,18
MASUR DAL,WEST BENGAL,6,KHARAGPUR,1,KHARAGPUR,1
MASUR DAL,WEST BENGAL,6,KOLKATA,2,KOLKATA,2
MASUR DAL,WEST BENGAL,6,MALDA,3,MALDA,3
MASUR DAL,WEST BENGAL,6,PURULIA,4,PURULIA,4
MASUR DAL,WEST BENGAL,6,RAIGANJ,5,RAIGANJ,5
MASUR DAL,WEST BENGAL,6,SILIGURI,6,SILIGURI,6
MASUR DAL,MADHYA PRADESH,19,BHOPAL,19,BHOPAL,19
MASUR DAL,MADHYA PRADESH,19,GWALIOR,20,GWALIOR,20
MASUR DAL,MADHYA PRADESH,19,INDORE,21,INDORE,21
MASUR DAL,MADHYA PRADESH,19,JABALPUR,22,JABALPUR,22
MASUR DAL,MADHYA PRADESH,19,REWA,23,REWA,23
MASUR DAL,MADHYA PRADESH,19,SAGAR,24,SAGAR,24
GREEN GRAM DAL (MOONG DAL),ODISHA,23,BALASORE,25,BALASORE,25
GREEN GRAM DAL (MOONG DAL),ODISHA,23,BERHAMPUR,26,BERHAMPUR,26
GREEN GRAM DAL (MOONG DAL),ODISHA,23,BHUBANESHWAR,27,BHUBANESHWAR,27
GREEN GRAM DAL (MOONG DAL),ODISHA,23,CUTTACK,28,CUTTACK,28
GREEN GRAM DAL (MOONG DAL),ODISHA,23,SAMBALPUR,29,SAMBALPUR,29
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH,25,HYDERABAD,30,HYDERABAD,30
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH,25,KARIMNAGAR,31,KARIMNAGAR,31
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH,25,TIRUPATHI,32,TIRUPATHI,32
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH,25,VIJAYWADA,33,VIJAYWADA,33
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH,25,VISAKHAPATNAM,34,VISAKHAPATNAM,34
SUGAR,UTTAR PRADESH,17,AGRA,7,AGRA,7 
SUGAR,UTTAR PRADESH,17,ALLAHABAD,8,ALLAHABAD,8
SUGAR,UTTAR PRADESH,17,GORAKHPUR,9,GORAKHPUR,9 
SUGAR,UTTAR PRADESH,17,JHANSI,10,JHANSI,10
SUGAR,UTTAR PRADESH,17,LUCKNOW,11,LUCKNOW,11 
SUGAR,UTTAR PRADESH,17,MEERUT,12,MEERUT,12 
SUGAR,UTTAR PRADESH,17,VARANASI,13,VARANASI,13 
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
