<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:c7bfa514ed5fe2194e9e3933fa5a84a9742f8ad41f24152242d69392393f1624
size 2200
=======
COMMODITY,STATENAME,MANDINAME,CENTRENAME
POTATO,WEST BENGAL,BISHNUPUR(BANKURA),KOLKATA
POTATO,WEST BENGAL,ULUBERIA,KOLKATA
POTATO,WEST BENGAL,DURGAPUR,KOLKATA
POTATO,WEST BENGAL,KALYANI,KOLKATA
POTATO,WEST BENGAL,ISLAMPUR,SILIGURI
POTATO,WEST BENGAL,SHEORAPHULY,KOLKATA
POTATO,WEST BENGAL,KATWA,KOLKATA
POTATO,UTTAR PRADESH,FAIZABAD,LUCKNOW
POTATO,UTTAR PRADESH,LAKHIMPUR,LUCKNOW
POTATO,UTTAR PRADESH,BASTI,VARANASI
POTATO,UTTAR PRADESH,LUCKNOW,LUCKNOW
POTATO,PUNJAB,AJNALA,AMRITSAR
POTATO,PUNJAB,ZIRA,AMRITSAR
POTATO,PUNJAB,MALERKOTLA,LUDHIANA
POTATO,PUNJAB,SANGRUR,LUDHIANA
POTATO,PUNJAB,BARNALA,LUDHIANA
POTATO,NCT OF DELHI,AZADPUR,DELHI
TOMATO,KARNATAKA,SRINIVASAPUR,BENGALURU
TOMATO,KARNATAKA,MULABAGILU,BENGALURU
TOMATO,KARNATAKA,CHINTAMANI,BENGALURU
TOMATO,KARNATAKA,CHICKKABALLAPURA,BENGALURU
TOMATO,KARNATAKA,MYSORE (BANDIPALYA),MYSORE
TOMATO,UTTAR PRADESH,FAIZABAD,LUCKNOW
TOMATO,UTTAR PRADESH,LUCKNOW,LUCKNOW
TOMATO,UTTAR PRADESH,GONDA,LUCKNOW
TOMATO,UTTAR PRADESH,PUKHRAYAN,KANPUR
TOMATO,UTTAR PRADESH,BARABANKI,LUCKNOW
TOMATO,UTTAR PRADESH,AURAIYA,KANPUR
TOMATO,UTTAR PRADESH,KANPUR(GRAIN),KANPUR
TOMATO,UTTAR PRADESH,KANNAUJ,KANPUR
TOMATO,MAHARASHTRA,PUNE,MUMBAI
TOMATO,NCT OF DELHI,AZADPUR,DELHI
ONION,UTTAR PRADESH,LAKHIMPUR,LUCKNOW
ONION,UTTAR PRADESH,BASTI,VARANASI
ONION,UTTAR PRADESH,LUCKNOW,LUCKNOW
ONION,UTTAR PRADESH,GONDA,LUCKNOW
ONION,UTTAR PRADESH,BARABANKI,LUCKNOW
ONION,UTTAR PRADESH,JALAUN,KANPUR
ONION,UTTAR PRADESH,BAHRAICH,LUCKNOW
ONION,UTTAR PRADESH,KANPUR(GRAIN),KANPUR
ONION,UTTAR PRADESH,AURAIYA,KANPUR
ONION,UTTAR PRADESH,AZAMGARH,VARANASI
ONION,UTTAR PRADESH,MIRZAPUR,VARANASI
ONION,UTTAR PRADESH,GAZIPUR,AGRA
ONION,NCT OF DELHI,AZADPUR,DELHI
ONION,KARNATAKA,BELGAUM,DHARWAD
ONION,KARNATAKA,BANGALORE,BENGALURU
ONION,KARNATAKA,HUBLI (AMARAGOL),DHARWAD
ONION,KARNATAKA,DAVANGERE,DHARWAD
ONION,MAHARASHTRA,LASALGAON,MUMBAI
MUSTARD OIL,WEST BENGAL,DURGAPUR,KOLKATA
MUSTARD OIL,WEST BENGAL,KATWA,KOLKATA
MUSTARD OIL,WEST BENGAL,KASIPUR,KOLKATA
MUSTARD OIL,UTTAR PRADESH,CHHIBRAMAU(KANNUJ),KANPUR
MUSTARD OIL,UTTAR PRADESH,KAYAMGANJ,AGRA
MUSTARD OIL,UTTAR PRADESH,RAATH,KANPUR
MUSTARD OIL,UTTAR PRADESH,PRATAPGARH,VARANASI
MUSTARD OIL,UTTAR PRADESH,SAFDARGANJ,LUCKNOW
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
