<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:77d4f40d4ee3ce3e6378503bcc97df820dfccacccd97a3809090626a29571c15
size 5430
=======
COMMODITY,MANDI,PERCENTAGE
GREEN GRAM DAL (MOONG DAL),ODISHA_BHUBANESHWAR_Price.csv,0.983739837398374
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_HYDERABAD_Price.csv,0.9570267131242741
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_VIJAYWADA_Price.csv,0.9570267131242741
GREEN GRAM DAL (MOONG DAL),ODISHA_SAMBALPUR_Price.csv,0.9523809523809523
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_VISAKHAPATNAM_Price.csv,0.9250871080139372
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_KARIMNAGAR_Price.csv,0.8821138211382114
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_TIRUPATHI_Price.csv,0.818815331010453
GREEN GRAM DAL (MOONG DAL),ODISHA_CUTTACK_Price.csv,0.8141695702671312
MASUR DAL,WEST BENGAL_KOLKATA_Price.csv,0.9692218350754936
MASUR DAL,MADHYA PRADESH_BHOPAL_Price.csv,0.9587688734030198
MASUR DAL,MADHYA PRADESH_INDORE_Price.csv,0.9506387921022067
MASUR DAL,MADHYA PRADESH_REWA_Price.csv,0.9123112659698026
MASUR DAL,MADHYA PRADESH_GWALIOR_Price.csv,0.8966318234610917
MASUR DAL,MADHYA PRADESH_JABALPUR_Price.csv,0.8391405342624855
MASUR DAL,MADHYA PRADESH_SAGAR_Price.csv,0.8176538908246226
MASUR DAL,WEST BENGAL_PURULIA_Price.csv,0.8118466898954704
MASUR DAL,WEST BENGAL_MALDA_Price.csv,0.8019744483159117
MASUR DAL,WEST BENGAL_RAIGANJ_Price.csv,0.7921022067363531
MASUR DAL,WEST BENGAL_KHARAGPUR_Price.csv,0.7636469221835076
MUSTARD OIL,WEST BENGAL_DURGAPUR_Price.csv,0.8849045691150954
MUSTARD OIL,WEST BENGAL_KATWA_Price.csv,0.8552403011001737
MUSTARD OIL,UTTAR PRADESH_CHHIBRAMAU(KANNUJ)_Price.csv,0.6805555555555556
MUSTARD OIL,WEST BENGAL_KASIPUR_Price.csv,0.6770833333333334
MUSTARD OIL,UTTAR PRADESH_KAYAMGANJ_Price.csv,0.6541353383458647
MUSTARD OIL,UTTAR PRADESH_PRATAPGARH_Price.csv,0.6223250433776749
MUSTARD OIL,UTTAR PRADESH_SAFDARGANJ_Price.csv,0.6207715133531158
MUSTARD OIL,UTTAR PRADESH_RAATH_Price.csv,0.6182764603817236
ONION,UTTAR PRADESH_LAKHIMPUR_Price.csv,0.8856152512998267
ONION,UTTAR PRADESH_BASTI_Price.csv,0.853841709994223
ONION,UTTAR PRADESH_LUCKNOW_Price.csv,0.8180242634315424
ONION,UTTAR PRADESH_BARABANKI_Price.csv,0.8076256499133448
ONION,UTTAR PRADESH_GONDA_Price.csv,0.7914500288850376
ONION,UTTAR PRADESH_MIRZAPUR_Price.csv,0.7868284228769498
ONION,UTTAR PRADESH_JALAUN_Price.csv,0.7845176198729058
ONION,UTTAR PRADESH_AZAMGARH_Price.csv,0.78105141536684
ONION,UTTAR PRADESH_BAHRAICH_Price.csv,0.7752744078567302
ONION,UTTAR PRADESH_KANPUR(GRAIN)_Price.csv,0.7677642980935875
ONION,UTTAR PRADESH_AURAIYA_Price.csv,0.7666088965915656
ONION,UTTAR PRADESH_GAZIPUR_Price.csv,0.7660311958405546
ONION,NCT OF DELHI_AZADPUR_Price.csv,0.7244367417677643
ONION,KARNATAKA_BELGAUM_Price.csv,0.7170138888888888
ONION,KARNATAKA_BANGALORE_Price.csv,0.7151129125651419
