<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1738bd9dc784510bf1d309108fa50edc2d2b06b7bcea0d5ed916812285d2c8bf
size 3111
=======
CENTREID,STATECODE,CENTRENAME,LONGITUDE,LATITUDE
1,8,AGARTALA,91.2867777,23.831457
2,17,AGRA,78.0080745,27.1766701
3,14,AHMEDABAD,72.5713621,23.022505
4,4,AIZWAL,92.7176389,23.727107
5,3,AMRITSAR,74.8722642,31.6339793
6,3,BATHINDA,74.9454745,30.210994
7,13,BENGALURU,77.5945627,12.9715987
8,26,BHAGALPUR,87,25.25
9,19,BHOPAL,77.412615,23.2599333
10,23,BHUBANESHWAR,85.8245398,20.2960587
11,21,CHANDIGARH,76.7567368,30.7399738
12,11,CHENNAI,80.2707184,13.0826802
13,11,COIMBATORE,76.9558321,11.0168445
14,23,CUTTACK,85.8829895,20.462521
15,24,DEHRADUN,78.0321918,30.3164945
16,5,DELHI,77.2090212,28.6139391
17,10,DHARAMSHALA,76.3234037,32.219042
18,13,DHARWAD,75.007808,15.4589236
19,28,DIMAPUR,93.73,25.92
20,11,DINDIGUL,77.9802906,10.3673123
21,27,ERNAKULAM,76.2998842,9.9816358
22,16,GURGAON,77.0266383,28.4594965
23,22,GUWAHATI,91.7362365,26.1445169
24,19,GWALIOR,78.1828308,26.2182871
25,24,HALDWANI,79.5129767,29.2182644
26,16,HISAR,75.7216527,29.1491875
27,25,HYDERABAD,79.1766114,15.1283849
28,19,INDORE,75.8577258,22.7195687
29,12,ITANAGAR,93.6053163,27.0843682
30,19,JABALPUR,79.933333,23.166667
31,20,JAIPUR,75.7872709,26.9124336
32,18,JAMMU,74.8570259,32.7266016
33,20,JODHPUR,73.0243094,26.2389469
34,17,KANPUR,80.3318736,26.449923
35,16,KARNAL,76.9904825,29.6856929
36,28,KOHIMA,94.1077,25.6701
37,6,KOLKATA,88.363895,22.572646
38,20,KOTA,75.8647527,25.2138156
39,27,KOZHIKODE,75.78041,11.2587531
40,17,LUCKNOW,80.946166,26.8466937
41,3,LUDHIANA,75.8572758,30.900965
42,10,MANDI,76.9313675,31.7081655
43,13,MANGALORE,74.8559568,12.9141417
44,2,MUMBAI,72.8776559,19.0759837
45,13,MYSORE,76.6393805,12.2958104
46,2,NAGPUR,79.0881546,21.1458004
47,27,PALAKKAD,76.6547932,10.7867303
48,1,PANAJI,73.8278496,15.4909301
49,16,PANCHKULA,76.860565,30.6942091
50,26,PATNA,85.144,25.611
51,31,PORT BLAIR,92.619209,11.615309
52,30,PUDUCHERRY,79.8144722,11.9138598
53,26,PURNIA,87.466667,25.783333
54,9,RAIPUR,81.6296413,21.2513844
55,14,RAJKOT,70.8021599,22.3038945
56,29,RANCHI,85.309562,23.3440997
57,19,REWA,81.3,24.53
58,23,ROURKELA,84.8535844,22.260423
59,19,SAGAR,78.7378068,23.838805
60,23,SAMBALPUR,83.9811665,21.4668716
61,7,SHILLONG,91.8932535,25.5787726
62,10,SHIMLA,77.1734033,31.1048145
63,6,SILIGURI,88.4268741,26.7083818
64,18,SRINAGAR,74.7973681,34.0836581
65,11,THIRUCHIRAPALLI,78.7046725,10.7904833
66,27,THRISSUR,76.2144349,10.5276416
67,11,TIRUNELVELI,77.7,8.73
68,27,T.PURAM,76.9821683,8.6834565
69,17,VARANASI,82.9739144,25.3176452
70,25,VIJAYWADA,80.6480153,16.5061743
71,25,VISAKHAPATNAM,83.2184815,17.6868159
72,27,WAYANAD,76.0833999,11.703206
73,32,WARANGAL,79.5940544,17.9689008
74,14,BHUJ,69.6669324,23.2419997
75,14,SURAT,72.8310607,21.1702401
76,32,KARIMNAGAR,79.1396338,18.3889254
113,10,SOLAN,77.0967357,30.9044857
114,17,JHANSI,78.5684594,25.4484257
115,17,MEERUT,77.7064137,28.9844618
116,17,ALLAHABAD,81.846311,25.4358011
117,17,GORAKHPUR,83.3731675,26.7605545
118,34,RUDRAPUR,79.4141214,28.9875082
119,34,HARIDWAR,78.1642478,29.9456906
120,32,ADILABAD,78.5320107,19.6640624
121,32,SURYAPET,79.6333674,17.1353148
122,32,JADCHERLA,78.1393397,16.7625592
123,17,BARAUT,,
-1,,,,
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
