<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4316bcc36df88e9b7a8912778dad8549d8841f4c03bb72420aca6f0bb7f5691f
size 5760
=======
mandicode,mandiname,statecode,latitude,longitude,centreid
4,472,Karad,2,17.275984100000002,74.20032309999999,48
22,430,Satara,2,17.69139,74.00092,44
41,798,Vasai,2,19.391927499999998,72.8397317,44
47,159,Satana,2,20.598224,74.20325809999999,75
51,1201,Vita,2,17.2751726,74.5357127,18
81,424,Junnar(Otur),2,19.2,73.88,44
84,655,Palthan,2,19.477690600000003,75.3849382,44
86,155,Pune(Hadapsar),2,18.5204303,73.85674370000001,44
93,381,Parbhani,2,19.2609958,76.77666500000001,76
135,1551,Karjat(Rashin),2,18.9192249,73.3277223,44
136,162,Vashi New Mumbai,2,19.077064399999998,72.9989925,44
139,1579,Aarni,2,20.073989,77.949258,46
142,431,Vadgaonpeth,2,16.837531600000002,74.31401899999999,48
163,158,Sangli,2,16.867,74.567,18
181,1576,Sillod(Bharadi),2,20.3079382,75.65281159999999,28
198,1024,Chalisgaon,2,20.47,75.02,75
201,505,Lonand,2,18.041706,74.1861821,44
203,378,Khed(Chakan),2,17.7195516,73.39681359999999,44
209,1367,Ghoti,2,19.440431,73.8801301,44
230,151,Osmanabad,2,18.1860659,76.04194090000001,18
231,506,Malegaon(Umarane),2,20.5547497,74.5100291,75
235,1227,Kalmeshwar,2,21.232101999999998,78.91796,46
238,930,Junnar(Alephata),2,19.2,73.88,44
249,1365,Vaduj,2,17.593548000000002,74.4510972,44
273,649,Malegaon,2,20.5547497,74.5100291,75
275,854,Newasa,2,19.5511772,74.9281063,44
276,720,Shrirampur,2,19.619548,74.66033900000001,44
285,157,Rahuri,2,19.392678,74.6488264,44
287,602,Maanachar,2,19.002237,73.9506774,44
291,1169,Jawali,2,17.879715899999997,74.5902635,44
294,379,Nagpur,2,21.1458004,79.0881546,46
306,149,Nandgaon,2,18.3855337,72.9276008,44
326,544,Ulhasnagar,2,19.2215115,73.16446280000001,44
