<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:2784b1bb659ec493b0e650d826c52230c12c7e007975e546d995edd8c507b01a
size 7856
=======
COMMODITY,MANDINAME,NEIGHBOURINGMANDINAME,CORRELATION,DAYS
MUSTARD OIL,WEST BENGAL_DURGAPUR,WEST BENGAL_KASIPUR,0.6372123891084853,-7
MUSTARD OIL,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),WEST BENGAL_KASIPUR,0.5537443526684487,-5
MUSTARD OIL,WEST BENGAL_KASIPUR,WEST BENGAL_KATWA,0.6872097952581128,9
MUSTARD OIL,WEST BENGAL_KATWA,WEST BENGAL_KASIPUR,0.6881583651164201,-10
RICE,UTTAR PRADESH_LUCKNOW,PUNJAB_BATHINDA,0.8217262080556926,9
RICE,WEST BENGAL_RAIGANJ,UTTAR PRADESH_VARANASI,0.5676620327871105,9
RICE,PUNJAB_LUDHIANA,WEST BENGAL_KOLKATA,0.583688046250279,-10
RICE,WEST BENGAL_PURULIA,UTTAR PRADESH_JHANSI,0.5021979150435185,9
RICE,UTTAR PRADESH_GORAKHPUR,UTTAR PRADESH_VARANASI,0.8904361986343003,-10
RICE,PUNJAB_BATHINDA,UTTAR PRADESH_LUCKNOW,0.8229692791303812,-10
RICE,PUNJAB_CHANDIGARH,UTTAR PRADESH_JHANSI,0.6793026108166651,4
RICE,UTTAR PRADESH_AGRA,UTTAR PRADESH_GORAKHPUR,0.8846317348953153,9
RICE,UTTAR PRADESH_MEERUT,UTTAR PRADESH_GORAKHPUR,0.8845921023072835,-10
RICE,UTTAR PRADESH_ALLAHABAD,UTTAR PRADESH_GORAKHPUR,0.84000828528198,9
RICE,UTTAR PRADESH_JHANSI,UTTAR PRADESH_AGRA,0.789808467082841,0
RICE,PUNJAB_PANCHKULA,UTTAR PRADESH_GORAKHPUR,0.5692521366927366,9
RICE,UTTAR PRADESH_VARANASI,UTTAR PRADESH_GORAKHPUR,0.8901046733430329,9
RICE,WEST BENGAL_KOLKATA,UTTAR PRADESH_GORAKHPUR,0.7982352382123458,-10
RICE,PUNJAB_AMRITSAR,UTTAR PRADESH_LUCKNOW,0.2469841185893926,9
POTATO,UTTAR PRADESH_LUCKNOW,UTTAR PRADESH_LAKHIMPUR,0.9768047284690637,-7
POTATO,UTTAR PRADESH_FAIZABAD,UTTAR PRADESH_BASTI,0.981509552567458,-8
POTATO,HIMACHAL PRADESH_KULLU,UTTAR PRADESH_BASTI,0.903357456415455,4
POTATO,WEST BENGAL_DURGAPUR,WEST BENGAL_BISHNUPUR(BANKURA),0.9670678432402762,3
POTATO,MADHYA PRADESH_SANWER,PUNJAB_ZIRA,0.6625519148334704,-1
POTATO,PUNJAB_MALERKOTLA,PUNJAB_BARNALA,0.9537646561374691,0
POTATO,WEST BENGAL_BISHNUPUR(BANKURA),WEST BENGAL_KALYANI,0.9801768897370575,2
POTATO,WEST BENGAL_KALYANI,WEST BENGAL_ULUBERIA,0.9897231652580561,2
