<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:bafe51d60f2a38f0509f3cdebe6efae9b314b1363e6888f8e0b7d4db66208790
size 11477
=======
DATE,PRICE,LEAD,LAG,LEADLAG,MISSED
2019-01-01,607.785714285714,100000,100000,100000,100000
2019-01-02,634,,,,
2019-01-03,643.5,,,,
2019-01-04,664.928571428571,,,,
2019-01-05,698.285714285714,,,,
2019-01-06,755.214285714286,,,,
2019-01-07,807.571428571429,,,,
2019-01-08,852.785714285714,,,,
2019-01-09,933.785714285714,,,,
2019-01-10,983.857142857143,,,983.857142857143,
2019-01-11,1040.07142857143,,,,
2019-01-12,1075.78571428571,,,,
2019-01-13,1126,,,,
2019-01-14,1187.92857142857,,,,
2019-01-15,1249.85714285714,,,,
2019-01-16,1305.16927009372,,,,
2019-01-17,1352.74069866515,,,,
2019-01-18,1359.66927009372,,,,
2019-01-19,1340.59784152229,,,,
2019-01-20,1297.95498437944,,,,
2019-01-21,1250.38355580801,,,,
2019-01-22,1221.81212723658,,,,
2019-01-23,1162.74069866515,,,,
2019-01-24,1134.09784152229,,,,
2019-01-25,1086.45498437944,,,,
2019-01-26,1034.09784152229,,,,
2019-01-27,974.597841522295,,,,
2019-01-28,915.026412950866,,,,
2019-01-29,850.740698665152,,,,
2019-01-30,790.642857142857,,,,
2019-01-31,728.785714285714,,,,
2019-02-01,693.285714285714,,,,
2019-02-02,683.785714285714,,,,
2019-02-03,664.785714285715,,,,
2019-02-04,664.785714285715,,,,
2019-02-05,636.214285714286,,,,
2019-02-06,611.928571428572,,,,
2019-02-07,590.5,,,,
2019-02-08,580.928571428572,,,,
2019-02-09,573.785714285715,,,,
2019-02-10,561.857142857143,,,,
2019-02-11,533.285714285714,,,,
2019-02-12,516.571428571429,,,,
2019-02-13,495.142857142857,,,,
2019-02-14,490.357142857143,,,,
2019-02-15,499.928571428572,,,,
2019-02-16,492.785714285714,,,,
2019-02-17,490.357142857143,,,,
2019-02-18,476.071428571429,,,,
2019-02-19,488,,,,
2019-02-20,490.357142857143,,,,
2019-02-21,490.357142857143,,,,
2019-02-22,485.642857142857,,,,
2019-02-23,483.214285714286,,,,
2019-02-24,483.214285714286,,,,
2019-02-25,490.357142857143,,,,
2019-02-26,485.642857142857,,,,
2019-02-27,492.785714285714,,,,
2019-02-28,499.928571428572,,,,
2019-03-01,504.642857142857,,,,
2019-03-02,521.357142857143,,,,
2019-03-03,526.142857142857,,,,
2019-03-04,530.857142857143,,,,
2019-03-05,528.428571428572,,,,
2019-03-06,530.857142857143,,,,
2019-03-07,526.142857142857,,,,
2019-03-08,523.714285714286,,,,
2019-03-09,519,,,,
2019-03-10,514.285714285714,,,,
2019-03-11,528.571428571429,,,,
2019-03-12,542.857142857143,,,,
2019-03-13,552.428571428572,,,,
2019-03-14,554.785714285714,,,,
2019-03-15,561.928571428572,,,,
2019-03-16,557.142857142857,,,,
2019-03-17,573.785714285715,,,,
2019-03-18,592.857142857143,,,,
2019-03-19,602.428571428572,,,,
2019-03-20,609.571428571429,,,,
2019-03-21,623.857142857143,,,,
2019-03-22,645.285714285714,,,,
2019-03-23,669.071428571429,,,,
2019-03-24,688.071428571429,,,,
2019-03-25,685.714285714286,,,,
2019-03-26,690.428571428572,,,,
2019-03-27,730.857142857143,,,,
2019-03-28,749.928571428572,,,,
2019-03-29,764.214285714286,,,,
2019-03-30,776.142857142857,,,,
2019-03-31,780.928571428572,,,,
2019-04-01,785.714285714286,,,,
2019-04-02,823.785714285715,,,,
2019-04-03,866.642857142857,,,,
2019-04-04,938.071428571429,,,,
2019-04-05,973.785714285715,,,,
2019-04-06,1000,,,,
2019-04-07,1059.57142857143,,,,
2019-04-08,1102.42857142857,,,,
2019-04-09,1126.28571428571,,,,
2019-04-10,1116.78571428571,,,,
2019-04-11,1150.14285714286,,,,
2019-04-12,1216.85714285714,,,,
2019-04-13,1266.85714285714,,,,
2019-04-14,1354.92857142857,,,,
2019-04-15,1435.85714285714,,,,
2019-04-16,1502.5,,,,
2019-04-17,1566.78571428571,,,,
2019-04-18,1592.92857142857,,,,
2019-04-19,1650.07142857143,,,,
2019-04-20,1683.35714285714,,,,
2019-04-21,1702.35714285714,,,,
2019-04-22,1766.64285714286,,,,
2019-04-23,1823.78571428571,,,,
2019-04-24,1864.28571428571,,,,
2019-04-25,1900,,,,
2019-04-26,1926.14285714286,,,,
2019-04-27,2033.28571428571,,,,
2019-04-28,2054.71428571429,,,,
2019-04-29,2088.07142857143,,,,
2019-04-30,2100,,,,
2019-05-01,2107.14285714286,,,,
2019-05-02,2128.57142857143,,,,
2019-05-03,2150,,,,
2019-05-04,2238.14285714286,,,,
2019-05-05,2276.28571428571,,,,
2019-05-06,2264.35714285714,,,,
2019-05-07,2265.78571428571,,,,
2019-05-08,2308.64285714286,,,,
2019-05-09,2355.28571428571,,,,
2019-05-10,2373.42857142857,,,,
2019-05-11,2316.28571428571,,,,
2019-05-12,2323.42857142857,,,2323.42857142857,
2019-05-13,2317.71428571429,,,,
2019-05-14,2348.64285714286,,,,
2019-05-15,2381.92857142857,,,,
2019-05-16,2410.5,,,,
2019-05-17,2398.64285714286,,,,
2019-05-18,2377.21428571429,,,,
2019-05-19,2377.21428571429,,,,
2019-05-20,2417.71428571429,,,,
2019-05-21,2459.14285714286,,,,
2019-05-22,2466.71428571429,,,,
2019-05-23,2465.28571428571,,,,
2019-05-24,2480.5,,,,
2019-05-25,2489.07142857143,,,,
2019-05-26,2545.28571428571,,,,
2019-05-27,2572.42857142857,,,,
2019-05-28,2601,,,,
2019-05-29,2583.42857142857,,,,
2019-05-30,2573.92857142857,,,,
2019-05-31,2612,,,,
2019-06-01,2657.21428571429,,,,
2019-06-02,2671.5,,,,
2019-06-03,2628.64285714286,,,,
2019-06-04,2573.85714285714,,,,
2019-06-05,2556.71428571429,,,,
2019-06-06,2554.35714285714,,,,
2019-06-07,2509.14285714286,,,,
2019-06-08,2479.14285714286,,,,
2019-06-09,2380.64153571429,,,,
2019-06-10,2325.85582142857,,,,
2019-06-11,2309.21296428571,,,,
2019-06-12,2333.92725,,,,
2019-06-13,2331.57010714286,,,,
2019-06-14,2343.49867857143,,,,
2019-06-15,2267.28439285714,,,,
2019-06-16,2262.49867857143,,,,
2019-06-17,2271.99867857143,,,,
2019-06-18,2275.78439285714,,,,
2019-06-19,2230.07112419809,,,,
2019-06-20,2165.78540991238,,,,
2019-06-21,2168.14255276952,,,,
2019-06-22,2129.99969562666,,,,
2019-06-23,2058.21313197639,,,,
2019-06-24,1953.61836827937,,,,
2019-06-25,1772.34716670301,,,,
2019-06-26,1589.65182715282,,,,
2019-06-27,1424.15183076218,,,,
2019-06-28,1238.66885204918,,,,
2019-06-29,1109.52662013124,,,,
2019-06-30,959.998391957673,,,,
2019-07-01,844.030839147963,,,,
2019-07-02,763.775714692417,,,,
2019-07-03,711.660581053586,,,,
2019-07-04,671.801200288726,,,,
2019-07-05,604.96130694136,,,,
2019-07-06,597.441529583004,,,,
2019-07-07,637.601477376611,,,,
2019-07-08,711.819015145713,,,,
2019-07-09,811.407910438799,,,,
2019-07-10,930.512366146763,,,,
2019-07-11,1065.01236253741,,,,
2019-07-12,1212.35248410755,,,,
2019-07-13,1324.85185888263,,,,
2019-07-14,1438.66580134191,,,,
2019-07-15,1556.99049700877,,,,
2019-07-16,1659.67419289288,,,,
2019-07-17,1740.85973804791,,,,
2019-07-18,1840.21911881277,,,,
2019-07-19,1890.34472644585,,,,
2019-07-20,1950.29307523278,,,,
2019-07-21,1964.70672680373,,,,
2019-07-22,1976.01252416022,,,,
2019-07-23,2010.05197330064,,,,
2019-07-24,2035.57142857143,,,,
2019-07-25,2021.28571428571,,,,
2019-07-26,1999.85714285714,,,,
2019-07-27,1997.5,,,,
2019-07-28,1978.42857142857,,,,
2019-07-29,1959.42857142857,,,,
2019-07-30,1930.85714285714,,,,
2019-07-31,1938,,,,
2019-08-01,1897.5,,,,
2019-08-02,1895.14285714286,,,,
2019-08-03,1897.5,,,,
2019-08-04,1902.28571428571,,,,
2019-08-05,1911.85714285714,,,,
2019-08-06,1871.42857142857,,,,
2019-08-07,1802.35714285714,,,,
2019-08-08,1764.28571428572,,1764.28571428572,,
2019-08-09,1688.14285714286,,,,
2019-08-10,1652.42857142857,,,,
2019-08-11,1623.85714285714,,,,
2019-08-12,1585.78571428571,,,,
2019-08-13,1540.5,,,,
2019-08-14,1485.71428571429,,,,
2019-08-15,1423.85714285714,,,,
2019-08-16,1366.71428571429,,,,
2019-08-17,1281,,,,
2019-08-18,1254.78571428571,,,,
2019-08-19,1197.64285714286,,,,
2019-08-20,1152.35714285714,,,,
2019-08-21,1116.64285714286,,,,
2019-08-22,1069,,,,
2019-08-23,1054.71428571429,,,,
2019-08-24,1021.35714285714,,,,
2019-08-25,997.571428571429,,,,
2019-08-26,957.071428571429,,,,
2019-08-27,945.214285714286,,,,
2019-08-28,904.785714285715,,,,
2019-08-29,900.000000000001,,,,
2019-08-30,881.000000000001,,,,
2019-08-31,866.714285714286,,,,
2019-09-01,821.500000000001,,,,
2019-09-02,802.428571428572,,,,
2019-09-03,778.642857142858,,,,
2019-09-04,769.142857142858,,,,
2019-09-05,775.357142857143,,,,
2019-09-06,753.928571428572,,,,
2019-09-07,732.500000000001,,,,
2019-09-08,689.642857142858,,,,
2019-09-09,670.571428571429,,,,
2019-09-10,644.357142857143,,,,
2019-09-11,627.642857142858,,,,
2019-09-12,603.857142857143,,,,
2019-09-13,599.071428571429,,,,
2019-09-14,594.285714285715,,,,
2019-09-15,591.857142857143,,,,
2019-09-16,575.214285714286,,,,
2019-09-17,556.142857142858,,,,
2019-09-18,544.214285714286,,,,
2019-09-19,533.285714285715,,,,
2019-09-20,533.285714285715,,,,
2019-09-21,519.000000000001,,,,
2019-09-22,528.500000000001,,,,
2019-09-23,542.785714285715,,,,
2019-09-24,554.714285714286,,,,
2019-09-25,580.928571428572,,,,
2019-09-26,603.785714285715,,,603.785714285715,
2019-09-27,622.857142857143,,,,
2019-09-28,672.857142857143,,,,
2019-09-29,722.857142857143,,,,
2019-09-30,768.071428571429,,,,
2019-10-01,832.142857142858,832.142857142858,,,
2019-10-02,903.571428571429,,,,
2019-10-03,917.857142857143,,,,
2019-10-04,979.714285714286,,,,
2019-10-05,1055.92857142857,,,,
2019-10-06,1065.5,,,,
2019-10-07,1079.78571428571,,,,
2019-10-08,1098.78571428572,,,,
2019-10-09,1103.57142857143,,,,
2019-10-10,1104.5,,,,
2019-10-11,1090.21428571429,,,,
2019-10-12,1090.21428571429,,,,
2019-10-13,1114.07142857143,,,,
2019-10-14,1142.64285714286,,,,
2019-10-15,1114.28571428572,,,,
2019-10-16,1071.42857142857,,,,
2019-10-17,1080.92857142857,,,,
2019-10-18,1064.28571428572,,,,
2019-10-19,1030.92857142857,,,,
2019-10-20,1045.21428571429,,,,
2019-10-21,1045.21428571429,,,,
2019-10-22,1045.21428571429,,,,
2019-10-23,1049.92857142857,,,,
2019-10-24,1069,,,,
2019-10-25,1088,,,,
2019-10-26,1078.5,,,,
2019-10-27,1061.78571428572,,,,
2019-10-28,1057,,,,
2019-10-29,1109.42857142857,,,,
2019-10-30,1169,,,,
2019-10-31,1240.42857142857,,,,1240.42857142857
2019-11-01,1257.07142857143,,,,
2019-11-02,1273.71428571429,,,,
2019-11-03,1314.07142857143,,,,
2019-11-04,1342.64285714286,,,,
2019-11-05,1371.21428571429,,,,
2019-11-06,1414.07142857143,,,,
2019-11-07,1414.07142857143,,,,
2019-11-08,1418.85714285714,,,,
2019-11-09,1437.92857142857,,,,
2019-11-10,1430.78571428572,,,,
2019-11-11,1409.35714285714,,,,
2019-11-12,1378.35714285714,,,,
2019-11-13,1340.21428571429,,,,
2019-11-14,1268.78571428571,,,,
2019-11-15,1252.14285714286,,,,
2019-11-16,1233.14285714286,,,,
2019-11-17,1188,,,,
