<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:9d6ce37ecaadbb7284e37c8787ca9c426171c503a65c8f3c193d77f37df30a6e
size 429
=======
DATE,LEAD,LAG,LEADLAG,MISSED
2016-05-19,1,,,
2016-06-14,,,,1
2016-12-17,1,,,
2016-12-29,,,1,
2017-01-04,,1,,
2017-02-16,1,,,
2017-03-16,,,,1
2017-05-02,,,1,
2017-06-10,,1,,
2017-06-28,,,1,
2017-08-01,,,1,
2017-08-20,,,1,
2017-09-15,,,1,
2017-10-18,,,1,
2017-11-09,1,,,
2017-12-05,,,1,
2017-12-31,,,1,
2018-01-19,1,,,
2018-03-30,,,1,
2020-03-08,,,1,
2020-05-22,,,1,
2020-06-23,,,1,
2020-07-02,,,1,
2020-08-24,,,1,
2020-08-31,,,1,
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
