<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:795c22a5569a650edcd30ac64b7ff6ccca4149778f5ec70df6717128a99db047
size 2851
=======
DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.012806549125593,Normal,Normal,Normal
2016-02-01,0.0090171652671241,Normal,Normal,Normal
2016-03-01,0.0,Normal,Normal,Normal
2016-04-01,0.0,Normal,Normal,Normal
2016-05-01,0.0,Normal,Normal,Normal
2016-06-01,0.0,Normal,Normal,Normal
2016-07-01,0.0,Normal,Normal,Normal
2016-08-01,0.0,Normal,Normal,Normal
2016-09-01,0.0,Normal,Normal,Normal
2016-10-01,0.0086217424515536,Normal,Normal,Normal
2016-11-01,0.0368326081664714,Anomaly,Anomaly,Normal
2016-12-01,0.0,Normal,Normal,Normal
2017-01-01,0.0,Normal,Normal,Normal
2017-02-01,0.0141984288406447,Normal,Normal,Normal
2017-03-01,0.0,Normal,Normal,Normal
2017-04-01,0.0,Normal,Normal,Normal
2017-05-01,0.0,Normal,Normal,Normal
2017-06-01,0.0,Normal,Normal,Normal
2017-07-01,0.030755554848522,Normal,Anomaly,Normal
2017-08-01,0.0276304762821715,Normal,Normal,Anomaly
2017-09-01,0.0,Normal,Normal,Normal
2017-10-01,0.0,Normal,Normal,Normal
2017-11-01,0.0,Normal,Normal,Normal
2017-12-01,0.0,Normal,Normal,Normal
2018-01-01,0.0,Normal,Normal,Normal
2018-02-01,0.0,Normal,Normal,Normal
2018-03-01,0.0459029481285942,Anomaly,Anomaly,Anomaly
2018-04-01,0.0,Normal,Normal,Normal
2018-05-01,0.0,Normal,Normal,Normal
2018-06-01,0.0,Normal,Normal,Normal
2018-07-01,0.0237822830189,Normal,Anomaly,Normal
2018-08-01,0.0,Normal,Normal,Normal
2018-09-01,0.0,Normal,Normal,Normal
2018-10-01,0.0,Normal,Normal,Normal
2018-11-01,0.0,Normal,Normal,Normal
2018-12-01,0.0,Normal,Normal,Normal
2019-01-01,0.0,Normal,Normal,Normal
2019-02-01,0.0,Normal,Normal,Normal
2019-03-01,0.0,Normal,Normal,Normal
2019-04-01,0.0,Normal,Normal,Normal
2019-05-01,0.0,Normal,Normal,Normal
2019-06-01,0.0,Normal,Normal,Normal
2019-07-01,0.0,Normal,Normal,Normal
2019-08-01,0.0218946848508778,Normal,Anomaly,Normal
2019-09-01,0.0184017685011552,Normal,Normal,Normal
2019-10-01,0.0,Normal,Normal,Normal
2019-11-01,0.0116965464582732,Normal,Normal,Normal
2019-12-01,0.0041737364039205,Normal,Normal,Normal
2020-01-01,0.0050123171254858,Normal,Normal,Normal
2020-02-01,0.0,Normal,Normal,Normal
2020-03-01,0.0555348890247626,Anomaly,Normal,Anomaly
2020-04-01,0.0500210781359614,Anomaly,Anomaly,Anomaly
2020-05-01,0.011773225276313,Normal,Normal,Normal
2020-06-01,0.0070792605675053,Normal,Normal,Normal
2020-07-01,0.0,Normal,Normal,Normal
2020-08-01,0.0,Normal,Normal,Normal
2020-09-01,0.0541890588138151,Anomaly,Anomaly,Anomaly
2020-10-01,0.0042064931092775,Normal,Normal,Normal
2020-11-01,0.0083807475130044,Normal,Normal,Normal
2020-12-01,0.0017110523548955,Normal,Normal,Normal
2021-01-01,0.0034189526329935,Normal,Normal,Normal
2021-02-01,0.0085107526532111,Normal,Normal,Normal
2021-03-01,0.0041174172730001,Normal,Normal,Normal
2021-04-01,0.0062170551362674,Normal,Normal,Normal
2021-05-01,0.002570535826409,Normal,Normal,Normal
2021-06-01,0.0002414664393104,Normal,Normal,Normal
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
