<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d8b0a15a920f5839006c39344a370c56ba71e3589b4697fd0be45cf707247309
size 1618
=======
STARTDATE,ENDATE,ANOMALY
2008-03-13,2008-04-24,INFLATION
2008-12-16,2009-01-27,WEATHER
2009-03-16,2009-04-28,no
2009-05-20,2009-07-02,no
2009-11-28,2010-01-09,HOARDING
2010-05-09,2010-06-21,no
2010-12-19,2011-01-30,HOARDING
2011-05-01,2011-06-13,no
2011-06-23,2011-08-05,no
2011-12-06,2012-01-17,WEATHER
2012-03-01,2012-04-13,no
2012-12-01,2013-01-13,HOARDING
2013-03-14,2013-04-26,no
2013-03-21,2013-05-02,NAVRATRA
2013-12-21,2014-02-01,HOARDING
2014-06-04,2014-07-17,no
2015-03-15,2015-04-26,WEATHER
2015-06-18,2015-07-31,no
2017-03-28,2017-05-09,NAVRATRA
2007-12-12,2008-01-23,supply
2008-03-07,2008-04-19,no
2008-04-26,2008-06-07,supply
2008-07-30,2008-09-11,no
2008-12-25,2009-02-05,supply
2009-05-20,2009-07-02,no
2010-03-01,2010-04-12,supply
2010-05-26,2010-07-08,no
2011-12-03,2012-01-14,supply
2013-12-12,2014-01-23,supply
2014-05-25,2014-07-07,no
2014-12-28,2015-02-08,supply
2015-05-08,2015-06-20,no
2015-07-10,2015-08-22,no
2016-02-15,2016-03-29,anomaly
2016-05-16,2016-06-28,no
2016-07-11,2016-08-23,no
2016-08-29,2016-10-11,no
2016-10-31,2016-12-13,anomaly
2016-11-27,2017-01-08,supply
2017-01-22,2017-03-06,anomaly
2017-04-23,2017-06-05,anomaly
2017-06-11,2017-07-24,no
2017-11-12,2017-12-25,anomaly
2017-12-03,2018-01-14,supply
2018-02-25,2018-04-09,anomaly
2018-04-08,2018-05-21,anomaly
2018-06-24,2018-08-06,no
2018-08-12,2018-09-24,no
2018-09-30,2018-11-12,no
2019-01-06,2019-02-18,no
2019-04-14,2019-05-27,no
2019-06-16,2019-07-29,no
2019-08-04,2019-09-16,anomaly
2019-10-27,2019-12-09,anomaly
2020-01-19,2020-03-02,anomaly
2020-04-19,2020-06-01,no
2020-07-19,2020-08-31,no
2020-09-20,2020-11-02,no
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
