<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:731640417f350afa39ca427ed2e98d9358bb7cc6ba93e1c17f2cee6f9176e2bf
size 43245
=======
index,DATE,MANDINAME,STATENAME,VOLATILITY
0,2016-01-01,BANGALORE,KARNATAKA,0.1944827268366909
1,2016-01-01,DAVANGERE,KARNATAKA,0.16930561324826224
2,2016-01-01,HUBLI (AMARAGOL),KARNATAKA,0.14686593455006475
3,2016-01-01,BELGAUM,KARNATAKA,0.10034364910767617
4,2016-01-01,LASALGAON,MAHARASHTRA,0.07502192603097886
5,2016-01-01,AZADPUR,NCT OF DELHI,0.0695949258786915
6,2016-01-01,MIRZAPUR,UTTAR PRADESH,0.06861895937986283
10,2016-01-01,AVERAGE,,0.0581184939786931
7,2016-01-01,LUCKNOW,UTTAR PRADESH,0.04956275306023366
8,2016-01-01,FATEHPUR,UTTAR PRADESH,0.042250956452174
9,2016-01-01,JALAUN,UTTAR PRADESH,0.035829406610991175
0,2016-02-01,DAVANGERE,KARNATAKA,0.33570417019295856
1,2016-02-01,AZAMGARH,UTTAR PRADESH,0.2036445974687267
2,2016-02-01,JALAUN,UTTAR PRADESH,0.15590601852816355
3,2016-02-01,HUBLI (AMARAGOL),KARNATAKA,0.1285764721976941
4,2016-02-01,KANPUR(GRAIN),UTTAR PRADESH,0.11870706413865338
5,2016-02-01,LASALGAON,MAHARASHTRA,0.1080900050565631
6,2016-02-01,LUCKNOW,UTTAR PRADESH,0.10776303003155624
7,2016-02-01,PUKHRAYAN,UTTAR PRADESH,0.10711621853849844
8,2016-02-01,BELGAUM,KARNATAKA,0.10515142083658333
9,2016-02-01,BARABANKI,UTTAR PRADESH,0.10027796584350332
10,2016-02-01,AVERAGE,,0.09973093332597813
0,2016-03-01,BANGALORE,KARNATAKA,0.1632914984156388
1,2016-03-01,HUBLI (AMARAGOL),KARNATAKA,0.146431954105803
2,2016-03-01,BAHRAICH,UTTAR PRADESH,0.13521384125497987
3,2016-03-01,BELGAUM,KARNATAKA,0.09542174597500047
4,2016-03-01,JALAUN,UTTAR PRADESH,0.09216071866002724
5,2016-03-01,LASALGAON,MAHARASHTRA,0.07190966180252152
6,2016-03-01,DAVANGERE,KARNATAKA,0.06975226692285581
10,2016-03-01,AVERAGE,,0.0610927774750673
7,2016-03-01,KANNAUJ,UTTAR PRADESH,0.05881631878057896
8,2016-03-01,LUCKNOW,UTTAR PRADESH,0.056334888367801324
9,2016-03-01,LAKHIMPUR,UTTAR PRADESH,0.05311465407340283
0,2016-04-01,HUBLI (AMARAGOL),KARNATAKA,0.2321954113210364
1,2016-04-01,GAZIPUR,UTTAR PRADESH,0.136424236705712
2,2016-04-01,BELGAUM,KARNATAKA,0.0932360650098748
