<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:6bfd3f0758b8764be87ed0fe70457ee33e83ff67a892c368432b2aebbad7c3a1
size 44713
=======
DATE,PRICE
2016-01-01,615.0
2016-01-02,615.0
2016-01-03,610.0
2016-01-04,607.5
2016-01-05,604.0
2016-01-06,596.6666666666666
2016-01-07,590.0
2016-01-08,580.0
2016-01-09,567.8571428571429
2016-01-10,555.0
2016-01-11,542.1428571428571
2016-01-12,529.2857142857143
2016-01-13,524.2857142857143
2016-01-14,520.0
2016-01-15,515.7142857142857
2016-01-16,513.5714285714286
2016-01-17,512.1428571428571
2016-01-18,510.7142857142857
2016-01-19,513.5714285714286
2016-01-20,510.0
2016-01-21,508.57142857142856
2016-01-22,507.14285714285717
2016-01-23,505.7142857142857
2016-01-24,502.85714285714283
2016-01-25,501.42857142857144
2016-01-26,498.3333333333333
2016-01-27,493.3333333333333
2016-01-28,489.1666666666667
2016-01-29,485.8333333333333
2016-01-30,481.0
2016-01-31,478.0
2016-02-01,474.0
2016-02-02,470.0
2016-02-03,463.3333333333333
2016-02-04,449.1666666666667
2016-02-05,437.5
2016-02-06,432.14285714285717
2016-02-07,424.2857142857143
2016-02-08,416.42857142857144
2016-02-09,409.2857142857143
2016-02-10,403.57142857142856
2016-02-11,400.7142857142857
2016-02-12,399.2857142857143
2016-02-13,401.42857142857144
2016-02-14,405.0
2016-02-15,407.85714285714283
2016-02-16,419.2857142857143
2016-02-17,435.0
2016-02-18,462.14285714285717
2016-02-19,487.85714285714283
2016-02-20,512.8571428571429
2016-02-21,532.1428571428571
2016-02-22,552.8571428571429
2016-02-23,580.0
2016-02-24,607.1428571428571
2016-02-25,625.7142857142857
2016-02-26,644.2857142857143
2016-02-27,662.8571428571429
2016-02-28,682.8571428571429
2016-02-29,702.8571428571429
2016-03-01,712.1428571428571
2016-03-02,719.2857142857143
2016-03-03,722.5
2016-03-04,725.0
2016-03-05,726.25
2016-03-06,731.6666666666666
2016-03-07,771.6666666666666
2016-03-08,796.6666666666666
2016-03-09,825.0
2016-03-10,825.0
2016-03-11,825.0
2016-03-12,833.3333333333334
2016-03-13,840.0
2016-03-14,845.0
2016-03-15,857.5
2016-03-16,862.0
2016-03-17,863.3333333333334
2016-03-18,861.4285714285714
2016-03-19,862.8571428571429
2016-03-20,861.4285714285714
2016-03-21,864.2857142857143
2016-03-22,862.8571428571429
2016-03-23,860.0
2016-03-24,858.0
2016-03-25,862.0
2016-03-26,864.0
2016-03-27,866.0
2016-03-28,858.0
2016-03-29,858.0
2016-03-30,851.6666666666666
2016-03-31,845.7142857142857
2016-04-01,841.6666666666666
2016-04-02,831.6666666666666
2016-04-03,824.1666666666666
2016-04-04,820.8333333333334
2016-04-05,814.1666666666666
2016-04-06,814.1666666666666
2016-04-07,814.1666666666666
2016-04-08,812.1428571428571
2016-04-09,810.7142857142857
2016-04-10,810.0
2016-04-11,810.0
2016-04-12,812.8571428571429
2016-04-13,821.4285714285714
2016-04-14,837.1428571428571
2016-04-15,843.3333333333334
2016-04-16,852.0
2016-04-17,862.5
2016-04-18,876.6666666666666
2016-04-19,910.0
2016-04-20,923.3333333333334
2016-04-21,926.6666666666666
2016-04-22,930.0
2016-04-23,930.0
2016-04-24,924.0
2016-04-25,925.0
2016-04-26,923.3333333333334
2016-04-27,920.0
2016-04-28,918.0
2016-04-29,910.0
2016-04-30,910.0
2016-05-01,912.5
2016-05-02,910.8333333333334
2016-05-03,913.3333333333334
2016-05-04,917.5
2016-05-05,917.8571428571429
2016-05-06,917.8571428571429
2016-05-07,923.5714285714286
2016-05-08,930.0
2016-05-09,937.1428571428571
2016-05-10,937.1428571428571
2016-05-11,939.2857142857143
2016-05-12,940.7142857142857
2016-05-13,947.8571428571429
2016-05-14,953.5714285714286
2016-05-15,959.2857142857143
2016-05-16,963.5714285714286
2016-05-17,972.8571428571429
2016-05-18,982.8571428571429
2016-05-19,992.8571428571429
2016-05-20,1002.8571428571429
2016-05-21,1008.5714285714286
2016-05-22,1011.4285714285714
2016-05-23,1014.2857142857143
2016-05-24,1018.5714285714286
2016-05-25,1024.2857142857142
2016-05-26,1032.857142857143
2016-05-27,1037.142857142857
2016-05-28,1041.4285714285713
2016-05-29,1048.5714285714287
2016-05-30,1057.142857142857
2016-05-31,1064.2857142857142
2016-06-01,1070.0
2016-06-02,1075.7142857142858
2016-06-03,1084.2857142857142
2016-06-04,1090.0
2016-06-05,1104.2857142857142
2016-06-06,1107.142857142857
2016-06-07,1121.4285714285713
2016-06-08,1135.7142857142858
2016-06-09,1150.0
2016-06-10,1164.2857142857142
2016-06-11,1182.857142857143
2016-06-12,1190.0
2016-06-13,1208.5714285714287
2016-06-14,1216.0
2016-06-15,1221.7142857142858
2016-06-16,1227.4285714285713
2016-06-17,1233.142857142857
2016-06-18,1237.4285714285713
2016-06-19,1246.0
2016-06-20,1256.0
2016-06-21,1267.142857142857
2016-06-22,1280.0
2016-06-23,1302.857142857143
2016-06-24,1325.7142857142858
2016-06-25,1348.5714285714287
2016-06-26,1370.7142857142858
2016-06-27,1385.0
2016-06-28,1397.857142857143
2016-06-29,1410.7142857142858
2016-06-30,1412.5
2016-07-01,1413.3333333333333
2016-07-02,1413.3333333333333
2016-07-03,1415.8333333333333
2016-07-04,1432.5
2016-07-05,1450.8333333333333
2016-07-06,1470.0
2016-07-07,1470.0
2016-07-08,1487.5
2016-07-09,1505.8333333333333
2016-07-10,1519.1666666666667
2016-07-11,1524.1666666666667
2016-07-12,1526.6666666666667
