<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:43fef73e4978273c4f413a5d3fa4ffff1876caace9615577daf43094a071a37f
size 42388
=======
DATE,PRICE
2016-01-01,825.0
2016-01-02,825.0
2016-01-03,825.0
2016-01-04,825.0
2016-01-05,825.0
2016-01-06,812.5
2016-01-07,803.5714285714286
2016-01-08,792.8571428571429
2016-01-09,782.1428571428571
2016-01-10,771.4285714285714
2016-01-11,760.7142857142857
2016-01-12,735.7142857142857
2016-01-13,721.4285714285714
2016-01-14,695.7142857142857
2016-01-15,677.8571428571429
2016-01-16,620.7142857142857
2016-01-17,585.0
2016-01-18,567.1428571428571
2016-01-19,552.8571428571429
2016-01-20,538.5714285714286
2016-01-21,532.1428571428571
2016-01-22,521.4285714285714
2016-01-23,564.2857142857143
2016-01-24,585.7142857142857
2016-01-25,589.2857142857143
2016-01-26,603.5714285714286
2016-01-27,617.8571428571429
2016-01-28,644.2857142857143
2016-01-29,658.5714285714286
2016-01-30,658.5714285714286
2016-01-31,658.5714285714286
2016-02-01,658.5714285714286
2016-02-02,658.5714285714286
2016-02-03,658.5714285714286
2016-02-04,650.0
2016-02-05,650.0
2016-02-06,650.0
2016-02-07,650.0
2016-02-08,650.0
2016-02-09,650.0
2016-02-10,651.0110294117646
2016-02-11,653.5294117647059
2016-02-12,656.7830882352941
2016-02-13,660.0
2016-02-14,663.3333333333334
2016-02-15,672.5
2016-02-16,678.0
2016-02-17,681.6666666666666
2016-02-18,684.2857142857143
2016-02-19,684.2857142857143
2016-02-20,681.4285714285714
2016-02-21,678.5714285714286
2016-02-22,671.4285714285714
2016-02-23,664.2857142857143
2016-02-24,671.4285714285714
2016-02-25,694.2857142857143
2016-02-26,725.7142857142857
2016-02-27,757.1428571428571
2016-02-28,788.5714285714286
2016-02-29,820.0
2016-03-01,855.7142857142857
2016-03-02,872.8571428571429
2016-03-03,885.7142857142857
2016-03-04,885.7142857142857
2016-03-05,893.5714285714286
2016-03-06,901.4285714285714
2016-03-07,909.2857142857143
2016-03-08,912.8571428571429
2016-03-09,938.5714285714286
2016-03-10,952.8571428571429
2016-03-11,960.7142857142857
2016-03-12,964.2857142857143
2016-03-13,964.2857142857143
2016-03-14,964.2857142857143
2016-03-15,967.8571428571429
2016-03-16,953.5714285714286
2016-03-17,928.5714285714286
2016-03-18,965.0
2016-03-19,997.8571428571429
2016-03-20,1034.2857142857142
2016-03-21,1025.0
2016-03-22,1012.1428571428571
2016-03-23,999.2857142857143
2016-03-24,997.1428571428571
2016-03-25,952.8571428571429
2016-03-26,909.2857142857143
2016-03-27,865.7142857142857
2016-03-28,867.8571428571429
2016-03-29,877.1428571428571
2016-03-30,886.4285714285714
2016-03-31,890.8333333333334
2016-04-01,895.0
2016-04-02,878.0
2016-04-03,861.0
2016-04-04,824.0
2016-04-05,797.0
2016-04-06,770.0
2016-04-07,766.6666666666666
2016-04-08,764.2857142857143
2016-04-09,758.5714285714286
2016-04-10,752.8571428571429
2016-04-11,761.4285714285714
2016-04-12,834.2857142857143
2016-04-13,839.2857142857143
2016-04-14,853.5714285714286
2016-04-15,867.8571428571429
2016-04-16,882.1428571428571
2016-04-17,902.1428571428571
2016-04-18,922.1428571428571
2016-04-19,861.4285714285714
2016-04-20,867.5
2016-04-21,874.1666666666666
2016-04-22,879.0
2016-04-23,886.25
2016-04-24,885.0
2016-04-25,882.5
2016-04-26,835.0
2016-04-27,846.6666666666666
2016-04-28,840.0
2016-04-29,825.0
2016-04-30,818.0
2016-05-01,815.0
2016-05-02,810.0
2016-05-03,815.0
2016-05-04,804.0
2016-05-05,787.5
2016-05-06,790.0
2016-05-07,790.0
2016-05-08,791.1900210044398
2016-05-09,794.6851220647238
2016-05-10,800.3728602512986
2016-05-11,818.7385387450161
2016-05-12,837.1042172387337
2016-05-13,855.4698957324512
2016-05-14,873.8355742261687
2016-05-15,892.2012527198863
2016-05-16,910.5669312136038
2016-05-17,928.9326097073213
2016-05-18,947.2982882010389
2016-05-19,965.6639666947564
2016-05-20,984.029645188474
2016-05-21,1002.3953236821915
2016-05-22,1020.761002175909
2016-05-23,1039.1266806696265
2016-05-24,1057.4923591633442
2016-05-25,1075.8580376570617
2016-05-26,1094.2237161507792
2016-05-27,1112.5893946444967
2016-05-28,1130.9550731382142
2016-05-29,1149.3207516319317
2016-05-30,1167.6864301256492
2016-05-31,1186.0521086193667
2016-06-01,1204.4177871130844
2016-06-02,1222.7834656068019
2016-06-03,1241.1491441005194
2016-06-04,1259.5148225942369
2016-06-05,1277.8805010879546
2016-06-06,1296.246179581672
2016-06-07,1314.6118580753896
2016-06-08,1332.977536569107
2016-06-09,1351.3432150628246
2016-06-10,1369.708893556542
2016-06-11,1388.0745720502596
2016-06-12,1406.440250543977
2016-06-13,1424.8059290376948
2016-06-14,1443.1716075314123
2016-06-15,1461.5372860251298
2016-06-16,1479.9029645188475
2016-06-17,1498.268643012565
2016-06-18,1516.6343215062825
2016-06-19,1535.0
2016-06-20,1535.0
2016-06-21,1535.0
2016-06-22,1533.3333333333333
2016-06-23,1532.5
2016-06-24,1532.0
2016-06-25,1530.0
2016-06-26,1530.0
2016-06-27,1530.0
2016-06-28,1530.0
2016-06-29,1530.0
2016-06-30,1530.0
2016-07-01,1530.0
2016-07-02,1530.3729248046875
2016-07-03,1531.4599609375
2016-07-04,1533.2135009765625
2016-07-05,1537.58544921875
2016-07-06,1541.9573974609375
2016-07-07,1546.329345703125
2016-07-08,1550.7012939453125
2016-07-09,1555.0732421875
