<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:f9ab3caf6cd7fde7689ec921f82acae9c198187238850520b8ce08d4d13765d4
size 50979
=======
DATE,ARRIVAL
2016-01-01,22.5
2016-01-02,22.5
2016-01-03,23.0
2016-01-04,22.75
2016-01-05,22.2
2016-01-06,22.333333333333332
2016-01-07,22.0
2016-01-08,22.0
2016-01-09,22.285714285714285
2016-01-10,22.285714285714285
2016-01-11,22.0
2016-01-12,21.714285714285715
2016-01-13,21.285714285714285
2016-01-14,22.0
2016-01-15,22.142857142857142
2016-01-16,21.857142857142858
2016-01-17,21.0
2016-01-18,21.285714285714285
2016-01-19,21.571428571428573
2016-01-20,22.142857142857142
2016-01-21,21.857142857142858
2016-01-22,21.714285714285715
2016-01-23,21.714285714285715
2016-01-24,22.428571428571427
2016-01-25,22.142857142857142
2016-01-26,21.857142857142858
2016-01-27,22.0
2016-01-28,21.857142857142858
2016-01-29,21.714285714285715
2016-01-30,22.0
2016-01-31,21.8
2016-02-01,22.25
2016-02-02,23.666666666666668
2016-02-03,23.0
2016-02-04,22.784002151544676
2016-02-05,22.581443532645302
2016-02-06,22.39174588284699
2016-02-07,22.302489412245755
2016-02-08,22.213232941644517
2016-02-09,22.12397647104328
2016-02-10,22.034720000442043
2016-02-11,21.945463529840808
2016-02-12,21.85620705923957
2016-02-13,21.766950588638334
2016-02-14,21.6776941180371
2016-02-15,21.58843764743586
2016-02-16,21.499181176834625
2016-02-17,21.409924706233387
2016-02-18,21.32066823563215
2016-02-19,21.231411765030913
2016-02-20,21.142155294429678
2016-02-21,21.052898823828443
2016-02-22,20.963642353227204
2016-02-23,20.87438588262597
2016-02-24,20.78512941202473
2016-02-25,20.695872941423495
2016-02-26,20.60661647082226
2016-02-27,20.51736000022102
2016-02-28,20.428103529619786
2016-02-29,20.338847059018548
2016-03-01,20.249590588417313
2016-03-02,20.160334117816078
2016-03-03,20.07107764721484
2016-03-04,19.981821176613604
2016-03-05,19.892564706012365
2016-03-06,19.80330823541113
2016-03-07,19.71405176480989
2016-03-08,19.624795294208656
2016-03-09,19.535538823607418
2016-03-10,19.446282353006183
2016-03-11,19.357025882404947
2016-03-12,19.26776941180371
2016-03-13,19.178512941202474
2016-03-14,19.089256470601235
2016-03-15,19.0
2016-03-16,18.833333333333332
2016-03-17,18.675
2016-03-18,18.54
2016-03-19,18.383333333333336
2016-03-20,18.414285714285715
2016-03-21,18.150000000000002
2016-03-22,18.483333333333334
2016-03-23,18.48
2016-03-24,18.55
2016-03-25,18.8
2016-03-26,19.2
2016-03-27,19.5
2016-03-28,19.5
2016-03-29,19.5
2016-03-30,19.0
2016-03-31,19.25
2016-04-01,19.625
2016-04-02,19.7
2016-04-03,19.666666666666668
2016-04-04,19.571428571428573
2016-04-05,19.285714285714285
2016-04-06,19.357142857142858
2016-04-07,19.0
2016-04-08,18.585714285714285
2016-04-09,18.185714285714283
2016-04-10,17.857142857142854
2016-04-11,17.64285714285714
2016-04-12,17.585714285714282
2016-04-13,17.399999999999995
2016-04-14,17.471428571428564
2016-04-15,17.38571428571428
2016-04-16,17.38571428571428
2016-04-17,17.357142857142847
2016-04-18,17.257142857142846
2016-04-19,17.028571428571418
2016-04-20,16.82857142857142
2016-04-21,16.499999999999993
2016-04-22,16.29999999999999
2016-04-23,16.149999999999988
2016-04-24,15.979999999999986
2016-04-25,15.774999999999984
2016-04-26,15.674999999999983
2016-04-27,15.674999999999983
2016-04-28,15.674999999999983
2016-04-29,15.649999999999983
2016-04-30,15.579999999999988
2016-05-01,15.449999999999989
2016-05-02,15.271428571428562
2016-05-03,14.899999999999991
2016-05-04,14.785714285714278
2016-05-05,14.714285714285706
2016-05-06,14.699999999999992
2016-05-07,14.68571428571428
2016-05-08,14.799999999999994
2016-05-09,14.985714285714279
2016-05-10,15.357142857142849
2016-05-11,15.499999999999991
2016-05-12,15.585714285714277
2016-05-13,15.614285714285703
2016-05-14,15.585714285714275
2016-05-15,15.242857142857133
2016-05-16,14.514285714285705
2016-05-17,14.142857142857135
2016-05-18,14.071428571428564
2016-05-19,13.385714285714277
2016-05-20,12.942857142857136
2016-05-21,12.599999999999993
2016-05-22,12.44999999999999
2016-05-23,12.733333333333322
2016-05-24,12.39999999999999
2016-05-25,11.566666666666656
2016-05-26,11.316666666666656
2016-05-27,11.14999999999999
2016-05-28,11.314285714285704
2016-05-29,11.299999999999992
2016-05-30,11.25714285714285
2016-05-31,11.42857142857142
2016-06-01,11.785714285714278
2016-06-02,12.142857142857135
2016-06-03,12.42857142857142
2016-06-04,12.45714285714285
2016-06-05,12.385714285714277
2016-06-06,12.299999999999994
2016-06-07,12.128571428571421
2016-06-08,12.128571428571421
2016-06-09,12.342857142857136
2016-06-10,12.414285714285707
2016-06-11,12.699999999999992
2016-06-12,13.05714285714285
2016-06-13,13.114285714285705
2016-06-14,13.357142857142849
2016-06-15,13.357142857142849
2016-06-16,13.314285714285706
2016-06-17,13.314285714285706
2016-06-18,13.116666666666658
2016-06-19,12.899999999999988
2016-06-20,13.224999999999985
2016-06-21,13.249999999999986
2016-06-22,13.049999999999986
2016-06-23,12.899999999999984
2016-06-24,12.149999999999984
2016-06-25,12.149999999999984
2016-06-26,12.119999999999987
2016-06-27,11.933333333333323
2016-06-28,11.883333333333324
2016-06-29,12.183333333333323
2016-06-30,12.499999999999991
2016-07-01,12.833333333333323
2016-07-02,12.92857142857142
2016-07-03,13.214285714285706
2016-07-04,13.214285714285706
2016-07-05,13.333333333333323
2016-07-06,13.333333333333323
