<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:5ebd08a13f6dd76fcee924566aa90c2ab9ede6e25fcebaefcecb40d3efadacc5
size 49606
=======
DATE,ARRIVAL
2016-01-01,8.5
2016-01-02,8.5
2016-01-03,8.5
2016-01-04,8.5
2016-01-05,8.5
2016-01-06,8.5
2016-01-07,8.333333333333334
2016-01-08,8.5
2016-01-09,8.6
2016-01-10,8.666666666666666
2016-01-11,8.571428571428571
2016-01-12,8.571428571428571
2016-01-13,8.428571428571429
2016-01-14,8.428571428571429
2016-01-15,8.428571428571429
2016-01-16,8.5
2016-01-17,8.416666666666666
2016-01-18,8.583333333333334
2016-01-19,8.75
2016-01-20,8.916666666666666
2016-01-21,8.583333333333334
2016-01-22,8.583333333333334
2016-01-23,8.333333333333334
2016-01-24,8.285714285714286
2016-01-25,8.285714285714286
2016-01-26,8.285714285714286
2016-01-27,8.142857142857142
2016-01-28,8.571428571428571
2016-01-29,8.428571428571429
2016-01-30,8.5
2016-01-31,8.666666666666666
2016-02-01,8.666666666666666
2016-02-02,8.666666666666666
2016-02-03,8.833333333333334
2016-02-04,8.666666666666666
2016-02-05,8.833333333333334
2016-02-06,8.833333333333334
2016-02-07,8.833333333333334
2016-02-08,8.666666666666666
2016-02-09,8.666666666666666
2016-02-10,8.583333333333334
2016-02-11,8.75
2016-02-12,8.75
2016-02-13,8.785714285714286
2016-02-14,8.75
2016-02-15,8.9
2016-02-16,8.875
2016-02-17,9.0
2016-02-18,9.0
2016-02-19,8.75
2016-02-20,8.75
2016-02-21,8.6
2016-02-22,8.666666666666666
2016-02-23,8.5
2016-02-24,8.357142857142858
2016-02-25,8.442857142857141
2016-02-26,8.585714285714285
2016-02-27,8.585714285714285
2016-02-28,8.585714285714285
2016-02-29,8.585714285714285
2016-03-01,8.785714285714286
2016-03-02,8.928571428571429
2016-03-03,8.914285714285715
2016-03-04,8.914285714285715
2016-03-05,8.914285714285715
2016-03-06,9.157142857142858
2016-03-07,9.271428571428572
2016-03-08,9.285714285714286
2016-03-09,9.257142857142856
2016-03-10,9.257142857142856
2016-03-11,9.37142857142857
2016-03-12,9.37142857142857
2016-03-13,9.385714285714284
2016-03-14,9.342857142857142
2016-03-15,9.457142857142856
2016-03-16,9.457142857142856
2016-03-17,9.385714285714284
2016-03-18,9.27142857142857
2016-03-19,9.27142857142857
2016-03-20,9.157142857142857
2016-03-21,9.085714285714285
2016-03-22,8.9
2016-03-23,8.916666666666666
2016-03-24,8.75
2016-03-25,8.683333333333334
2016-03-26,8.620000000000001
2016-03-27,8.525
2016-03-28,8.275
2016-03-29,8.4
2016-03-30,8.4
2016-03-31,8.850000000000001
2016-04-01,8.933333333333335
2016-04-02,8.933333333333335
2016-04-03,8.933333333333335
2016-04-04,9.266666666666667
2016-04-05,8.933333333333335
2016-04-06,8.775000000000002
2016-04-07,8.325000000000003
2016-04-08,8.300000000000002
2016-04-09,8.333333333333336
2016-04-10,8.35714285714286
2016-04-11,8.285714285714288
2016-04-12,8.285714285714288
2016-04-13,8.242857142857146
2016-04-14,8.328571428571431
2016-04-15,8.3
2016-04-16,8.266666666666667
2016-04-17,8.220000000000002
2016-04-18,8.150000000000002
2016-04-19,8.200000000000003
2016-04-20,8.300000000000004
2016-04-21,8.43926630434783
2016-04-22,8.604347826086961
2016-04-23,8.742255434782614
2016-04-24,8.800000000000004
2016-04-25,8.700000000000003
2016-04-26,8.775000000000002
2016-04-27,8.775000000000002
2016-04-28,8.780000000000001
2016-04-29,8.733333333333334
2016-04-30,8.850000000000001
2016-05-01,8.883333333333335
2016-05-02,8.966666666666669
2016-05-03,8.933333333333335
2016-05-04,8.885714285714288
2016-05-05,8.914285714285716
2016-05-06,9.128571428571432
2016-05-07,9.200000000000003
2016-05-08,9.48571428571429
2016-05-09,9.628571428571432
2016-05-10,9.65714285714286
2016-05-11,9.800000000000002
2016-05-12,9.885714285714288
2016-05-13,9.671428571428574
2016-05-14,9.52857142857143
2016-05-15,9.283333333333337
2016-05-16,9.016666666666671
2016-05-17,8.850000000000003
2016-05-18,8.66666666666667
2016-05-19,8.366666666666669
2016-05-20,8.366666666666669
2016-05-21,8.31666666666667
2016-05-22,8.35714285714286
2016-05-23,8.371428571428575
2016-05-24,8.514285714285718
2016-05-25,8.442857142857147
2016-05-26,8.614285714285717
2016-05-27,8.685714285714289
2016-05-28,8.65714285714286
2016-05-29,8.685714285714289
2016-05-30,8.685714285714287
2016-05-31,8.571428571428573
2016-06-01,8.571428571428573
2016-06-02,9.000000000000002
2016-06-03,9.500000000000002
2016-06-04,9.971428571428573
2016-06-05,10.22857142857143
2016-06-06,10.414285714285715
2016-06-07,10.557142857142859
2016-06-08,10.671428571428573
2016-06-09,10.185714285714285
2016-06-10,9.571428571428571
2016-06-11,9.12857142857143
2016-06-12,8.742857142857144
2016-06-13,8.514285714285716
2016-06-14,8.400000000000002
2016-06-15,8.285714285714288
2016-06-16,8.12857142857143
2016-06-17,8.116666666666669
2016-06-18,7.933333333333337
2016-06-19,7.816666666666671
2016-06-20,7.583333333333338
2016-06-21,7.383333333333339
2016-06-22,7.350000000000005
2016-06-23,7.350000000000005
2016-06-24,7.414285714285718
2016-06-25,7.357142857142861
2016-06-26,7.328571428571432
2016-06-27,7.457142857142862
2016-06-28,7.571428571428576
2016-06-29,7.571428571428576
2016-06-30,7.557142857142861
2016-07-01,7.557142857142861
2016-07-02,7.557142857142861
2016-07-03,7.6285714285714326
2016-07-04,7.671428571428575
2016-07-05,7.585714285714289
