<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:fa291fa7bffd17990283425e5218b912df1ac29e434dd15bbb4b1fca7a35c2a3
size 32438
=======
DATE,MANDINAME,STATENAME,VOLATILITY
2016-01-01,BANGALORE,KARNATAKA,0.19448272683394016
2016-01-01,DAVANGERE,KARNATAKA,0.1693056132028732
2016-01-01,HUBLI (AMARAGOL),KARNATAKA,0.14686593423169242
2016-01-01,BELGAUM,KARNATAKA,0.10034364916116767
2016-01-01,LASALGAON,MAHARASHTRA,0.07502192603091888
2016-01-01,AZADPUR,NCT OF DELHI,0.06959492595638153
2016-01-01,MIRZAPUR,UTTAR PRADESH,0.06861895937986283
2016-01-01,AVERAGE,,0.058118493965285935
2016-01-01,LUCKNOW,UTTAR PRADESH,0.04956275305905316
2016-01-01,FATEHPUR,UTTAR PRADESH,0.042250956452174
2016-01-01,JALAUN,UTTAR PRADESH,0.035829406611917795
2016-02-01,DAVANGERE,KARNATAKA,0.33570417015507875
2016-02-01,AZAMGARH,UTTAR PRADESH,0.20364459746878188
2016-02-01,JALAUN,UTTAR PRADESH,0.1559060183528151
2016-02-01,HUBLI (AMARAGOL),KARNATAKA,0.1285764721540503
2016-02-01,KANPUR(GRAIN),UTTAR PRADESH,0.11870706421743828
2016-02-01,LASALGAON,MAHARASHTRA,0.10809000505536147
2016-02-01,LUCKNOW,UTTAR PRADESH,0.10776303003157167
2016-02-01,PUKHRAYAN,UTTAR PRADESH,0.10711621853849844
2016-02-01,BELGAUM,KARNATAKA,0.1051514210491008
2016-02-01,BARABANKI,UTTAR PRADESH,0.10027796584293208
2016-02-01,AVERAGE,,0.09973093334040362
2016-03-01,BANGALORE,KARNATAKA,0.16329149869681894
2016-03-01,HUBLI (AMARAGOL),KARNATAKA,0.14643195410630086
2016-03-01,BAHRAICH,UTTAR PRADESH,0.13521384122738728
2016-03-01,BELGAUM,KARNATAKA,0.0954217459025014
2016-03-01,JALAUN,UTTAR PRADESH,0.09216071868718477
2016-03-01,LASALGAON,MAHARASHTRA,0.07190966175713727
2016-03-01,DAVANGERE,KARNATAKA,0.06975226677819188
2016-03-01,AVERAGE,,0.061092777482731536
2016-03-01,KANNAUJ,UTTAR PRADESH,0.05881631878057896
2016-03-01,LUCKNOW,UTTAR PRADESH,0.056334888368041784
2016-03-01,LAKHIMPUR,UTTAR PRADESH,0.05311465407502702
2016-04-01,HUBLI (AMARAGOL),KARNATAKA,0.2321954113140932
2016-04-01,GAZIPUR,UTTAR PRADESH,0.13642423670593312
2016-04-01,BELGAUM,KARNATAKA,0.09323606470407303
2016-04-01,DAVANGERE,KARNATAKA,0.08716424440416322
2016-04-01,JALAUN,UTTAR PRADESH,0.0795590870391144
2016-04-01,KANPUR(GRAIN),UTTAR PRADESH,0.07907469943388698
2016-04-01,BANGALORE,KARNATAKA,0.06735309811203126
2016-04-01,AZADPUR,NCT OF DELHI,0.05854977404149985
2016-04-01,AVERAGE,,0.057921250132280035
2016-04-01,AZAMGARH,UTTAR PRADESH,0.05319916538088877
2016-04-01,LAKHIMPUR,UTTAR PRADESH,0.04998307084852837
2016-05-01,HUBLI (AMARAGOL),KARNATAKA,0.2491699707794553
2016-05-01,DAVANGERE,KARNATAKA,0.13294355678047176
2016-05-01,LUCKNOW,UTTAR PRADESH,0.12556665030318542
2016-05-01,AZAMGARH,UTTAR PRADESH,0.10944376660629283
2016-05-01,BELGAUM,KARNATAKA,0.10000510229533437
2016-05-01,KANNAUJ,UTTAR PRADESH,0.09646106911244602
2016-05-01,BANGALORE,KARNATAKA,0.09337107064967193
2016-05-01,BASTI,UTTAR PRADESH,0.0880858938119038
2016-05-01,GONDA,UTTAR PRADESH,0.0844553071981909
2016-05-01,AVERAGE,,0.08115963945575229
2016-05-01,AURAIYA,UTTAR PRADESH,0.07304387607120029
2016-06-01,KANNAUJ,UTTAR PRADESH,0.17584295220648666
2016-06-01,DAVANGERE,KARNATAKA,0.12100266894714155
2016-06-01,BANGALORE,KARNATAKA,0.10979350975970326
2016-06-01,LUCKNOW,UTTAR PRADESH,0.09064582476152888
2016-06-01,MIRZAPUR,UTTAR PRADESH,0.08506086741904269
2016-06-01,HUBLI (AMARAGOL),KARNATAKA,0.08396594304788885
2016-06-01,AZADPUR,NCT OF DELHI,0.07376742579118672
2016-06-01,JALAUN,UTTAR PRADESH,0.07098230968160292
2016-06-01,BELGAUM,KARNATAKA,0.06916861662893145
2016-06-01,GAZIPUR,UTTAR PRADESH,0.06913619524112381
2016-06-01,AVERAGE,,0.06408388381631307
2016-07-01,JALAUN,UTTAR PRADESH,0.23490262420331096
2016-07-01,HUBLI (AMARAGOL),KARNATAKA,0.12595473549402475
2016-07-01,KANPUR(GRAIN),UTTAR PRADESH,0.11974856927340614
2016-07-01,MIRZAPUR,UTTAR PRADESH,0.1058880128527448
2016-07-01,KANNAUJ,UTTAR PRADESH,0.0989937909718257
2016-07-01,DAVANGERE,KARNATAKA,0.0881365035423431
2016-07-01,FATEHPUR,UTTAR PRADESH,0.0843005764145411
2016-07-01,AVERAGE,,0.07166863081660577
2016-07-01,BANGALORE,KARNATAKA,0.07056667512568897
2016-07-01,PUKHRAYAN,UTTAR PRADESH,0.07029308850062592
2016-07-01,LUCKNOW,UTTAR PRADESH,0.06786309801434304
2016-08-01,DAVANGERE,KARNATAKA,0.17471823183097387
2016-08-01,HUBLI (AMARAGOL),KARNATAKA,0.1708700896065595
2016-08-01,KANPUR(GRAIN),UTTAR PRADESH,0.16530133493421525
2016-08-01,JALAUN,UTTAR PRADESH,0.14389571050659605
2016-08-01,LASALGAON,MAHARASHTRA,0.11769365604464893
2016-08-01,KANNAUJ,UTTAR PRADESH,0.0865677070185782
2016-08-01,AVERAGE,,0.06716554896120873
2016-08-01,BANGALORE,KARNATAKA,0.06630221851285406
2016-08-01,AZADPUR,NCT OF DELHI,0.06292948289310317
2016-08-01,BELGAUM,KARNATAKA,0.0529155468277053
2016-08-01,BASTI,UTTAR PRADESH,0.04415033769352489
2016-09-01,LASALGAON,MAHARASHTRA,0.20497631721089227
2016-09-01,BANGALORE,KARNATAKA,0.20356286449242608
2016-09-01,DAVANGERE,KARNATAKA,0.14559473961266484
2016-09-01,BARABANKI,UTTAR PRADESH,0.13486380602031886
2016-09-01,FATEHPUR,UTTAR PRADESH,0.12742155458465854
2016-09-01,BELGAUM,KARNATAKA,0.12053934329646797
2016-09-01,HUBLI (AMARAGOL),KARNATAKA,0.10827849307111913
2016-09-01,BASTI,UTTAR PRADESH,0.08354330246359397
